uključujući	uključivati	Rr
Xenoplast-Švicarska	Xenoplast-Švicarska	Npfsn
(	(	Z
v.	v.	Sa
točku	točka	Ncfsa
262.1.	262.1.	Mds
)	)	Z
.	.	Z

280.	280.	Mdo

U	u	Sl
restoranu	restoran	Ncmsl
Marcellino	Marcellino	Npfsl
u	u	Sl
Zagrebu	Zagreb	Npmsl
došlo	doći	Vmp-sn
je	biti	Var3s
19.	19.	Mdo
listopada	listopad	Ncmsg
2009.	2009.	Mdo
do	do	Sg
sastanka	sastanak	Ncmsg
koji	koji	Pi-msan
su	biti	Var3p
zabilježile	zabilježiti	Vmp-pf
postavljene	postavljen	Agpfpny
kamere	kamera	Ncfpn
.	.	Z

Tamo	tamo	Rgp
su	biti	Var3p
se	sebe	Px--sa
prvo	prvo	Rgp
našli	naći	Vmp-pm
Robert	Robert	Npmsn
Ježić	Ježić	Npmsn
i	i	Cc
podnositelj	podnositelj	Ncmsn
,	,	Z
a	a	Cc
nešto	nešto	Qo
kasnije	kasno	Rgc
došao	doći	Vmp-sm
je	biti	Var3s
i	i	Qo
Z.	Z.	Y
T.	T.	Y
Hernadi	Hernada	Npfsd
.	.	Z

6	6	Mdc
)	)	Z
Raskid	raskid	Ncmsan
ugovora	ugovor	Ncmsg
o	o	Sl
savjetodavnim	savjetodavan	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
uslugama	usluga	Ncfpl
od	od	Sg
4.	4.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
(	(	Z
prosinac	prosinac	Ncmsn
2009.	2009.	Mdo
)	)	Z

281.	281.	Mdo

Preostali	preostati	Vmp-pm
dogovoreni	dogovoriti	Agpmsayn
iznos	iznos	Ncmsan
od	od	Sg
pet	pet	Mlc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
nikada	nikada	Rgp
nije	biti	Var3s
isplaćen	isplatiti	Appmsnn
na	na	Sa
račun	račun	Ncmsan
društva	društvo	Ncnsg
Xenoplast-Švicarska	Xenoplast-Švicarsk	Npmsg
jer	jer	Cs
je	biti	Var3s
u	u	Sl
prosincu	prosinac	Ncmsl
2009.	2009.	Mdo
godine	godina	Ncfsg
došlo	doći	Vmp-sn
do	do	Sg
raskida	raskid	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
savjetodavnim	savjetodavan	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
uslugama	usluga	Ncfpl
od	od	Sg
4.	4.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo

282.	282.	Mdo

Iz	iz	Sg
dopisa	dopis	Ncmsg
od	od	Sg
14.	14.	Mdo
prosinca	prosinac	Ncmsg
2009.	2009.	Mdo
upućenog	upućen	Agpmsgy
tvrtki	tvrtka	Ncfsl
Xenoplast-Švicarska	Xenoplast-Švicarska	Npfsn
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
tvrtka	tvrtka	Ncfsn
Ceroma-Cipar	Ceroma-Cipar	Npmsn
–	–	Npmsn
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
ugovor	ugovor	Ncmsan
od	od	Sg
4.	4.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
–	–	Z
inzistirala	inzistirati	Vmp-sf
»	»	Z
na	na	Sl
raskidu	raskid	Ncmsl
prethodno	prethodno	Rgp
spomenutog	spomenuti	Agpmsgy
ugovora	ugovor	Ncmsg
uz	uz	Sa
izjavu	izjava	Ncfsa
da	da	Cs
ugovorne	ugovoran	Agpfpny
strane	strana	Ncfpn
nemaju	nemati	Vmr3p
nikakvih	nikakav	Pi-fpg
međusobnih	međusoban	Agpfpgy
obveza	obveza	Ncfpg
«	«	Z
(	(	Z
list	list	Ncmsn
2.357	2.357	Mdc
spisa	spis	Ncmpg
)	)	Z
.	.	Z

282.1.	282.1.	Mdo

Iz	iz	Sg
dopisa	dopis	Ncmsg
od	od	Sg
14.	14.	Mdo
prosinca	prosinac	Ncmsg
2009.	2009.	Mdo
upućenog	upućen	Agpmsgy
tvrtki	tvrtka	Ncfsl
Xenoplast-Švicarska	Xenoplast-Švicarska	Npfsn
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
tvrtka	tvrtka	Ncfsn
Hangarn	Hangarn	Npfsn
Oil-Cipar	Oil-Cipar	Npfsn
raskinula	raskinuti	Vmp-sf
ugovor	ugovor	Ncmsan
od	od	Sg
4.	4.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
uz	uz	Sa
napomenu	napomena	Ncfsa
»	»	Z
da	da	Cs
sva	sav	Agpnpay
plaćanja	plaćanje	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
izvršena	izvršiti	Appnpny
na	na	Sl
temelju	temelj	Ncmsl
tog	taj	Pd-msg
Ugovora	ugovor	Ncmsg
u	u	Sl
potpunosti	potpunost	Ncfsl
pokrivaju	pokrivati	Vmr3p
Vaš	vaš	Ps2msan
rad	rad	Ncmsan
na	na	Sl
temelju	temelj	Ncmsl
tog	taj	Pd-msg
Ugovora	ugovor	Ncmsg
«	«	Z
(	(	Z
list	list	Ncmsn
2.361	2.361	Mdc
spisa	spis	Ncmpg
)	)	Z
.	.	Z

283.	283.	Mdo

Sukladno	sukladno	Rgp
tome	taj	Pd-nsd
,	,	Z
transakcija	transakcija	Ncfsn
od	od	Sg
preostalih	preostao	Agpmpgy
pet	pet	Mlc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
nikada	nikada	Rgp
nije	biti	Var3s
realizirana	realizirati	Appfsny
.	.	Z

Taj	taj	Pd-msan
preostali	preostao	Agpmsayn
novčani	novčan	Agpmsayn
iznos	iznos	Ncmsan
Robertu	Robert	Npmsd
Ježiću	Ježić	Npmsd
nikada	nikada	Rgp
nije	biti	Var3s
isplaćen	isplatiti	Appmsnn
.	.	Z

284.	284.	Mdo

Zaključno	zaključni	Agpnsny
,	,	Z
iz	iz	Sg
