povjerenstva	povjerenstvo	Ncnpn
geodetske	geodetski	Agpfsgy
uprave	uprava	Ncfsg
predaje	predavati	Vmr3s
se	sebe	Px--sa
nadležnom	nadležan	Agpmsdy
arhivu	arhiv	Ncmsd
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
arhivskom	arhivski	Agpnsly
gradivu	gradivo	Ncnsl
i	i	Cc
arhivima	arhiv	Ncmpl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
105/97	105/97	Mds
,	,	Z
64/00	64/00	Mdc
,	,	Z
65/09	65/09	Mdc
i	i	Cc
125/11	125/11	Mdc
)	)	Z
i	i	Cc
Pravilnika	pravilnik	Ncmsg
o	o	Sl
predaji	predaja	Ncfsl
arhivskoga	arhivski	Agpnsgy
gradiva	gradivo	Ncnsg
arhivima	arhiv	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
90/02	90/02	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Arhivsko	arhivski	Agpnsny
gradivo	gradivo	Ncnsn
Državne	državni	Agpfsgy
geodetske	geodetski	Agpfsgy
uprave	uprava	Ncfsg
predaje	predavati	Vmr3s
se	sebe	Px--sa
nadležnom	nadležan	Agpmsdy
arhivu	arhiv	Ncmsd
u	u	Sl
roku	rok	Ncmsl
koji	koji	Pi-msn
u	u	Sl
pravilu	pravilo	Ncnsl
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
dulji	dug	Agcmpny
od	od	Sg
30	30	Mdc
godina	godina	Ncfpg
od	od	Sg
njegova	njegov	Ps3msg
nastanka	nastanak	Ncmsg
.	.	Z

Gradivo	gradivo	Ncnsn
se	sebe	Px--sa
može	moći	Vmr3s
predati	predati	Vmn
i	i	Qo
prije	prije	Sg
isteka	istek	Ncmsg
toga	taj	Pd-msg
roka	rok	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
o	o	Sl
tome	taj	Pd-nsl
sporazume	sporazum	Ncmpa
Državna	državni	Agpfsny
geodetska	geodetski	Agpfsny
uprava	uprava	Ncfsn
i	i	Cc
nadležni	nadležan	Agpmsny
arhiv	arhiv	Ncmsn
ili	ili	Cc
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
nužno	nužan	Agpnsny
radi	radi	Sg
zaštite	zaštita	Ncfsg
gradiva	gradivo	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Arhivsko	arhivski	Agpnsny
gradivo	gradivo	Ncnsn
Državne	državni	Agpfsgy
geodetske	geodetski	Agpfsgy
uprave	uprava	Ncfsg
predaje	predavati	Vmr3s
se	sebe	Px--sa
tek	tek	Rgp
nakon	nakon	Sg
provedenoga	provesti	Agpnsgy
odabiranja	odabiranje	Ncnsg
i	i	Cc
izlučivanja	izlučivanje	Ncnsg
,	,	Z
u	u	Sl
izvorniku	izvornik	Ncmsl
,	,	Z
sređeno	srediti	Appnsny
i	i	Cc
tehnički	tehnički	Rgp
opremljeno	opremiti	Appnsny
,	,	Z
označeno	označiti	Appnsny
,	,	Z
popisano	popisati	Appnsny
i	i	Cc
cjelovito	cjelovit	Agpnsny
za	za	Sa
određeno	određen	Agpnsay
vremensko	vremenski	Agpnsay
razdoblje	razdoblje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
O	o	Sl
predaji	predaja	Ncfsl
arhivskog	arhivski	Agpnsgy
gradiva	gradivo	Ncnsg
Državne	državni	Agpfsgy
geodetske	geodetski	Agpfsgy
uprave	uprava	Ncfsg
nadležnom	nadležan	Agpmsly
arhivu	arhiv	Ncmsl
sastavlja	sastavljati	Vmr3s
se	sebe	Px--sa
Zapisnik	zapisnik	Ncmsn
čiji	čiji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
popis	popis	Ncmsn
predanoga	predan	Agpnsgy
gradiva	gradivo	Ncnsg
.	.	Z

DIO	dio	Ncmsn
SEDMI	sedmi	Mlompn
SLUŽBENICI	službenik	Ncmpn
VEZANI	vezati	Appmpny
UZ	uz	Sa
RAD	rad	Ncmsan
PISMOHRANE	pismohrana	Ncfsg

Članak	članak	Ncmsn
30.	30.	Mdo

Državna	državni	Agpfsny
geodetska	geodetski	Agpfsny
uprava	uprava	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
odrediti	odrediti	Vmn
odgovornu	odgovoran	Agpfsay
osobu	osoba	Ncfsa
za	za	Sa
rad	rad	Ncmsan
u	u	Sl
pismohrani	pismohrana	Ncfsl
,	,	Z
te	te	Cc
dovoljan	dovoljan	Agpmsann
broj	broj	Ncmsan
zaduženih	zadužen	Agpmpgy
zaposlenika	zaposlenik	Ncmpg
s	sa	Si
punim	pun	Agpfpiy
ili	ili	Cc
djelomičnim	djelomičan	Agpnsiy
radnim	radni	Agpnsiy
vremenom	vrijeme	Ncnsi
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Službenik	službenik	Ncmsn
u	u	Sl
pismohrani	pismohrana	Ncfsl
mora	morati	Vmr3s
imati	imati	Vmn
najmanje	malo	Rgs
srednju	srednji	Agpfsay
stručnu	stručan	Agpfsay
spremu	sprema	Ncfsa
,	,	Z
kao	kao	Cs
i	i	Cc
položen	položiti	Appmsnn
stručni	stručan	Agpmsny
ispit	ispit	Ncmsn
za	za	Sa
djelatnika	djelatnik	Ncmsay
u	u	Sl
pismohrani	pismohrana	Ncfsl
,	,	Z
sukladno	sukladno	Rgp
Pravilniku	pravilnik	Ncmsd
o	o	Sl
stručnom	stručan	Agpnsly
usavršavanju	usavršavanje	Ncnsl
te	te	Cc
provjeri	provjera	Ncfsl
stručne	stručan	Agpfsgy
osposobljenosti	osposobljenost	Ncfsg
djelatnika	djelatnik	Ncmpg
u	u	Sl
pismohranama	pismohrana	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
93/04	93/04	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
službenik	službenik	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nema	nemati	Vmr3s
položen	položiti	Appmsnn
stručni	stručan	Agpmsny
ispit	ispit	Ncmsn
,	,	Z
dužan	dužan	Agpmsnn
ga	on	Pp3msa
je	biti	Var3s
položiti	položiti	Vmn
u	u	Sl
roku	rok	Ncmsl
jedne	jedan	Agpfsgy
godine	godina	Ncfsg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
ovaj	ovaj	Pd-msan
posao	posao	Ncmsan
.	.	Z

Članak	članak	Ncmsn
32.	32.	Mdo

Službenik	službenik	Ncmsn
u	u	Sl
pismohrani	pismohrana	Ncfsl
obvezan	obvezati	Appmsnn
je	biti	Var3s
obavljati	obavljati	Vmn
sljedeće	sljedeći	Agpmpay
poslove	posao	Ncmpa
:	:	Z

1.	1.	Mdo
sređivanje	sređivanje	Ncnsa
i	i	Cc
popisivanje	popisivanje	Ncnsa
gradiva	gradivo	Ncnsg

2.	2.	Mdo
vođenje	vođenje	Ncnsa
evidencija	evidencija	Ncfpg
o	o	Sl
gradivu	gradivo	Ncnsl

3.	3.	Mdo
osiguranje	osiguranje	Ncnsa
materijalno-fizičke	materijalno-fizički	Agpfsgy
zaštite	zaštita	Ncfsg
gradiva	gradivo	Ncnsg

4.	4.	Mdo
odabiranje	odabiranje	Ncnsa
arhivskoga	arhivski	Agpnsgy
gradiva	gradivo	Ncnsg

5.	5.	Mdo
izlučivanje	izlučivanje	Ncnsa
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
kojem	koji	Pi-msl
su	biti	Var3p
prošli	prošli	Agpmpny
rokovi	rok	Ncmpn
čuvanja	čuvanje	Ncnsg

6.	6.	Mdo
priprema	priprema	Ncfsn
predaje	predaja	Ncfsg
arhivskoga	arhivski	Agpnsgy
gradiva	gradivo	Ncnsg
nadležnom	nadležan	Agpmsly
arhivu	arhiv	Ncmsl

7.	7.	Mdo
izdavanje	izdavanje	Ncnsa
gradiva	gradivo	Ncnsg
na	na	Sa
korištenje	korištenje	Ncnsa
,	,	Z
te	te	Cc
vođenje	vođenje	Ncnsn
evidencija	evidencija	Ncfpg
o	o	Sl
tome	taj	Pd-nsl

8.	8.	Mdo
dostavljanje	dostavljanje	Ncnsa
popisa	popis	Ncmsg
gradiva	gradivo	Ncnsg
i	i	Cc
drugih	drugi	Mlompg
podataka	podatak	Ncmpg
iz	iz	Sg
Zbirne	zbirni	Agpfsgy
evidencije	evidencija	Ncfsg
o	o	Sl
gradivu	gradivo	Ncnsl
Državne	državni	Agpfsgy
geodetske	geodetski	Agpfsgy
uprave	uprava	Ncfsg
nadležnom	nadležan	Agpmsdy
arhivu	arhiv	Ncmsd
unosom	unos	Ncmsi
u	u	Sa
nacionalni	nacionalan	Agpmsayn
arhivski	arhivski	Agpmsayn
evidencijski	evidencijski	Agpmsayn
sustav	sustav	Ncmsan
ARHINET	ARHINET	Npmsan
.	.	Z

Članak	članak	Ncmsn
33.	33.	Mdo

Službenik	službenik	Ncmsn
u	u	Sl
pismohrani	pismohrana	Ncfsl
dužan	dužan	Agpmsnn
je	biti	Var3s
u	u	Sl
svome	svoj	Px-msl
radu	rad	Ncmsl
pridržavati	pridržavati	Vmn
se	sebe	Px--sa
etičkog	etički	Agpmsgy
kodeksa	kodeks	Ncmsg
arhivista	arhivist	Ncmpg
,	,	Z
a	a	Cc
posebice	posebice	Rgp
:	:	Z

1.	1.	Mdo
čuvati	čuvati	Vmn
integritet	integritet	Ncmsan
gradiva	gradivo	Ncnsg
i	i	Cc
na	na	Sa
taj	taj	Pd-msan
način	način	Ncmsan
pružati	pružati	Vmn
jamstvo	jamstvo	Ncnsa
da	da	Cs
ono	onaj	Pd-nsn
predstavlja	predstavljati	Vmr3s
trajno	trajan	Agpnsay
i	i	Cc
pouzdano	pouzdan	Agpnsny
svjedočanstvo	svjedočanstvo	Ncnsn
prošlosti	prošlost	Ncfsg

2.	2.	Mdo
dokumentirati	dokumentirati	Vmn
svoje	svoj	Px-mpa
postupke	postupak	Ncmpa
pri	pri	Sl
obradi	obrada	Ncfsl
gradiva	gradivo	Ncnsg
i	i	Cc
opravdati	opravdati	Vmn
ih	oni	Pp3-pa

3.	3.	Mdo
poštivati	poštivati	Vmn
slobodu	sloboda	Ncfsa
pristupa	pristup	Ncmsg
informacijama	informacija	Ncfpi
i	i	Cc
propise	propis	Ncmpa
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
povjerljivošću	povjerljivost	Ncfsi
podataka	podatak	Ncmpg
i	i	Cc
zaštitom	zaštita	Ncfsi
privatnosti	privatnost	Ncfsg
i	i	Cc
postupati	postupati	Vmn
unutar	unutar	Sg
granica	granica	Ncfpg
zakonskih	zakonski	Agpmpgy
propisa	propis	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
na	na	Sl
snazi	snaga	Ncfsl

4.	4.	Mdo
osobito	osobit	Agpnsay
povjerenje	povjerenje	Ncnsa
koje	koji	Pi-nsn
mu	on	Pp3msd
je	biti	Var3s
povjereno	povjeriti	Appnsny
koristiti	koristiti	Vmn
na	na	Sa
dobro	dobro	Ncnsa
sviju	sav	Ncmpg
i	i	Cc
ne	ne	Qz
služiti	služiti	Vmn
se	sebe	Px--sa
svojim	svoj	Px-msi
položajem	položaj	Ncmsi
za	za	Sa
vlastitu	vlastit	Agpfsay
ili	ili	Cc
bilo	bilo	Qo
čiju	čiji	Pi-fsa
neopravdanu	neopravdan	Agpfsay
korist	korist	Ncfsa

5.	5.	Mdo
nastojati	nastojati	Vmn
postići	postići	Vmn
najbolju	dobar	Agsfsay
stručnu	stručan	Agpfsay
razinu	razina	Ncfsa
sustavno	sustavno	Rgp
i	i	Cc
stalno	stalno	Rgp
obnavljajući	obnavljajući	Agpmsny
svoje	svoj	Px-nsa
znanje	znanje	Ncnsa
s	sa	Sg
područja	područje	Ncnsg
arhivistike	arhivistika	Ncfsg
i	i	Cc
dijeliti	dijeliti	Vmn
s	sa	Si
drugima	drugi	Mlompi
rezultate	rezultat	Ncmpa
svojih	svoj	Agpnpgy
istraživanja	istraživanje	Ncnpg
i	i	Cc
iskustava	iskustvo	Ncnpg
.	.	Z

Članak	članak	Ncmsn
34.	34.	Mdo

Prilikom	prilikom	Sg
rasporeda	raspored	Ncmsg
na	na	Sa
druge	drugi	Mlompa
poslove	posao	Ncmpa
ili	ili	Cc
prestanka	prestanak	Ncmsg
radnog	radni	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
za	za	Sa
rad	rad	Ncmsan
pismohrane	pismohrana	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
službenik	službenik	Ncmsn
u	u	Sl
pismohrani	pismohrana	Ncfsl
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
izvršiti	izvršiti	Vmn
primopredaju	primopredaja	Ncfsa
arhivskoga	arhivski	Agpnsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
s	sa	Si
osobom	osoba	Ncfsi

