Komunikacijski	komunikacijski	Agpmsny
sustav	sustav	Ncmsn
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
IS-2-1	IS-2-1	Mdm
,	,	Z
IS-2-2	IS-2-2	Mdm

−	i	Agpfsny
Karta	karta	Ncfsn
2.3.	2.3.	Mds

Energetski	energetski	Agpmsny
sustav	sustav	Ncmsn
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
IS-3-1	IS-3-1	Mdm
i	i	Cc
IS-3-2	is-3-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
2.4.	2.4.	Mds

Vodnogospodarski	vodnogospodarski	Agpmsny
sustav	sustav	Ncmsn
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
IS-4-1	IS-4-1	Mdm
,	,	Z
IS-4-2	IS-4-2	Mdm
,	,	Z
IS-4-3	IS-4-3	Mdm
i	i	Cc
IS-4-4	is-4-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
3.1.	3.1.	Mds

Područja	područje	Ncnpn
posebnih	poseban	Agpfpgy
vrijednosti	vrijednost	Ncfpg
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
ZP-1-1	ZP-1-1	Mdm
,	,	Z
ZP-1-2	ZP-1-2	Mdm
,	,	Z
ZP-1-3	ZP-1-3	Mdm
i	i	Cc
ZP-1-4	zp-1-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
3.2.	3.2.	Mds

Područja	područje	Ncnpn
posebnih	poseban	Agpnpgy
ograničenja	ograničenje	Ncnpg
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
ZP-2-1	ZP-2-1	Mdm
,	,	Z
ZP-2-2	ZP-2-2	Mdm
i	i	Cc
ZP-2-3	zp-2-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
3.3.	3.3.	Mds

Područja	područje	Ncnpn
posebnog	poseban	Agpmsgy
načina	način	Ncmsg
korištenja	korištenje	Ncnsg
ispisom	ispis	Ncmsi
sloja	sloj	Ncmsg
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
ZP-3-1	ZP-3-1	Qr
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kartografski	kartografski	Agpmsny
prikaz	prikaz	Ncmsn
Plana	plan	Ncmsg
u	u	Sl
analognom	analogan	Agpmsly
obliku	oblik	Ncmsl
