Osnovna	osnovan	Agpfsny
plaća	plaća	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
Po	po	Sl
satu	sat	Ncmsl
Mjesečno	mjesečno	Rgp
I.	I.	Mro
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
jednostavan	jednostavan	Agpmsann
rutinski	rutinski	Agpmsny
rad	rad	Ncmsn
koji	koji	Pi-msn
ne	ne	Qz
zahtjeva	zahtjev	Vmr3s
posebno	poseban	Agpnsay
obrazovanje	obrazovanje	Ncnsa
Transportni	transportni	Agpmsny
radnik	radnik	Ncmsn
,	,	Z
čistačice	čistačica	Ncfpn
sl.	sl.	Y
1,00	1,00	Mdc
16,48	16,48	Mdc
2.866,73	2.866,73	Mdc
II	ii	Mrc
.	.	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
manje	malo	Rgc
složene	složen	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
zadatke	zadatak	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
rad	rad	Ncmsan
za	za	Sa
koji	koji	Pi-msan
su	biti	Var3p
dovoljna	dovoljan	Agpnpny
pismena	pismena	Ncnpn
uputstva	uputstvo	Ncnsg
Priučeni	priučiti	Appmpny
PKV	PKV	Var3p
građevinski	građevinski	Agpmpny
radnici	radnik	Ncmpn
,	,	Z
pomoćni	pomoćan	Agpmpny
priučeni	priučiti	Appmpny
radnici	radnik	Ncmpn
svih	sav	Agpfpgy
struka	struka	Ncfpg
,	,	Z
radnik	radnik	Ncmsn
na	na	Sl
pripremi	priprema	Ncfsl
namirnica	namirnica	Ncfpg
,	,	Z
sobarica	sobarica	Ncfsn
,	,	Z
pomoćnik	pomoćnik	Ncmsn
strojarskog	strojarski	Agpmsgy
montera	monter	Ncmsg
,	,	Z
autoperač	autoperaa	Ncfpg
i	i	Cc
podmazivač	podmazivač	Ncmsn
,	,	Z
poslužitelj	poslužitelj	Ncmsn
strojeva	stroj	Ncmpg
i	i	Cc
uređaja	uređaj	Ncmpg
na	na	Sl
proizvodnji	proizvodnja	Ncfsl
građevinskih	građevinski	Agpmpgy
elemenata	element	Ncmpg
,	,	Z
pomoćnik	pomoćnik	Ncmsn
geobušača	geobušač	Ncmpg
,	,	Z
figurant	figurant	Ncmsan
,	,	Z
kurir	kurir	Ncmsn
i	i	Cc
dostavljač	dostavljač	Ncmsn
1,15	1,15	Mdc
18,95	18,95	Mdc
3.296,74	3.296,74	Mdc
III	III	Mrc
.	.	Z
grupa	grupa	Ncfsn
podrazumijeva	podrazumijevati	Vmr3s
srednje	srednji	Agpmpay
složene	složen	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
zadatke	zadatak	Ncmpa
na	na	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
rad	rad	Ncmsn
ponavlja	ponavljati	Vmr3s
uz	uz	Sa
povremenu	povremen	Agpfsay
pojavu	pojava	Ncfsa
novih	nov	Agpmpgy
poslova	posao	Ncmpg
KV	KV	Npmsn
građevinski	građevinski	Agpmsny
radnik	radnik	Ncmsn
početnik	početnik	Ncmsn
(	(	Z
zidar	zidar	Ncmsn
,	,	Z
tesar	tesar	Ncmsn
,	,	Z
armirač	armirač	Ncmsn
,	,	Z
betonirac	betonirac	Ncmsn
,	,	Z
asfalter	asfalter	Ncmsn
)	)	Z
,	,	Z
KV	kv	Agpmsny
radnik	radnik	Ncmsn
svih	sav	Agpfpgy
struka	struka	Ncfpg
početnik	početnik	Ncmsn
,	,	Z
geobušač	geobušač	Ncmsn
,	,	Z
strojar	strojar	Ncmsn
jednostavnog	jednostavan	Agpmsgy
građ-evinskog	građ-evinski	Agpmsgy
stroja	stroj	Ncmsg
,	,	Z
vozač	vozač	Ncmsn
traktora	traktor	Ncmsg
,	,	Z
monter	monter	Ncmsn
metalnih	metalan	Agpfpgy
konstrukcija	konstrukcija	Ncfpg
,	,	Z
rukovalac	rukov	Agcmpgy
strojeva	stroj	Ncmpg
za	za	Sa
obradu	obrada	Ncfsa
drva	drvo	Ncnsg
,	,	Z
unosilac	unos	Agcmpgy
podataka	podatak	Ncmpg
u	u	Sa
računalo	računalo	Ncnsa
,	,	Z
tehnički	tehnički	Agpmsny
crtač	crtač	Ncmsn
laborant	laborant	Ncmsn
,	,	Z
daktilograf	daktilograf	Ncmsn
,	,	Z
telefonist	telefonist	Ncmsn
na	na	Sl
telefonskoj	telefonski	Agpfsly
centrali	centrala	Ncfsl
,	,	Z
skladištar	skladištar	Ncmsn
priručnog	priručan	Agpnsgy
skladišta	skladište	Ncnsg
.	.	Z
1,30	1,30	Mdc
21,42	21,42	Mdc
3.726,75	3.726,75	Mdc
IV	IV	Mrc
.	.	Z
a	a	Cc
–	–	Z
grupa	grupa	Ncfsn
poslova	posao	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
