1448/2	1448/2	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
2296	2296	Mdc
)	)	Z
,	,	Z
1448/3	1448/3	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
2297	2297	Mdc
)	)	Z
,	,	Z
1448/4	1448/4	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
2389	2389	Mdc
)	)	Z
,	,	Z
1513	1513	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
2312	2312	Mdc
)	)	Z
,	,	Z
1515	1515	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
2351	2351	Mdc
)	)	Z
,	,	Z
1564	1564	Mdc
(	(	Z
z.	z.	Y
k.	k.	Y
ul	UL	Ncmsan
.	.	Z
2353	2353	Mdc
)	)	Z
Satnica	satnica	Ncfsn
Đakovačka	đakovački	Agpfsny
Datum	datum	Ncmsn
:	:	Z
17.	17.	Mdo
12.	12.	Mdo
2014	2014	Mdc
Klasa	klas	Ncmsg
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
14	14	Mdc
-	-	Z
06/0269	06/0269	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
Z-6424	Z-6424	Mdc
Požeško-slavonska	požeško-slavonski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
POŽEGA	POŽEGA	Npfsn
Požega	Požega	Npfsn
Kužni	kužan	Agpmpny
pil	pil	Cc
sv.	sv.	Y
Trojstva	trojstvo	Ncnsg
k.	k.	Y
č.	č.	Y
2674	2674	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
5405	5405	Mdc
)	)	Z
Požega	Požega	Npfsn
Datum	datum	Ncmsn
:	:	Z
17.	17.	Mdo
11.	11.	Mdo
2014	2014	Mdc
Klasa	klas	Ncmsg
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
02	02	Mdc
-	-	Z
01/467	01/467	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
14	14	Mdc
-	-	Z
4	4	Mdc
Z-410	Z-410	Mdc
Splitsko-dalmatinska	splitsko-dalmatinski	Agpfsny
županija	županija	Ncfsn
Grad	grad	Ncmsn
HVAR	HVAR	Npfsn
Hvar	Hvar	Npfsn
Antička	antički	Agpfsny
vila	vila	Ncfsn
u	u	Sl
uvali	uvala	Ncfsl
Soline	Solina	Npfsg
na	na	Sl
otoku	otok	Ncmsl
sv.	sv.	Y
Klementu	Klement	Npmsl
k.	k.	Y
č.	č.	Y
4333/3	4333/3	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
3557	3557	Mdc
)	)	Z
,	,	Z
4312/1	4312/1	Mdc
(	(	Z
