točke	točka	Ncfpa
,	,	Z
uključujući	uključivati	Rr
vučno	vučni	Agpnsny
vozilo	vozilo	Ncnsn
,	,	Z
odnosno	odnosno	Rgp
lokomotivu	lokomotiva	Ncfsa
koja	koji	Pi-fsn
vozi	voziti	Vmr3s
sama	sam	Agpfsny
;	;	Z

1.5.	1.5.	Mds
»	»	Z
sudar	sudar	Ncmsn
vlaka	vlak	Ncmsg
sa	sa	Si
željezničkim	željeznički	Agpnsiy
vozilom	vozilo	Ncnsi
«	«	Z
znači	značiti	Vmr3s
udar	udar	Ncmsan
dijela	dio	Ncmsg
jednog	jedan	Mlcmsg
vlaka	vlak	Ncmsg
u	u	Sa
prednji	prednji	Agpmsayn
,	,	Z
stražnji	stražnji	Agpmsayn
ili	ili	Cc
bočni	bočni	Agpmsayn
dio	dio	Ncmsan
drugog	drugi	Mlomsg
vlaka	vlak	Ncmsg
,	,	Z
željezničkog	željeznički	Agpnsgy
vozila	vozilo	Ncnsg
ili	ili	Cc
ranžirnog	ranžirni	Agpnsgy
željezničkog	željeznički	Agpnsgy
vozila	vozilo	Ncnsg
;	;	Z

1.6.	1.6.	Mds
»	»	Z
sudar	sudar	Ncmsan
vlaka	vlak	Ncmsg
s	sa	Si
preprekom	prepreka	Ncfsi
unutar	unutar	Sg
slobodnog	slobodan	Agpmsgy
profila	profil	Ncmsg
«	«	Z
znači	značiti	Vmr3s
udar	udar	Ncmsan
dijela	dio	Ncmsg
vlaka	vlak	Ncmsg
u	u	Sa
objekte	objekt	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
pričvršćeni	pričvrstiti	Appmpny
za	za	Sa
prugu	pruga	Ncfsa
ili	ili	Cc
se	sebe	Px--sa
privremeno	privremeno	Rgp
nalaze	nalaziti	Vmr3p
na	na	Sa
njoj	on	Ncmsan
ili	ili	Cc
u	u	Sl
njezinoj	njezin	Agpfsly
blizini	blizina	Ncfsl
(	(	Z
osim	osim	Cs
na	na	Sl
