ispitivanja	ispitivanje	Ncnsg
za	za	Sa
pneumatske	pneumatski	Agpmpay
alarmne	alarmni	Agpmpay
uređaje	uređaj	Ncmpa
EN	EN	Npmsn
12094	12094	Mdc
-	-	Z
12:2003	12:2003	Mdc
Fixed	Fixed	Xf
firefighting	firefighting	Xf
systems	systems	Xf
--	--	Xf
Components	Components	Xf
for	for	Xf
gas	gas	Xf
extinguishing	extinguishing	Xf
systems	systems	Xf
--	--	Z
Part	Part	Npmsn
12	12	Mdc
:	:	Z
Requirements	Requirements	Xf
and	and	Xf
test	test	Xf
methods	methods	Xf
for	for	Xf
pneumatic	pneumatic	Xf
alarm	alarm	Ncmsn
devices	devices	Ncmsn
1.1.2004.	1.1.2004.	Mdo
1.9.2005.	1.9.2005.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
12094	12094	Mdc
-	-	Z
13:2007	13:2007	Mdc
Protupožarni	protupožarni	Agpmpny
sustavi	sustav	Ncmpn
--	--	Z
Dijelovi	dio	Ncmpn
sustava	sustav	Ncmsg
za	za	Sa
gašenje	gašenje	Ncnsa
plinom	plin	Ncmsi
--	--	Z
13.	13.	Mdo
dio	dio	Ncmsn
:	:	Z
Zahtjevi	zahtjev	Ncmpn
i	i	Cc
ispitne	ispitan	Agpfpny
metode	metoda	Ncfpn
za	za	Sa
nepovratne	nepovratan	Agpmpay
i	i	Cc
protupovratne	protupovratan	Agpmpay
ventile	ventil	Ncmpa
EN	EN	Npmsn
12094	12094	Mdc
-	-	Z
13:2001	13:2001	Mdc
Fixed	Fixed	Xf
firefighting	firefighting	Xf
systems	systems	Xf
--	--	Xf
Components	Components	Xf
for	for	Xf
gas	gas	Xf
extinguishing	extinguishing	Xf
systems	systems	Xf
--	--	Z
Part	Part	Npmsn
13	13	Mdc
:	:	Z
Requirements	Requirements	Xf
and	and	Xf
test	test	Xf
methods	methods	Xf
for	for	Xf
check	check	Xf
valves	valves	Xf
and	and	Xf
non-return	non-return	Xf
valves	valves	Xf
1.1.2002.	1.1.2002.	Mdo
1.4.2004.	1.4.2004.	Mdo

EN	EN	Npmsn
12094	12094	Mdc
-	-	Z
13:2001	13:2001	Mdc
/	/	Z
AC	AC	Npmsn
:	:	Z
2002	2002	Mdc
1.1.2010.	1.1.2010.	Mdo
1.1.2010.	1.1.2010.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
