pohranjivanje	pohranjivanje	Ncnsn
and	and	Xf
striking	striking	Xf
plates	plates	Xf
–	–	Z
Requirements	requirements	Agpmsny
and	and	Agpmsny
test	test	Ncmsn
methods	methoda	Ncfsg

1.8.	1.8.	Mdo
neprobojni	neprobojan	Agpmpny
prsluci	prsluk	Ncmpn
za	za	Sa
zaštitare	zaštitar	Ncmpa
u	u	Sl
poslovima	posao	Ncmpl
zaštite	zaštita	Ncfsg
pri	pri	Sl
distribuciji	distribucija	Ncfsl
novca	novac	Ncmsg
i	i	Cc
vrijednosti	vrijednost	Ncfsg
klasificiraju	klasificirati	Vmr3p
se	sebe	Px--sa
prema	prema	Sl
međunarodnoj	međunarodni	Agpfsly
(	(	Z
američkoj	američki	Agpfsly
)	)	Z
normi	norma	Ncfsl
NIJ	NIJ	Npmsn
0108.01	0108.01	Mdc
,	,	Z
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

RZ	rz	Agpmsny
Tip	tip	Ncmsn
streljiva	streljivo	Ncnsg
NMZ	NMZ	Npmsn
PDC	PDC	Npmsn
PBZ	PBZ	Npmsn
PBH	PBH	Npmsn
PBP	PBP	Npmsn
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
5	5	Mdc
6	6	Mdc
7	7	Mdc
I	i	Cc
22	22	Mdc
LRHV	LRH	Npmpg
olovno	olovno	Rgp
38	38	Mdc
Special	Special	Npmsn
RN	RN	Npmsn
olovno	olovno	Rgp
2.6	2.6	Mdc
g	g	Y
10.2	10.2	Mdc
g	g	Y
15	15	Mdc
-	-	Z
16.5	16.5	Mdc
cm	cm	Y
15	15	Mdc
-	-	Z
16.5	16.5	Mdc
cm	cm	Y
320	320	Mdc
±	±	Z
12	12	Mdc
m	m	Y
/	/	Z
s	sa	Si
259	259	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Si
5	5	Mdc
5	5	Mdc
0	0	Mdc
0	0	Mdc
II-A	II-	Npmsg
357	357	Mdc
Magnum	Magnu	Npmsg
JSP	JS	Npmsg
9	9	Mdc
mm	mm	Y
FMJ	FMJ	Y
10.2	10.2	Mdc
g	g	Y
8.0	8.0	Mdc
g	g	Y
10	10	Mdc
-	-	Z
12	12	Mdc
cm	cm	Y
10	10	Mdc
-	-	Z
12	12	Mdc
cm	cm	Y
381	381	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Si
332	332	Mdc
±	±	Z
12	12	Mdc
m	m	Y
/	/	Z
s	sa	Si
5	5	Mdc
5	5	Mdc
0	0	Mdc
0	0	Mdc
II	ii	Mrc
357	357	Mdc
Magnum	Magnu	Npmsg
JSP	JS	Npmsg
9	9	Mdc
mm	mm	Y
FMJ	FMJ	Y
10.2	10.2	Mdc
g	g	Y
8.0	8.0	Mdc
g	g	Y
15	15	Mdc
-	-	Z
16.5	16.5	Mdc
cm	cm	Y
10	10	Mdc
-	-	Z
12	12	Mdc
cm	cm	Y
425	425	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Si
358	358	Mdc
±	±	Z
12	12	Mdc
m	m	Y
/	/	Z
s	sa	Si
5	5	Mdc
5	5	Mdc
0	0	Mdc
0	0	Mdc
III-A	III-	Npmsg
44	44	Mdc
Magnum	magnum	Ncmsn
SWC	SWC	Npmsn
9	9	Mdc
mm	mm	Y
FMJ	FMJ	Y
15.55	15.55	Mdc
g	g	Y
8.0	8.0	Mdc
g	g	Y
14	14	Mdc
-	-	Z
16	16	Mdc
cm	cm	Y
24	24	Mdc
-	-	Z
26	26	Mdc
cm	cm	Y
426	426	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Si
426	426	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Si
5	5	Mdc
5	5	Mdc
0	0	Mdc
0	0	Mdc
III	III	Mrc
7.62	7.62	Mdc
mm	mm	Y
FMJ	FMJ	Y
9.7	9.7	Mdc
g	g	Y
56	56	Mdc
cm	cm	Y
838	838	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Sg
5	5	Mdc
0	0	Mdc
IV	IV	Mrc
7.62	7.62	Mdc
mm	mm	Y
AP	AP	Npmsn
10.8	10.8	Mdc
g	g	Y
56	56	Mdc
cm	cm	Y
838	838	Mdc
±	±	Z
15	15	Mdc
m	m	Y
/	/	Z
s	sa	Si
1	1	Mdc
0	0	Mdc
1	1	Mdc
Razina	razina	Ncfsn
zaštite	zaštita	Ncfsg
2	2	Mdc
Tip	tip	Ncmsn
streljiva	streljivo	Ncnsg
3	3	Mdc
Nominalna	nominalan	Agpfsny
masa	masa	Ncfsn
zrna	zrno	Ncnsg
4	4	Mdc
Preporučena	preporučiti	Appfsny
duljina	duljina	Ncfsn
cijevi	cijev	Ncfsg
5	5	Mdc
Propisana	propisati	Appfsny
brzina	brzina	Ncfsn
zrna	zrno	Ncnpg
6	6	Mdc
Propisan	propisan	Agpmsann
broj	broj	Ncmsan
hitaca	hitac	Ncmpg
po	po	Sl
uzorku	uzorak	Ncmsl
7	7	Mdc
Propisan	propisan	Agpmsnn
broj	broj	Ncmsn
dopuštenih	dopustiti	Agpfpgy
penetracija	penetracija	Ncfpg

Članak	članak	Ncmsn
3.	3.	Mdo

Primjena	primjena	Ncfsn
uređaja	uređaj	Ncmpg
i	i	Cc
sustava	sustav	Ncmsg
tehničke	tehnički	Agpfsgy
zaštite	zaštita	Ncfsg
:	:	Z

1.1.	1.1.	Mdo
videonadzor	videonadzor	Ncmsan

Oznaka	oznaka	Ncfsn
hrvatske	hrvatski	Agpfsgy
norme	norma	Ncfsg
Naziv	naziv	Ncmsn
hrvatske	hrvatski	Agpfsgy
norme	norma	Ncfsg
Oznaka	oznaka	Ncfsn
europske	europski	Agpfsgy
norme	norma	Ncfsg
Naziv	naziv	Ncmsn
europske	europski	Agpfsgy
norme	norma	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
50130	50130	Mdc
-	-	Z
4:2012	4:2012	Mdc
Alarmni	alarmni	Agpmpny
sustavi	sustav	Ncmpn
–	–	Z
4.	4.	Mdo
dio	dio	Ncmsn
:	:	Z
Elektromagnetska	elektromagnetski	Agpfsny
kompatibilnost	kompatibilnost	Ncfsn
–	–	Z
Norma	norma	Ncfsn
porodice	porodica	Ncfsg
proizvoda	proizvod	Ncmpg
–	–	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
otpornost	otpornost	Ncfsa
na	na	Sa
smetnje	smetnja	Ncfpa
za	za	Sa
dijelove	dio	Ncmpa
vatrodojavnih	vatrodojavan	Agpmpgy
,	,	Z
protuprovalnih	protuprovalni	Agpmpgy
,	,	Z
protuprepadnih	protuprepadan	Agpmpgy
,	,	Z
TV	TV	Ncmsn
zatvorenog	zatvoren	Agpmsgy
kruga	krug	Ncmsg
,	,	Z
kontrole	kontrola	Ncfsg
pristupa	pristup	Ncmsg
i	i	Cc
socijalnih	socijalan	Agpmpgy
alarmnih	alarmni	Agpmpgy
sustava	sustav	Ncmpg
EN	EN	Npmsn
50130	50130	Mdc
-	-	Z
4:2011	4:2011	Mdc
Electromagnetic	Electromagnetic	Xf
compatibility	compatibility	Xf
–	–	Z
Product	Product	Xf
family	family	Xf
standard	standard	Ncmsn
–	–	Z
Immunity	Immunity	Xf
requirements	requirements	Xf
for	for	Xf
components	components	Xf
of	of	Xf
fire	fire	Xf
,	,	Z
intruder	intruder	Ncmsn
,	,	Z
hold	hold	Agpmsann
up	up	Ncmsan
,	,	Z
CCTV	CCTV	Npmsn
,	,	Z
access	access	Xf
control	control	Xf
and	and	Xf
social	social	Xf
alarm	alarm	Ncmsn
systems	system	Ncmpg
HRN	HRN	Npmsn
EN	EN	Npmsn
50130	50130	Mdc
-	-	Z
4:2012	4:2012	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2015	2015	Mdc
Alarmni	alarmni	Agpmpny
sustavi	sustav	Ncmpn
–	–	Z
4.	4.	Mdo
dio	dio	Ncmsn
:	:	Z
Elektromagnetska	elektromagnetski	Agpfsny
kompatibilnost	kompatibilnost	Ncfsn
–	–	Z
Norma	norma	Ncfsn
porodice	porodica	Ncfsg
proizvoda	proizvod	Ncmpg
–	–	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
otpornost	otpornost	Ncfsa
na	na	Sa
smetnje	smetnja	Ncfpa
za	za	Sa
dijelove	dio	Ncmpa
vatrodojavnih	vatrodojavan	Agpmpgy
,	,	Z
protuprovalnih	protuprovalni	Agpmpgy
,	,	Z
protuprepadnih	protuprepadan	Agpmpgy
,	,	Z
TV	TV	Ncmsn
zatvorenog	zatvoren	Agpmsgy
kruga	krug	Ncmsg
,	,	Z
kontrole	kontrola	Ncfsg
pristupa	pristup	Ncmsg
i	i	Cc
socijalnih	socijalan	Agpmpgy
alarmnih	alarmni	Agpmpgy
sustava	sustav	Ncmpg
EN	EN	Npmsn
50130	50130	Mdc
-	-	Z
4:2011	4:2011	Mdc
/	/	Z
A1	A1	Y
:	:	Z
2014	2014	Mdc
Electromagnetic	Electromagnetic	Xf
compatibility	compatibility	Xf
–	–	Z
Product	product	Agpmsny
family	famian	Agpmsny
standard	standard	Ncmsn
:	:	Z
Immunity	Immunity	Xf
requirements	requirements	Xf
for	for	Xf
components	components	Xf
of	of	Xf
fire	fire	Xf
,	,	Z
intruder	intruder	Ncmsn
,	,	Z
hold	hold	Agpmsann
up	up	Ncmsan
,	,	Z
CCTV	CCTV	Npmsn
,	,	Z
access	access	Xf
control	control	Xf
and	and	Xf
social	social	Xf
alarm	alarm	Ncmsn
systems	system	Ncmpg
HRN	HRN	Npmsn
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
2	2	Mdc
-	-	Z
1:1998	1:1998	Mdc
Alarmni	alarmni	Agpmpny
sustavi	sustav	Ncmpn
–	–	Z
Sustavi	sustav	Ncmpn
nadzora	nadzor	Ncmsg
pomoću	pomoć	Sg
TV	TV	Npfsg
zatvorenog	zatvoren	Agpmsgy
kruga	krug	Ncmsg
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
primjenama	primjena	Ncfpl
zaštite	zaštita	Ncfsg
–	–	Z
Dio	Dio	Npmsn
2	2	Mdc
-	-	Z
1	1	Mdc
:	:	Z
Crno	crno	Rgp
bijele	bijel	Agpfsgy
kamere	kamera	Ncfsg
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
2	2	Mdc
-	-	Z
1:1997	1:1997	Mdc
Alarm	alarm	Ncmsn
systems	systema	Ncfsg
–	–	Z
CCTV	CCTV	Npmsn
surveillance	surveillance	Xf
systems	systems	Xf
for	for	Xf
use	use	Xf
in	in	Xf
security	security	Xf
applications	applications	Xf
–	–	Z
Part	Part	Npmsn
2	2	Mdc
-	-	Z
1	1	Mdc
:	:	Z
Black	Black	Xf
and	and	Xf
white	white	Xf
cameras	cameras	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
4	4	Mdc
-	-	Z
1:2004	1:2004	Mdc
Alarmni	alarmni	Agpmpny
sustavi	sustav	Ncmpn
–	–	Z
Sustavi	sustav	Ncmpn
nadzora	nadzor	Ncmsg
pomoću	pomoć	Sg
TV	TV	Npfsg
zatvorenog	zatvoren	Agpmsgy
kruga	krug	Ncmsg
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
primjenama	primjena	Ncfpl
zaštite	zaštita	Ncfsg
–	–	Z
Dio	Dio	Npmsn
4	4	Mdc
-	-	Z
1	1	Mdc
:	:	Z
Crno	crno	Rgp
bijeli	bijel	Agpmpny
monitori	monitor	Ncmpn
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
4	4	Mdc
-	-	Z
1:2001	1:2001	Mdc
Alarm	alarm	Ncmsn
systems	systema	Ncfsg
–	–	Z
CCTV	CCTV	Npmsn
surveillance	surveillance	Xf
systems	systems	Xf
for	for	Xf
use	use	Xf
in	in	Xf
security	security	Xf
applications	applications	Xf
–	–	Z
Part	Part	Npmsn
4	4	Mdc
-	-	Z
1	1	Mdc
:	:	Z
Black	Black	Xf
and	and	Xf
white	white	Xf
monitors	monitors	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
5:2004	5:2004	Mdc
Alarmni	alarmni	Agpmpny
sustavi	sustav	Ncmpn
–	–	Z
Sustavi	sustav	Ncmpn
nadzora	nadzor	Ncmsg
pomoću	pomoć	Sg
TV	TV	Npfsg
zatvorenog	zatvoren	Agpmsgy
kruga	krug	Ncmsg
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
primjenama	primjena	Ncfpl
zaštite	zaštita	Ncfsg
–	–	Z
5.	5.	Mdo
dio	dio	Ncmsn
:	:	Z
Video	video	Ncmsn
prijenos	prijenos	Ncmsn
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
5:2001	5:2001	Agpmsny
Alarm	alarm	Ncmsn
systems	systema	Ncfsg
–	–	Z
CCTV	CCTV	Npmsn
surveillance	surveillance	Xf
systems	systems	Xf
for	for	Xf
use	use	Xf
in	in	Xf
security	security	Xf
applications	applications	Xf
-	-	Z
Part	Part	Npmsn
5	5	Mdc
:	:	Z
Video	video	Ncmsn
transmission	transmission	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
5	5	Mdc
-	-	Z
1:2012	1:2012	Mdc
Alarmni	alarmni	Agpmpny
sustavi	sustav	Ncmpn
–	–	Z
Sustavi	sustav	Ncmpn
nadzora	nadzor	Ncmsg
pomoću	pomoć	Sg
TV	TV	Npfsg
zatvorenog	zatvoren	Agpmsgy
kruga	krug	Ncmsg
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
primjenama	primjena	Ncfpl
zaštite	zaštita	Ncfsg
–	–	Z
Dio	Dio	Npmsn
5	5	Mdc
-	-	Z
1	1	Mdc
:	:	Z
Video	video	Ncmsn
prijenos	prijenos	Ncmsn
–	–	Z
Opći	opći	Agpmpny
zahtjevi	zahtjev	Ncmpn
za	za	Sa
karakteristike	karakteristika	Ncfpa
video	video	Ncmsan
prijenosa	prijenos	Ncmsg
EN	EN	Npmsn
50132	50132	Mdc
-	-	Z
5	5	Mdc
-	-	Z
1:2011	1:2011	Mdc
+	+	Z
AC	AC	Npmsn
:	:	Z
2012	2012	Mdc
Alarm	alarm	Ncmsn
systems	systema	Ncfsg
–	–	Z
CCTV	CCTV	Npmsn
surveillance	surveillance	Xf
systems	systems	Xf
for	for	Xf
use	use	Xf
in	in	Xf
security	security	Xf
applications	applications	Xf
-	-	Z

