Predmet	predmet	Ncmsn
2	2	Mdc
Ekonomija	ekonomija	Ncfsn
,	,	Z
trgovina	trgovina	Ncfsn
i	i	Cc
poslovna	poslovan	Agpfsny
administracija	administracija	Ncfsn
Ekonomist	ekonomist	Ncmsn
4	4	Mdc
Povijest	povijest	Ncfsn
Geografija	geografija	Ncfpg
Ekonomija	ekonomija	Ncfsn
,	,	Z
trgovina	trgovina	Ncfsn
i	i	Cc
poslovna	poslovan	Agpfsny
administracija	administracija	Ncfsn
Ekonomist	ekonomist	Ncmsn
–	–	Z
eksperimentalni	eksperimentalan	Agpmsny
strukovni	strukovni	Agpmsny
kurikulum	kurikulum	Ncmsn
4	4	Mdc
Povijest	povijest	Ncfsn
Geografija	geografija	Ncfpg
Ekonomija	ekonomija	Ncfsn
,	,	Z
trgovina	trgovina	Ncfsn
i	i	Cc
poslovna	poslovan	Agpfsny
administracija	administracija	Ncfsn
Komercijalist	komercijalist	Ncmsn
4	4	Mdc
Povijest	povijest	Ncfsn
Geografija	geografija	Ncfpg
Ekonomija	ekonomija	Ncfsn
,	,	Z
trgovina	trgovina	Ncfsn
i	i	Cc
poslovna	poslovan	Agpfsny
administracija	administracija	Ncfsn
Komercijalist	komercijalist	Ncmsn
–	–	Z
eksperimentalni	eksperimentalan	Agpmsny
strukovni	strukovni	Agpmsny
kurikulum	kurikulum	Ncmsn
4	4	Mdc
Povijest	povijest	Ncfsn
Geografija	geografija	Ncfpg
Ekonomija	ekonomija	Ncfsn
,	,	Z
trgovina	trgovina	Ncfsn
i	i	Cc
poslovna	poslovan	Agpfsny
administracija	administracija	Ncfsn
Poslovni	poslovan	Agpmsny
tajnik	tajnik	Ncmsn
4	4	Mdc
Povijest	povijest	Ncfsn
Geografija	geografija	Ncfpg
Ekonomija	ekonomija	Ncfsn
,	,	Z
trgovina	trgovina	Ncfsn
i	i	Cc
poslovna	poslovan	Agpfsny
administracija	administracija	Ncfsn
Upravni	upravan	Agpmsny
referent	referent	Ncmsn
4	4	Mdc
Povijest	povijest	Ncfsn
Geografija	geografija	Ncfpg
Elektrotehnika	elektrotehnika	Ncfsn
i	i	Cc
računalstvo	računalstvo	Ncnsn
Elektrotehničar	elektrotehničar	Ncmsn
4	4	Mdc
Fizika	fizika	Ncfsn
Tehnička	tehnički	Agpfsny
kultura	kultura	Ncfsn
Elektrotehnika	elektrotehnika	Ncfsn
i	i	Cc
računalstvo	računalstvo	Ncnsn
Tehničar	tehničar	Ncmsn
za	za	Sa
električne	električan	Agpmpay
strojeve	stroj	Ncmpa
s	sa	Si
primijenjenim	primijeniti	Agpnsiy
računalstvom	računalstvo	Ncnsi
4	4	Mdc
