osiguravatelja	osiguravatelj	Ncmsg
_8A	_8	Ncmsg
C	C	X
06.02	06.02	Mdc
9999050	9999050	Mdc
Šifra	šifra	Ncfsn
Multilateralne	multilateralan	Agpfsgy
agencije	agencija	Ncfsg
koje	koji	Pi-fpn
daju	dati	Vmr3p
zajmove	zajam	Ncmpa
_9B	_9B	Pi-mpa
F	F	X
40.01	40.01	Mdc
9999010	9999010	Mdc
Niz	niz	Ncmsn
znakova	znak	Ncmpg
Oznaka	oznaka	Ncfsn
LEI	lea	Ncfsg
(	(	Z
utvrđeno	utvrditi	Appnsny
u	u	Sl
EU-u	EU	Npmsl
)	)	Z
F		Npmsl
40.01	40.01	Mdc
9999020	9999020	Mdc
Ključ	ključ	Ncmsn
Oznaka	oznaka	Ncfsn
subjekta	subjekt	Ncmsg
(	(	Z
DZS	DZS	Npmsn
;	;	Z
interni	interni	Agpmsny
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
;	;	Z
OIB	OIB	Npmsn
)	)	Z
F	F	X
40.01	40.01	Mdc
9999030	9999030	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Naziv	naziv	Ncmsn
subjekta	subjekt	Ncmsg
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
naziv	naziv	Ncmsn
)	)	Z
F	fti	Vmr3s
40.01	40.01	Mdc
9999040	9999040	Mdc
Datum	datum	Ncmsn
Datum	datum	Ncmsn
unosa	unos	Ncmsg
mm	mm	Y
/	/	Z
gggg	gggg	Xf
F	F	Xf
40.02	40.02	Mdc
9999010	9999010	Mdc
Ključ	ključ	Ncmsn
Oznaka	oznaka	Ncfsn
vrijednosnog	vrijednosan	Agpmsgy
papira	papir	Ncmsg
(	(	Z
ISIN	ISIN	Npmsn
oznaka	oznaka	Ncfsn
)	)	Z
F	F	X
40.02	40.02	Mdc
9999020	9999020	Mdc
Niz	niz	Ncmsn
znakova	znak	Ncmpg
Oznaka	oznaka	Ncfsn
subjekta	subjekt	Ncmsg
(	(	Z
DZS	DZS	Npmsn
;	;	Z
interni	interni	Agpmsny
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
;	;	Z
OIB	OIB	Npmsn
)	)	Z
F	F	X
40.02	40.02	Mdc
9999030	9999030	Mdc
Niz	niz	Ncmsn
znakova	znak	Ncmpg
Oznaka	oznaka	Ncfsn
LEI	lea	Ncfsg
holdinga	holding	Ncmsg
(	(	Z
utvrđeno	utvrditi	Appnsny
u	u	Sl
EU-u	EU	Npmsl
)	)	Z
F		Npmsl
40.02	40.02	Mdc
9999040	9999040	Mdc
Ključ	ključ	Ncmsn
Oznaka	oznaka	Ncfsn
holdinga	holding	Ncmsg
(	(	Z
identifikacijska	identifikacijski	Agpfsny
oznaka	oznaka	Ncfsn
subjekta	subjekt	Ncmsg
unutar	unutar	Sg
grupe	grupa	Ncfsg
koji	koji	Pi-msn
drži	držati	Vmr3s
ulaganje	ulaganje	Ncnsa
)	)	Z
F	F	X
40.02	40.02	Mdc
9999050	9999050	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Naziv	naziv	Ncmsn
holdinga	holding	Ncmsg
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
naziv	naziv	Ncmsn
)	)	Z
P	pti	Vmr3s
02.03	02.03	Mdc
0010060	0010060	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Komentari	komentar	Ncmpn
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
neobvezatan	neobvezatan	Agpmsann
komentar	komentar	Ncmsan
do	do	Sg
1024	1024	Mdc
znaka	znak	Ncmsg
;	;	Z
u	u	Sl
nedostatku	nedostatak	Ncmsl
komentara	komentar	Ncmpg
potrebno	potreban	Agpnsny
je	biti	Var3s
unijeti	unijeti	Vmn
minus	minus	Ncmsan
,	,	Z
tj.	tj.	Y
znak	znak	Ncmsan
»	»	Z
-	-	Z
«	«	Z
)	)	Z
P	P	Y
02.03	02.03	Mdc
0020060	0020060	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Komentari	komentar	Ncmpn
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
neobvezatan	neobvezatan	Agpmsann
komentar	komentar	Ncmsan
do	do	Sg
1024	1024	Mdc
znaka	znak	Ncmsg
;	;	Z
u	u	Sl
nedostatku	nedostatak	Ncmsl
komentara	komentar	Ncmpg
potrebno	potreban	Agpnsny
je	biti	Var3s
unijeti	unijeti	Vmn
minus	minus	Ncmsan
,	,	Z
tj.	tj.	Y
znak	znak	Ncmsan
»	»	Z
-	-	Z
«	«	Z
)	)	Z
P	P	Y
02.03	02.03	Mdc
0030060	0030060	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Komentari	komentar	Ncmpn
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
neobvezatan	neobvezatan	Agpmsann
komentar	komentar	Ncmsan
do	do	Sg
1024	1024	Mdc
znaka	znak	Ncmsg
;	;	Z
u	u	Sl
nedostatku	nedostatak	Ncmsl
komentara	komentar	Ncmpg
potrebno	potreban	Agpnsny
je	biti	Var3s
unijeti	unijeti	Vmn
minus	minus	Ncmsan
,	,	Z
tj.	tj.	Y
znak	znak	Ncmsan
»	»	Z
-	-	Z
«	«	Z
)	)	Z
P	P	Y
02.03	02.03	Mdc
0040060	0040060	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Komentari	komentar	Ncmpn
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
neobvezatan	neobvezatan	Agpmsann
komentar	komentar	Ncmsan
do	do	Sg
1024	1024	Mdc
znaka	znak	Ncmsg
;	;	Z
u	u	Sl
nedostatku	nedostatak	Ncmsl
komentara	komentar	Ncmpg
potrebno	potreban	Agpnsny
je	biti	Var3s
unijeti	unijeti	Vmn
minus	minus	Ncmsan
,	,	Z
tj.	tj.	Y
znak	znak	Ncmsan
»	»	Z
-	-	Z
«	«	Z
)	)	Z
P	P	Y
02.04	02.04	Mdc
0010030	0010030	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Komentari	komentar	Ncmpn
(	(	Z
obvezatno	obvezatan	Agpnsny
)	)	Z
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
obvezatan	obvezatan	Agpmsann
komentar	komentar	Ncmsan
do	do	Sg
1024	1024	Mdc
znaka	znak	Ncmpg
)	)	Z
P	P	Y
02.05	02.05	Mdc
0010030	0010030	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
Komentari	komentar	Ncmpn
(	(	Z
obvezatno	obvezatan	Agpnsny
)	)	Z
(	(	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
obvezatan	obvezatan	Agpmsann
komentar	komentar	Ncmsan
do	do	Sg
1024	1024	Mdc
znaka	znak	Ncmpg
)	)	Z
P	P	Y
03.00	03.00	Mdc
9999020	9999020	Mdc
Ključ	ključ	Ncmsn
Oznaka	oznaka	Ncfsn
(	(	Z
DZS	DZS	Npmsn
;	;	Z
interni	interni	Agpmsny
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
;	;	Z
OIB	OIB	Npmsn
)	)	Z
P	P	Y
03.00	03.00	Mdc
9999025	9999025	Mdc
Niz	niz	Ncmsan
znakova	znak	Ncmpg
LEI	le	Agpfpgy
oznaka	oznaka	Ncfpg
(	(	Z
utvrđeno	utvrditi	Appnsny
u	u	Sl
EU-u	EU	Npmsl
)	)	Z

Članak	članak	Ncmsn
13.	13.	Mdo

Tablica	tablica	Ncfsn
iza	iza	Sg
točke	točka	Ncfsg
134.	134.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

TABLICA	tablica	Ncfsn

Članak	članak	Ncmsn
14.	14.	Mdo

U	u	Sl
Prilogu	prilog	Ncmsl
4.	4.	Mdo
,	,	Z
u	u	Sl
tablici	tablica	Ncfsl
iza	iza	Sg
točke	točka	Ncfsg
137.	137.	Mdo
,	,	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
redci	redak	Ncmpn
:	:	Z

Izvještaj	izvještaj	Ncmsn
Tip	tip	Ncmsn
vrijednosti	vrijednost	Ncfsg
Redak	redak	Ncmsn
Stupac	Stupac	Npmsn
Tag	Tag	Npmsn
C	C	Npmsn
04.00	04.00	Mds
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
220	220	Mdc
010	010	Mdc
0220010	0220010	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
010	010	Mdc
010	010	Mdc
0010010	0010010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
010	010	Mdc
020	020	Mdc
0010020	0010020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
010	010	Mdc
030	030	Mdc
0010030	0010030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
010	010	Mdc
050	050	Mdc
0010050	0010050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
010	010	Mdc
070	070	Mdc
0010070	0010070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
020	020	Mdc
010	010	Mdc
0020010	0020010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
020	020	Mdc
020	020	Mdc
0020020	0020020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
020	020	Mdc
030	030	Mdc
0020030	0020030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
020	020	Mdc
040	040	Mdc
0020040	0020040	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
020	020	Mdc
050	050	Mdc
0020050	0020050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
020	020	Mdc
070	070	Mdc
0020070	0020070	Mdc
C	C	Y
05.03	05.03	Mdc
Postotak	postotak	Ncmsn
030	030	Mdc
010	010	Mdc
0030010	0030010	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
030	030	Mdc
020	020	Mdc
0030020	0030020	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
030	030	Mdc
030	030	Mdc
0030030	0030030	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
030	030	Mdc
040	040	Mdc
0030040	0030040	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
030	030	Mdc
050	050	Mdc
0030050	0030050	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
030	030	Mdc
060	060	Mdc
0030060	0030060	Mdc
C	C	Y
05.03	05.03	Mdc
Monetarni	monetaran	Agpmsny
iznos	iznos	Ncmsn
030	030	Mdc
070	070	Mdc
