opasnih	opasan	Agpnpgy
piktogram	piktogram	Ncmsan
,	,	Z
slova	slovo	Ncnpn
moraju	morati	Vmr3p
odgovarati	odgovarati	Vmn
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
Priloga	prilog	Ncmsg
II	ii	Mrc
.	.	Z

2.	2.	Mdo
Posebna	poseban	Agpnpny
pravila	pravilo	Ncnpn
uporabe	uporaba	Ncfsg

2.1.	2.1.	Mdo

Ako	ako	Cs
uređaj	uređaj	Ncmsn
može	moći	Vmr3s
emitirati	emitirati	Vmn
neprekidne	neprekidan	Agpfpay
i	i	Cc
prekidne	prekidni	Agpmpay
znakove	znak	Ncmpa
,	,	Z
prekidni	prekidni	Agpmsny
znak	znak	Ncmsn
se	sebe	Px--sa
mora	morati	Vmr3s
koristiti	koristiti	Vmn
za	za	Sa
viši	visok	Agcmsayn
stupanj	stupanj	Ncmsan
opasnosti	opasnost	Ncfsg
ili	ili	Cc
za	za	Sa
žurno	žuran	Agpnsay
postupanje	postupanje	Ncnsa
.	.	Z

Trajanje	trajanje	Ncnsn
i	i	Cc
frekvencija	frekvencija	Ncfsn
prekidnog	prekidni	Agpmsgy
svjetlosnog	svjetlosni	Agpmsgy
znaka	znak	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
takva	takav	Pd-fsn
da	da	Cs
se	sebe	Px--sa
:	:	Z

–	–	Npmsn
osigura	osigurati	Vmr3s
odgovarajući	odgovarajući	Agpmsayn
prijem	prijem	Ncmsan
poruke	poruka	Ncfsg
,	,	Z

–	–	Z
spriječi	spriječiti	Vmr3s
zamjena	zamjena	Ncfsn
između	između	Sg
različitih	različit	Agpmpgy
svjetlosnih	svjetlosni	Agpmpgy
znakova	znak	Ncmpg
ili	ili	Cc
odnosno	odnosno	Rgp
s	sa	Si
kontinuiranim	kontinuiran	Agpmsiy
svjetlosnim	svjetlosni	Agpmsiy
znakom	znak	Ncmsi
.	.	Z

2.2.	2.2.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
svjetlosni	svjetlosni	Agpmsny
znak	znak	Ncmsn
upotrebljava	upotrebljavati	Vmr3s
umjesto	umjesto	Sg
zvučnog	zvučan	Agpmsgy
signala	signal	Ncmsg
ili	ili	Cc
zajedno	zajedno	Rgp
s	sa	Si
njim	on	Pp3msi
,	,	Z
mora	morati	Vmr3s
pri	pri	Sl
tome	taj	Pd-nsl
biti	biti	Van
upotrijebljen	upotrijebiti	Appmsnn
isti	isti	Agpmsny
način	način	Ncmsn
šifriranja	šifriranje	Ncnsg
.	.	Z

2.3.	2.3.	Mdo

Uređaji	uređaj	Ncmpn
,	,	Z
koji	koji	Pi-mpn
emitiraju	emitirati	Vmr3p
svjetlosne	svjetlosni	Agpmpay
znakove	znak	Ncmpa
u	u	Sl
slučaju	slučaj	Ncmsl
ozbiljne	ozbiljan	Agpfsgy
opasnosti	opasnost	Ncfsg
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
redovito	redovito	Rgp
održavani	održavati	Agpmpny
te	te	Cc
opremljeni	opremiti	Appmpny
pomoćnim	pomoćan	Agpmsiy
izvorom	izvor	Ncmsi
napajanja	napajanje	Ncnsg
.	.	Z

PRILOG	prilog	Ncmsn
VII	vii	Mrc
.	.	Z

ZAHTJEVI	zahtjev	Ncmpn
ZA	za	Sa
ZVUČNE	zvučan	Agpmpay
SIGNALE	signal	Ncmpa

1.	1.	Mdo
Opći	opći	Agpmpny
zahtjevi	zahtjev	Ncmpn

1.1.	1.1.	Mdo

Zvučni	zvučan	Agpmsny
signal	signal	Ncmsn
mora	morati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
imati	imati	Vmn
zvučnu	zvučan	Agpfsay
razinu	razina	Ncfsa
dobrog	dobar	Agpmsgy
prijema	prijem	Ncmsg
odnosno	odnosno	Rgp
čujnosti	čujnost	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
za	za	Sa
10	10	Mdc
dB	dB	Y
(	(	Z
A	a	Cc
)	)	Z
viša	visok	Agcfsny
od	od	Sg
razine	razina	Ncfsg
buke	buka	Ncfsg
u	u	Sl
okolini	okolina	Ncfsl
,	,	Z
ali	ali	Cc
ne	ne	Qz
smije	smjeti	Vmr3s
dostizati	dostizati	Vmn
prag	prag	Ncmsan
bola	bol	Ncmsg
;	;	Z

b	b	I
)	)	Z
biti	biti	Van
dobro	dobro	Rgp
prepoznatljiv	prepoznatljiv	Agpmsnn
glede	glede	Sg
trajanja	trajanje	Ncnsg
impulsa	impuls	Ncmpg
i	i	Cc
intervala	interval	Ncmsg
između	između	Sg
impulsa	impuls	Ncmsg
,	,	Z
te	te	Cc
se	sebe	Px--sa
jasno	jasno	Rgp
razlikovati	razlikovati	Vmn
od	od	Sg
drugih	drugi	Mlompg
zvučnih	zvučan	Agpmpgy
signala	signal	Ncmpg
i	i	Cc
buke	buka	Ncfsg
u	u	Sl
okolini	okolina	Ncfsl
.	.	Z

1.2.	1.2.	Mdo

Ako	ako	Cs
uređaj	uređaj	Ncmsn
emitira	emitirati	Vmr3s
zvučni	zvučan	Agpmsayn
signal	signal	Ncmsan
s	sa	Si
promjenljivom	promjenljiv	Agpfsiy
i	i	Cc
konstantnom	konstantan	Agpfsiy
frekvencijom	frekvencija	Ncfsi
,	,	Z
promjenjiva	promjenjiv	Agpfsny
frekvencija	frekvencija	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
namijenjena	namijeniti	Appfsny
za	za	Sa
upozoravanje	upozoravanje	Ncnsa
na	na	Sa
viši	visok	Agcmsayn
stupanj	stupanj	Ncmsan
opasnosti	opasnost	Ncfsg
ili	ili	Cc
za	za	Sa
žurno	žuran	Agpnsay
poduzimanje	poduzimanje	Ncnsa
mjera	mjera	Ncfpg
u	u	Sl
slučaju	slučaj	Ncmsl
opasnosti	opasnost	Ncfsg
.	.	Z

2.	2.	Mdo
Šifriranje	šifriranje	Ncnsn
znaka	znak	Ncmsg

Znak	znak	Ncmsn
za	za	Sa
evakuaciju	evakuacija	Ncfsa
mora	morati	Vmr3s
biti	biti	Van
neprekinut	neprekinut	Agpmsnn
.	.	Z

PRILOG	prilog	Ncmsn
VIII	viii	Mrc
.	.	Z

ZAHTJEVI	zahtjev	Ncmpn
ZA	za	Sa
GOVORNU	govorni	Agpfsay
KOMUNIKACIJU	komunikacija	Ncfsa

1.	1.	Mdo
Opći	opći	Agpmpny
zahtjevi	zahtjev	Ncmpn

1.1.	1.1.	Mdo

Govorno	govorni	Agpnsny
komuniciranje	komuniciranje	Ncnsn
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
daje	davati	Vmr3s
poruke	poruka	Ncfpa
jednoj	jedan	Mlcfsl
ili	ili	Cc
više	mnogo	Rgc
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
je	biti	Var3s
slušaju	slušati	Vmr3p
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
odvijati	odvijati	Vmn
u	u	Sl
obliku	oblik	Ncmsl
kratkih	kratak	Agpmpgy
tekstova	tekst	Ncmpg
,	,	Z
izraza	izraz	Ncmsg
ili	ili	Cc
pojedinih	pojedini	Agpfpgy
riječi	riječ	Ncfpg
.	.	Z

1.2.	1.2.	Mdo

Govorne	govorni	Agpfpny
poruke	poruka	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
kratke	kratak	Agpfpny
,	,	Z
jednostavne	jednostavan	Agpfsgy
i	i	Cc
razumljive	razumljiv	Agpfpay
,	,	Z
tako	tako	Cs
da	da	Cs
nisu	biti	Var3p
ovisne	ovisan	Agpfpny
o	o	Sl
govornim	govorni	Agpfply
sposobnostima	sposobnost	Ncfpl
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ih	oni	Pp3-pa
daje	davati	Vmr3s
.	.	Z

1.3.	1.3.	Mdo

Govorno	govorni	Agpnsny
komuniciranje	komuniciranje	Ncnsn
se	sebe	Px--sa
može	moći	Vmr3s
odvijati	odvijati	Vmn
neposredno	neposredno	Rgp
govorom	govor	Ncmsi
(	(	Z
pomoću	pomoć	Sg
ljudskog	ljudski	Agpmsgy
glasa	glas	Ncmsg
)	)	Z
ili	ili	Cc
posredno	posredan	Agpnsny
(	(	Z
pomoću	pomoć	Sg
ljudskog	ljudski	Agpmsgy
ili	ili	Cc
umjetnog	umjetan	Agpmsgy
glasa	glas	Ncmsg
)	)	Z
uz	uz	Sa
uporabu	uporaba	Ncfsa
zvučnih	zvučan	Agpmpgy
uređaja	uređaj	Ncmpg
.	.	Z

2.	2.	Mdo
Posebna	poseban	Agpnpny
pravila	pravilo	Ncnpn

2.1.	2.1.	Mdo

Osobe	osoba	Ncfpn
koje	koji	Pi-fpn
govorno	govorno	Rgp
komuniciraju	komunicirati	Vmr3p
,	,	Z
moraju	morati	Vmr3p
dobro	dobro	Rgp
poznavati	poznavati	Vmn
jezik	jezik	Ncmsan
na	na	Sl
kojem	koji	Pi-msl
daju	dati	Vmr3p
poruke	poruka	Ncfpn
,	,	Z
da	da	Cs
ih	oni	Pp3-pa
pravilno	pravilno	Rgp
izgovaraju	izgovarati	Vmr3p
i	i	Cc
da	da	Cs
ih	oni	Pp3-pa
se	sebe	Px--sa
razumije	razumjeti	Vmr3s
.	.	Z

2.2.	2.2.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
govorno	govorni	Agpnsny
komuniciranje	komuniciranje	Ncnsn
upotrebljava	upotrebljavati	Vmr3s
umjesto	umjesto	Sg
pokreta	pokret	Ncmsg
(	(	Z
gestikulacije	gestikulacija	Ncfsg
)	)	Z
ili	ili	Cc
zajedno	zajedno	Rgp
s	sa	Si
njima	oni	Pp3-pi
,	,	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
pri	pri	Sl
tome	taj	Pd-nsl
upotrebljavati	upotrebljavati	Vmn
sljedeće	sljedeći	Agpfpay
šifrirane	šifriran	Agpfpay
riječi	riječ	Ncfpa
:	:	Z

–	–	Agpmsny
početak	početak	Ncmsn
označava	označavati	Vmr3s
početak	početak	Ncmsan

–	–	Sa
stoj	stoj	Ncmsan
smetnja	smetnja	Ncfsn
ili	ili	Cc
završetak	završetak	Ncmsn
operacije	operacija	Ncfsg

–	–	Agpmsny
kraj	kraj	Ncmsn
završetak	završetak	Ncmsn
operacije	operacija	Ncfsg

–	–	Agpmsnn
digni	dignuti	Agpmsny
podigni	podići	Agpmsny
teret	teret	Ncmsn

–	–	Pi-msn
spusti	spustiti	Vmr3s
spusti	spustiti	Vmr3s
teret	teret	Ncmsan

–	–	Z
naprijed	naprijed	Rgp
*	*	Z

–	–	Z
natrag	natrag	Rgp
*	*	Z

–	–	Z
desno	desno	Rgp
*	*	Z

–	–	Z
lijevo	lijevo	Rgp
*	*	Z

–	–	Z
opasnost	opasnost	Ncfsn
za	za	Sa
zaustavljanje	zaustavljanje	Ncnsa
u	u	Sl
nuždi	nužda	Ncfsl

–	–	Z
brzo	brz	Agpnsny
za	za	Sa
ubrzanje	ubrzanje	Ncnsa
pokreta	pokret	Ncmsg
iz	iz	Sg
sigurnosnih	sigurnosni	Agpmpgy
razloga	razlog	Ncmpg

PRILOG	prilog	Ncmsn
IX	IX	Mrc
.	.	Z

ZAHTJEVI	zahtjev	Ncmpn
ZA	za	Sa
RUČNE	ručni	Agpmpay
SIGNALE	signal	Ncmpa

1.	1.	Mdo
Opći	opći	Agpmpny
zahtjevi	zahtjev	Ncmpn

Ručni	ručni	Agpmpny
znakovi	znak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
precizni	precizan	Agpmpny
,	,	Z
jednostavni	jednostavan	Agpmsny
,	,	Z
dobro	dobro	Rgp
vidljivi	vidljiv	Agpmpny
,	,	Z
laki	lak	Agpmpny
za	za	Sa
izvođenje	izvođenje	Ncnsa
i	i	Cc
razumijevanje	razumijevanje	Ncnsa
te	te	Cc
vidljivo	vidljiv	Agpnsny
različiti	različit	Agpmpny
od	od	Sg
drugih	drugi	Mlompg
pokreta	pokret	Ncmpg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ih	oni	Pp3-pa
daje	davati	Vmr3s
.	.	Z

Ako	ako	Cs
osoba	osoba	Ncfsn
koristi	koristiti	Vmr3s
obje	oba	Mls
ruke	ruka	Ncfsg
istovremeno	istovremeno	Rgp
,	,	Z
ruke	ruka	Ncfpn
se	sebe	Px--sa
moraju	morati	Vmr3p
pomicati	pomicati	Vmn
simetrično	simetrično	Rgp
i	i	Cc
pri	pri	Sl
tome	taj	Pd-nsl
davati	davati	Vmn
samo	samo	Rgp
jedan	jedan	Mlcmsan
znak	znak	Ncmsan
.	.	Z

Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
ručni	ručni	Agpmpny
signali	signal	Ncmpn
još	još	Rgp
uvijek	uvijek	Rgp
ispunjavaju	ispunjavati	Vmr3p
gornje	gornji	Agpmpay
zahtjeve	zahtjev	Ncmpa
,	,	Z
ako	ako	Cs
samo	samo	Rgp
donekle	donekle	Rgp
odstupaju	odstupati	Vmr3p
ili	ili	Cc
ako	ako	Cs
su	biti	Var3p
detaljniji	detaljan	Agcmpny
od	od	Sg
signala	signal	Ncmsg
koji	koji	Pi-mpn
su	biti	Var3p
prikazani	prikazati	Appmpny
u	u	Sl
3.	3.	Mdo
točki	točka	Ncfsl
ovoga	ovaj	Pd-msg
Priloga	prilog	Ncmsg
,	,	Z
s	sa	Si
time	taj	Pd-nsi
da	da	Cs
moraju	morati	Vmr3p
imati	imati	Vmn
isto	isti	Agpnsay
značenje	značenje	Ncnsa
i	i	Cc
razumljivost	razumljivost	Ncfsa
.	.	Z

2.	2.	Mdo
Pravila	pravilo	Ncnsg
za	za	Sa
davanje	davanje	Ncnsa
ručnih	ručni	Agpmpgy
signala	signal	Ncmpg

2.1.	2.1.	Mdo

Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
daje	davati	Vmr3s
ručne	ručni	Agpmpay
signale	signal	Ncmpa
je	biti	Var3s
signalist	signalist	Ncmsn
.	.	Z

Signalist	signalist	Ncmsn
daje	davati	Vmr3s
manevarske	manevarski	Agpfpay
upute	uputa	Ncfpa
rukovatelju	rukovatelj	Ncmsd
.	.	Z

2.2.	2.2.	Mdo

Signalist	signalist	Ncmsn
mora	morati	Vmr3s
vizualno	vizualno	Rgp
pratiti	pratiti	Vmn
sve	sav	Agpmpay
manevre	manevar	Ncmpa
,	,	Z
koje	koji	Pi-nsn
izvodi	izvoditi	Vmr3s
rukovatelj	rukovatelj	Ncmsn
.	.	Z

2.3.	2.3.	Mdo

Obveza	obveza	Ncfsn
signalista	signalist	Ncmpg
je	biti	Var3s
osim	osim	Sg
vođenja	vođenje	Ncnsg
manevra	manevar	Ncmsg
i	i	Cc
osiguranje	osiguranje	Ncnsa
sigurnosti	sigurnost	Ncfsg
radnika	radnik	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
u	u	Sl
blizini	blizina	Ncfsl
izvođenja	izvođenje	Ncnsg
operacija	operacija	Ncfpg
.	.	Z

2.4.	2.4.	Mdo

Ako	ako	Cs
signalist	signalist	Ncmsn
sam	sam	Agpmsny
ne	ne	Qz
može	moći	Vmr3s
ispuniti	ispuniti	Vmn
sve	sav	Agpmpay
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
točke	točka	Ncfsg
2.2.	2.2.	Mds
ovoga	ovaj	Pd-nsg

