LC	LC	Npmsn
67031	67031	Mdc
D219	D219	Mdc
–	–	Z
Neorić	Neorić	Npmsn
(	(	Z
Ž6116	Ž6116	X
)	)	Z
2,7	2,7	Mdc
LC	LC	Npmsn
67032	67032	Mdc
L67031	L67031	X
–	–	Z
Neorić	Neorić	Npmsn
(	(	Z
Ž6116	Ž6116	X
)	)	Z
1,1	1,1	Mdc
LC	LC	Y
67033	67033	Mdc
Radošić	Radošić	Npfsn
(	(	Z
D219	D219	X
)	)	Z
–	–	Z
L67041	L67041	X
1,8	1,8	Mdc
LC	LC	Y
67034	67034	Mdc
Sičane	Sičana	Npfsg
(	(	Z
Ž6116	Ž6116	X
)	)	Z
–	–	Z
Kraj	kraj	Ncmsn
(	(	Z
L67035	L67035	X
)	)	Z
2,4	2,4	Mdc
LC	LC	Y
67035	67035	Mdc
Sušci	Sušc	Npmpn
(	(	Z
L67036	L67036	X
)	)	Z
–	–	Z
Kraj	kraj	Ncmsn
(	(	Z
Ž6120	Ž6120	X
)	)	Z
2,3	2,3	Mdc
LC	LC	Y
67036	67036	Mdc
Sušci	Sušc	Npmpn
(	(	Z
L67035	L67035	X
)	)	Z
–	–	Z
Osoje	Osoje	Npnsa
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Prosik	Prosik	Npmsn
(	(	Z
Ž6146	Ž6146	X
)	)	Z
6,9	6,9	Mdc
LC	LC	Y
67037	67037	Mdc
Jasensko	jasenski	Agpnsny
(	(	Z
Ž6118	Ž6118	X
)	)	Z
–	–	Z
D219	D219	Mdc
3,4	3,4	Mdc
LC	LC	Y
67038	67038	Mdc
Sinj	Sinj	Npnsa
(	(	Z
D219	D219	X
)	)	Z
–	–	Z
Glavice	glavica	Ncfpn
–	–	Z
D219	D219	Mdc
6,3	6,3	Mdc
LC	LC	Y
67039	67039	Mdc
D219	D219	Mdc
–	–	Z
Troglav	troglav	Agpmsnn
(	(	Z
L67040	L67040	X
)	)	Z
4,9	4,9	Mdc
LC	LC	Y
67040	67040	Mdc
Sinj	Sinj	Npnsa
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Troglav	troglav	Agpmsnn
–	–	Z
Otok	otok	Ncmsn
(	(	Z
Ž6082	Ž6082	X
)	)	Z
8,2	8,2	Mdc
LC	LC	Y
67041	67041	Mdc
Sinj	Sinj	Npnsa
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Radošić	Radošić	Npmsn
–	–	Z
Kuhrorovac	Kuhrorovac	Npmsn
(	(	Z
D1	D1	X
)	)	Z
5,8	5,8	Mdc
LC	LC	Y
67042	67042	Mdc
Mojanka	Mojanka	Npfsn
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Vojnić	Vojnić	Npmsn
Sinjski	sinjski	Agpmsny
–	–	Z
Ž6148	Ž6148	X
8,2	8,2	Mdc
LC	LC	Y
67043	67043	Mdc
Korita	korito	Ncnsg
–		Agpnsgn
Ruda	rudo	Ncnsg
(	(	Z
Ž6123	Ž6123	X
)	)	Z
7,8	7,8	Mdc
LC	LC	Y
67044	67044	Mdc
Ruda	rudo	Ncnsg
(	(	Z
Ž6123	Ž6123	X
)	)	Z
–	–	Z
Vrabač	Vrabač	Npmsn
(	(	Z
Ž6082	Ž6082	X
)	)	Z
3,9	3,9	Mdc
LC	LC	Y
67045	67045	Mdc
Ruda	rudo	Ncnsg
(	(	Z
Ž6123	Ž6123	X
)	)	Z
–	–	Z
Rože	Rož	Npmsv
–	–	Z
Voštane	voštan	Agpfsgy
(	(	Z
Ž6125	Ž6125	X
)	)	Z
13,8	13,8	Mdc
LC	LC	Npmsn
67046	67046	Mdc
Grab	grab	Ncmsn
(	(	Z
L67047	L67047	X
)	)	Z
–	–	Z
L67047	L67047	X
6,1	6,1	Mdc
LC	LC	Y
67047	67047	Mdc
Grab	grab	Ncmsn
(	(	Z
Ž6082	Ž6082	X
)	)	Z
–	–	Z
L67048	L67048	X
4,7	4,7	Mdc
LC	LC	Y
67048	67048	Mdc
Gilići	Gilići	Xf
–	–	Z
D220	D220	Mdc
4,0	4,0	Mdc
LC	LC	Y
67049	67049	Mdc
D220	D220	Mdc
–	–	Z
Čačvina	Čačvina	Npfsn
–	–	Z
Vrpolje	vrpoljiti	Vmr3p
(	(	Z
L67090	L67090	X
)	)	Z
6,3	6,3	Mdc
LC	LC	Npmsn
67050	67050	Mdc
Vinovac	Vinovac	Npmsan
–	–	Z
L65075	L65075	X
1,0	1,0	Mdc
LC	LC	Y
67051	67051	Mdc
Blizna	Blizn	Npmsay
Gornja	Gornj	Npmsay
–	–	Z
L67220	L67220	Npmsn
0,3	0,3	Mdc
LC	LC	Y
67052	67052	Mdc
D8	D8	Xf
–	–	Z
Vranjica	vranjica	Ncfsn
0,5	0,5	Mdc
LC	LC	Y
67053	67053	Mdc
Gustirna	Gustirn	Npmsg
(	(	Z
L67054	L67054	X
)	)	Z
–	–	Z
Vrsine	Vrsina	Npfsg
–	–	Z
Vranjica	Vranjica	Npfsn
(	(	Z
D8	D8	X
)	)	Z
7,8	7,8	Mdc
LC	LC	Y
67054	67054	Mdc
Jajići	Jajići	Xf
(	(	Z
Ž6129	Ž6129	X
)	)	Z
–	–	Z
Dograde	Dograda	Npfsg
–	–	Z
Gustirna	Gustirn	Npmsg
(	(	Z
Ž6130	Ž6130	X
)	)	Z
5,4	5,4	Mdc
LC	LC	Y
67055	67055	Mdc
Najevi	Najeva	Npfsl
(	(	Z
L67053	L67053	X
)	)	Z
–	i	Agpfsny
Marina	Marina	Npfsn
(	(	Z
Ž6130	Ž6130	X
)	)	Z
2,6	2,6	Mdc
LC	LC	Y
67056	67056	Mdc
Prgomet	Prgomet	Xf
(	(	Z
Ž6122	Ž6122	X
)	)	Z
–	–	Z
Đirlići	Đirlići	Npfsl
–	–	Z
Radošić	Radošić	Npmsn
(	(	Z
L67020	L67020	X
)	)	Z
6,3	6,3	Mdc
LC	LC	Y
67057	67057	Mdc
Radošić	Radošić	Npfsn
(	(	Z
L67020	L67020	X
)	)	Z
–	–	Z
Ž6098	Ž6098	X
2,3	2,3	Mdc
LC	LC	Y
67061	67061	Mdc
Ž6115	Ž6115	X
–	–	Z
Vučevica	Vučevica	Npfsn
–	–	Npfsn
Klis	Klis	Npfsn
(	(	Z
L6774	L6774	X
)	)	Z
13,0	13,0	Mdc
LC	LC	Npmsn
67065	67065	Mdc
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Kaštela	Kaštel	Npmsg
–	–	Z
Solin	Solin	Npmsn
(	(	Z
Ž6253	Ž6253	X
)	)	Z
2,8	2,8	Mdc
LC	LC	Y
67074	67074	Mdc
Klis	Klis	Xf
(	(	Z
Ž6253	Ž6253	X
)	)	Z
–	–	Z
Rupotina	Rupotin	Npmsg
–	–	Z
Solin	Solin	Npmsn
(	(	Z
Ž6253	Ž6253	X
)	)	Z
5,8	5,8	Mdc
LC	LC	Y
67075	67075	Mdc
Klis	Klis	Xf
(	(	Z
Ž6253	Ž6253	X
)	)	Z
–	–	Z
Klis	Klis	Npmsn
Kosa	kosa	Ncfsn
–	–	Z
Solin	Solin	Npmsn
(	(	Z
Ž6253	Ž6253	X
)	)	Z
7,6	7,6	Mdc
LC	LC	Npmsn
67076	67076	Mdc
D56	D56	X
–	–	Z
Koprivno	koprivan	Agpnsny
–	–	Z
L67078	L67078	X
9,7	9,7	Mdc
LC	LC	Y
67078	67078	Mdc
Dugopolje	Dugopolje	Npnsn
(	(	Z
Ž6145	Ž6145	X
)	)	Z
–	–	Z
Kotlenice	Kotlenica	Npfsg
(	(	Z
Ž6147	Ž6147	X
)	)	Z
7,4	7,4	Mdc
LC	LC	Npmsn
67082	67082	Mdc
L67042	L67042	X
–	–	Z
Vojnić	Vojnić	Npmsn
Sinjski	sinjski	Agpmsny
(	(	Z
Ž6124	Ž6124	X
)	)	Z
1,0	1,0	Mdc
LC	LC	Npmsn
67083	67083	Mdc
Vojnić	Vojnić	Npfsn
Sinjski	sinjski	Agpmsny
(	(	Z
Ž6124	Ž6124	X
)	)	Z
–	–	Z
Trilj	Trilj	Npmsn
(	(	Z
D60	D60	X
)	)	Z
2,7	2,7	Mdc
LC	LC	Y
67084	67084	Mdc
Krušvar	Krušvar	Xf
(	(	Z
Ž6146	Ž6146	X
)	)	Z
–	–	Z
Biskol	Biskol	Npmsn
(	(	Z
Ž6148	Ž6148	X
)	)	Z
4,1	4,1	Mdc
LC	LC	Y
67085	67085	Mdc
Rošća	Rošć	Npmsay
(	(	Z
Ž6260	Ž6260	X
)	)	Z
–	–	Z
Titinci	Titinc	Npmpn
–	–	Z
L67086	L67086	X
4,9	4,9	Mdc
LC	LC	Y
67086	67086	Mdc
Donji	donji	Agpmsny
Dolac	dolac	Ncmsn
(	(	Z
Ž6147	Ž6147	X
)	)	Z
–	–	Z
Putišići	putišići	Agpmsny
–	–	Agpmsny
Gornji	gornji	Agpmsny
Dolac	dolac	Ncmsn
–	–	Z
Trnbusi	Trnbus	Npmpn
(	(	Z
Ž6260	Ž6260	X
)	)	Z
12,9	12,9	Mdc
LC	LC	Npmsn
67087	67087	Mdc
Deviševići	Deviševići	Npfsl
–	–	Z
L67086	L67086	X
2,7	2,7	Mdc
LC	LC	Y
67088	67088	Mdc
Putišići	Putišići	Xf
–	–	Z
L67086	L67086	X
2,5	2,5	Mdc
LC	LC	Y
67089	67089	Mdc
Velić	Velić	Npmsn
(	(	Z
D220	D220	Npmsn
)	)	Z
–	–	Z
Vrpolje	vrpoljiti	Vmr3p
(	(	Z
L67049	L67049	X
)	)	Z
3,1	3,1	Mdc
LC	LC	Y
67090	67090	Mdc
Vrpolje	vrpoljiti	Vmr3p
(	(	Z
D220	D220	X
)	)	Z
–	–	Z

