materijale	materijal	Ncmpa
Kategorija	kategorija	Ncfsn
mikro	mikro	Rgp
,	,	Z
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
poduzeća	poduzeće	Ncnpg
koja	koji	Pi-npn
imaju	imati	Vmr3p
manje	malo	Rgc
od	od	Sg
250	250	Mdc
zaposlenih	zaposlen	Agpmpgy
i	i	Cc
koji	koji	Pi-mpn
imaju	imati	Vmr3p
godišnji	godišnji	Agpmsayn
promet	promet	Ncmsan
ne	ne	Qz
viši	visok	Agcmsny
od	od	Sg
50	50	Mdc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
,	,	Z
i	i	Cc
/	/	Z
ili	ili	Cc
godišnju	godišnji	Agpfsay
bilancu	bilanca	Ncfsa
koja	koji	Pi-fsn
ne	ne	Qz
premašuje	premašivati	Vmr3s
43	43	Mdc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
.	.	Z

2.	2.	Mdo
Unutar	unutar	Sg
kategorije	kategorija	Ncfsg
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
,	,	Z
malo	mali	Agpnsay
poduzeće	poduzeće	Ncnsa
definira	definirati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
poduzeće	poduzeće	Ncnsn
koje	koji	Pi-nsn
ima	imati	Vmr3s
manje	malo	Rgc
od	od	Sg
50	50	Mdc
zaposlenih	zaposlen	Agpmpgy
,	,	Z
a	a	Cc
čiji	čiji	Pi-msn
godišnji	godišnji	Agpmsny
promet	promet	Ncmsn
i	i	Cc
/	/	Z
ili	ili	Cc
godišnja	godišnji	Agpfsny
bilanca	bilanca	Ncfsn
ne	ne	Qz
premašuje	premašivati	Vmr3s
10	10	Mdc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
.	.	Z

3.	3.	Mdo
Unutar	unutar	Sg
kategorije	kategorija	Ncfsg
malih	mali	Agpmpgy
i	i	Cc
srednjih	srednji	Agpnpgy
poduzeća	poduzeće	Ncnpg
,	,	Z
mikro	mikro	Agpnsny
poduzeće	poduzeće	Ncnsn
definira	definirati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
poduzeće	poduzeće	Ncnsn
koje	koji	Pi-nsn
ima	imati	Vmr3s
manje	malo	Rgc
od	od	Sg
10	10	Mdc
zaposlenih	zaposlen	Agpmpgy
,	,	Z
a	a	Cc
čiji	čiji	Pi-msn
godišnji	godišnji	Agpmsny
promet	promet	Ncmsn
i	i	Cc
/	/	Z
ili	ili	Cc
godišnja	godišnji	Agpfsny
bilanca	bilanca	Ncfsn
ne	ne	Qz
premašuje	premašivati	Vmr3s
2	2	Mdc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
.	.	Z

Broj	broj	Ncmsn
zaposlenih	zaposlen	Agpmpgy
Godišnji	godišnji	Agpmsny
promet	promet	Ncmsn
i	i	Cc
/	/	Z
ili	ili	Cc
Vrijednost	vrijednost	Ncfsn
bilance	bilanca	Ncfsg
Srednje	srednji	Agpfsgy
<	<	Z
250	250	Mdc
≤	≤	Z
50	50	Mdc
mil.	mil.	Y
eura	euro	Ncmpg
≤	≤	Z
43	43	Mdc
mil.	mil.	Y
eura	euro	Ncmpg
Malo	malo	Rgp
<	<	Z
50	50	Mdc
≤	≤	Z
10	10	Mdc
mil.	mil.	Y
eura	euro	Ncmpg
≤	≤	Z
10	10	Mdc
mil.	mil.	Y
eura	euro	Ncmpg
Mikro	mikro	Agpnsny
<	<	Z
10	10	Mdc
≤	≤	Z
2	2	Mdc
mil.	mil.	Y
eura	euro	Ncmpg
≤	≤	Z
2	2	Mdc
mil.	mil.	Y
eura	euro	Ncmpg

Članak	članak	Ncmsn
3.	3.	Mdo
VRSTE	vrsta	Ncfsg
PODUZEĆA	poduzeće	Ncnsg
KOJE	koji	Pi-fpn
SE	sebe	Px--sa
UZIMAJU	uzimati	Vmr3p
U	u	Sa
OBZIR	obzir	Ncmsan
PRILIKOM	prilikom	Sg
IZRAČUNA	izračun	Ncmsg
BROJA	broj	Ncmsg
OSOBLJA	osoblje	Ncmpg
I	i	Cc
FINANCIJSKIH	financijski	Agpmpgy
IZNOSA	iznos	Ncmpg

1.	1.	Mdo
»	»	Z
Neovisno	neovisan	Agpnsny
poduzeće	poduzeće	Ncnsn
«	«	Z
je	biti	Var3s
svako	svaki	Agpnsny
poduzeće	poduzeće	Ncnsn
koje	koji	Pi-nsn
nije	biti	Var3s
svrstano	svrstati	Appnsny
kao	kao	Cs
partnersko	partnerski	Agpnsny
poduzeće	poduzeće	Ncnsn
u	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
2.	2.	Mdo
ili	ili	Cc
kao	kao	Cs
povezano	povezan	Agpnsny
poduzeće	poduzeće	Ncnsn
u	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
3.	3.	Mdo

2.	2.	Mdo
»	»	Z
Partnerska	partnerski	Agpnpny
poduzeća	poduzeće	Ncnpn
«	«	Z
su	biti	Var3p
sva	sav	Agpnpny
poduzeća	poduzeće	Ncnpn
koja	koji	Pi-npn
nisu	biti	Var3p
svrstana	svrstati	Appfsny
kao	kao	Cs
povezana	povezan	Agpnpny
poduzeća	poduzeće	Ncnpn
u	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
3.	3.	Mdo
,	,	Z
a	a	Cc
između	između	Sg
kojih	koji	Pi-mpg
postoji	postojati	Vmr3s
sljedeća	sljedeći	Agpfsny
veza	veza	Ncfsn
:	:	Z
poduzeće	poduzeće	Ncnsn
(	(	Z
uzlazno	uzlazan	Agpnsny
poduzeće	poduzeće	Ncnsn
)	)	Z
posjeduje	posjedovati	Vmr3s
,	,	Z
samostalno	samostalno	Rgp
ili	ili	Cc
zajedno	zajedno	Rgp
s	sa	Si
jednim	jedan	Mlcmsi
ili	ili	Cc
više	mnogo	Rgc
povezanih	povezan	Agpnpgy
poduzeća	poduzeće	Ncnpg
u	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
3.	3.	Mdo
,	,	Z
25	25	Mdc
posto	posto	Rgp
ili	ili	Cc
više	mnogo	Rgc
kapitala	kapital	Ncmpg
ili	ili	Cc
glasačkih	glasački	Agpnpgy
prava	pravo	Ncnpg
drugog	drugi	Agpnsgy
poduzeća	poduzeće	Ncnsg
(	(	Z
silazno	silazan	Agpnsny
poduzeće	poduzeće	Ncnsn
)	)	Z
.	.	Z

Međutim	međutim	Rgp
,	,	Z
poduzeće	poduzeće	Ncnsn
se	sebe	Px--sa
može	moći	Vmr3s
svrstati	svrstati	Vmn
u	u	Sa
neovisna	neovisan	Agpnpay
poduzeća	poduzeće	Ncnpa
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
u	u	Sl
ona	onaj	Ncfsl
koja	koji	Pi-fsn
nemaju	nemati	Vmr3p
drugih	drugi	Mlompg
partnerskih	partnerski	Agpnpgy
poduzeća	poduzeće	Ncnpg
,	,	Z
čak	čak	Qo
i	i	Qo
ako	ako	Cs
su	biti	Var3p
sljedeći	sljedeći	Agpmpny
ulagači	ulagač	Ncmpn
dosegli	doseći	Vmp-pm
ili	ili	Cc
premašili	premašiti	Agpmsayn
prag	prag	Ncmsan
od	od	Sg
25	25	Mdc
posto	posto	Rgp
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
ti	taj	Pd-mpn
ulagači	ulagač	Ncmpn
,	,	Z
bilo	biti	Vap-sn
samostalno	samostalno	Rgp
ili	ili	Cc
zajednički	zajednički	Rgp
,	,	Z
nisu	biti	Var3p
u	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
3.	3.	Mdo
povezani	povezati	Appmpny
s	sa	Si
predmetnim	predmetni	Agpnsiy
poduzećem	poduzeće	Ncnsi
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
javna	javan	Agpnpny
investicijska	investicijski	Agpnpay
društva	društvo	Ncnpa
,	,	Z
društva	društvo	Ncnsg
rizičnog	rizičan	Agpmsgy
kapitala	kapital	Ncmsg
,	,	Z
pojedinci	pojedinac	Ncmpn
ili	ili	Cc
skupine	skupina	Ncfpn
pojedinaca	pojedinac	Ncmpg
s	sa	Si
redovitom	redovit	Agpfsiy
djelatnošću	djelatnost	Ncfsi
ulaganja	ulaganje	Ncnsg
rizičnog	rizičan	Agpmsgy
kapitala	kapital	Ncmsg
koji	koji	Pi-mpn
ulažu	ulagati	Vmr3p
dionički	dionički	Agpmsayn
kapital	kapital	Ncmsan
u	u	Sa
poduzeća	poduzeće	Ncnpa
koja	koji	Pi-npn
nisu	biti	Var3p
uvrštena	uvrstiti	Appfsny
na	na	Sa
burzu	burza	Ncfsa
(	(	Z
poslovni	poslovan	Agpmpny
anđeli	anđeo	Ncmpn
)	)	Z
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
je	biti	Var3s
ukupno	ukupan	Agpnsny
ulaganje	ulaganje	Ncnsn
tih	taj	Pd-mpg
poslovnih	poslovan	Agpmpgy
anđela	anđeo	Ncmpg
u	u	Sl
istom	isti	Agpnsly
poduzeću	poduzeće	Ncnsl
manje	malo	Rgc
od	od	Sg
1	1	Mdc
250	250	Mdc
000	000	Mdc
eura	euro	Ncmpg
;	;	Z

(	(	Z
b	b	X
)	)	Z
sveučilišta	sveučilište	Ncnsg
ili	ili	Cc
neprofitni	neprofitan	Agpmpny
istraživački	istraživački	Agpmpny
centri	centar	Ncmpn
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
institucionalni	institucionalan	Agpmpny
ulagači	ulagač	Ncmpn
,	,	Z
uključujući	uključivati	Rr
fondove	fond	Ncmpa
regionalnog	regionalan	Agpmsgy
razvoja	razvoj	Ncmsg
;	;	Z

(	(	Z
d	d	Qr
)	)	Z
autonomne	autonoman	Agpfpny
lokalne	lokalan	Agpfpny
vlasti	vlast	Ncfpn
s	sa	Si
godišnjim	godišnji	Agpmsiy
proračunom	proračun	Ncmsi
manjim	mali	Agcmsiy
od	od	Sg
10	10	Mdc
milijuna	milijun	Ncmpg
eura	euro	Ncmpg
i	i	Cc
s	sa	Si
manje	malo	Rgc
od	od	Sg
5	5	Mdc
000	000	Mdc
stanovnika	stanovnik	Ncmpg
.	.	Z

3.	3.	Mdo
»	»	Z
Povezana	povezan	Agpnpny
poduzeća	poduzeće	Ncnpn
«	«	Z
su	biti	Var3p
poduzeća	poduzeće	Ncnpn
među	među	Si
kojima	koji	Pi-mpi
postoji	postojati	Vmr3s
jedna	jedan	Mlcfsn
od	od	Sg
sljedećih	sljedeći	Agpfpgy
veza	veza	Ncfpg
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
poduzeće	poduzeće	Ncnsn
ima	imati	Vmr3s
većinu	većina	Ncfsa
glasačkih	glasački	Agpnpgy
prava	pravo	Ncnpg
imatelja	imatelj	Ncmpg
udjela	udjel	Ncmsg
ili	ili	Cc
članova	član	Ncmpg
u	u	Sl
drugom	drugi	Mlonsl
poduzeću	poduzeće	Ncnsl
;	;	Z

(	(	Z
b	b	X
)	)	Z
poduzeće	poduzeće	Ncnsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
postaviti	postaviti	Vmn
ili	ili	Cc
smijeniti	smijeniti	Vmn
većinu	većina	Ncfsa
članova	član	Ncmpg
upravnog	upravan	Agpmsgy
,	,	Z
upravljačkog	upravljački	Agpmsgy
ili	ili	Cc
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
u	u	Sl
drugom	drugi	Mlonsl
poduzeću	poduzeće	Ncnsl
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
poduzeće	poduzeće	Ncnsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
ostvarivati	ostvarivati	Vmn
vladajući	vladajući	Agpmsayn
utjecaj	utjecaj	Ncmsan
na	na	Sa
drugo	drugi	Agpnsay
poduzeće	poduzeće	Ncnsa
prema	prema	Sl
ugovoru	ugovor	Ncmsl
sklopljenom	sklopiti	Ncmpg
s	sa	Si
tim	taj	Pd-nsi
poduzećem	poduzeće	Ncnsi
ili	ili	Cc
prema	prema	Sl
odredbi	odredba	Ncfsl
njegovog	njegov	Ps3msg
statuta	statut	Ncmsg
ili	ili	Cc
društvenog	društven	Agpmsgy
ugovora	ugovor	Ncmsg
;	;	Z

(	(	Z
d	d	X
)	)	Z
poduzeće	poduzeće	Ncnsn
,	,	Z
koje	koji	Pi-nsn
je	biti	Var3s
imatelj	imatelj	Ncmsn
udjela	udjel	Ncmsg
ili	ili	Cc
član	član	Ncmsan
u	u	Sl
drugom	drugi	Mlonsl
poduzeću	poduzeće	Ncnsl
,	,	Z
samo	samo	Rgp
kontrolira	kontrolirati	Vmr3s
,	,	Z
prema	prema	Sl
dogovoru	dogovor	Ncmsl
s	sa	Si
drugim	drugi	Mlompi
imateljima	imatelj	Ncmpi
udjela	udjel	Ncmsg
ili	ili	Cc
članovima	član	Ncmpi
tog	taj	Pd-nsg
poduzeća	poduzeće	Ncnsg
,	,	Z
većinu	većina	Ncfsa
