valute	valuta	Ncfpa
ili	ili	Cc
otvara	otvarati	Vmr3s
jedinstveni	jedinstven	Agpmsayn
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
vlasnika	vlasnik	Ncmpg
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
mogu	moći	Vmr3p
evidentirati	evidentirati	Vmn
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
u	u	Sa
više	mnogo	Rgc
različitih	različit	Agpfpgy
valuta	valuta	Ncfpg
(	(	Z
s	sa	Si
oznakom	oznaka	Ncfsi
»	»	Z
MVR	MVR	Npmsan
«	«	Z
)	)	Z
.	.	Z
«	«	Z
.	.	Z

Točka	točka	Ncfsn
15.	15.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
15.	15.	Mdo

Oznaka	oznaka	Ncfsn
specifičnih	specifičan	Agpfpgy
namjena	namjena	Ncfpg
(	(	Z
1	1	Mdc
znak	znak	Ncmsn
)	)	Z

Oznaku	oznaka	Ncfsa
specifičnih	specifičan	Agpfpgy
namjena	namjena	Ncfpg
banka	banak	Ncmsg
upisuje	upisivati	Vmr3s
za	za	Sa
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
sukladno	sukladno	Rgp
propisu	propis	Ncmsd
izuzeta	izuzeti	Appfsny
od	od	Sg
ovrhe	ovrha	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
na	na	Sl
novčanim	novčan	Agpnply
sredstvima	sredstvo	Ncnpl
vlasnika	vlasnik	Ncmpg
sredstava	sredstvo	Ncnpg
.	.	Z

Upisuje	upisivati	Vmr3s
se	sebe	Px--sa
:	:	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
1	1	Mdc
«	«	Z
za	za	Sa
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
pričuve	pričuva	Ncfsg
stambene	stambeni	Agpfsgy
zgrade	zgrada	Ncfsg
,	,	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
6	6	Mdc
«	«	Z
za	za	Sa
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
depozita	depozit	Ncmpg
po	po	Sl
ugovoru	ugovor	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
imovinu	imovina	Ncfsa
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
,	,	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
7	7	Mdc
«	«	Z
za	za	Sa
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
prestala	prestati	Vmp-sf
postojati	postojati	Vmn
brisanjem	brisanje	Ncnsi
iz	iz	Sg
odgovarajućeg	odgovarajući	Agpmsgy
registra	registar	Ncmsg
odnosno	odnosno	Rgp
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
imovine	imovina	Ncfsg
dužnika	dužnik	Ncmpg
pojedinca	pojedinac	Ncmsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
otvara	otvarati	Vmr3s
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
ako	ako	Cs
stečajna	stečajni	Agpfsny
masa	masa	Ncfsn
nije	biti	Var3s
upisana	upisati	Appfsny
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
i	i	Cc
nema	nemati	Vmr3s
dodijeljen	dodijeljen	Agpmsann
osobni	osoban	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
,	,	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
8	8	Mdc
«	«	Z
za	za	Sa
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
klijenata	klijent	Ncmpg
investicijskog	investicijski	Agpnsgy
društva	društvo	Ncnsg
,	,	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
9	9	Mdc
