UMJETNOST	umjetnost	Ncfsn
,	,	Z
ZABAVA	zabava	Ncfsn
I	i	Cc
REKREACIJA	rekreacija	Ncfsn
R	R	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
R90	R90	X
–	–	Z
Kreativne	kreativan	Agpfpny
,	,	Z
umjetničke	umjetnički	Agpfsgy
i	i	Cc
zabavne	zabavan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
R90	R90	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
R91	R91	X
–	–	Z
Knjižnice	knjižnica	Ncfpn
,	,	Z
arhivi	arhiv	Ncmpn
,	,	Z
muzeji	muzej	Ncmpn
i	i	Cc
ostale	ostali	Agpfpny
kulturne	kulturan	Agpfpny
djelatnosti	djelatnost	Ncfpn
R91	R91	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
R92	R92	X
–	–	Z
Djelatnosti	djelatnost	Ncfpn
kockanja	kockanje	Ncnsg
i	i	Cc
klađenja	klađenje	Ncnsg
R92	R92	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
R93	R93	X
–	–	Z
Sportske	sportski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
te	te	Cc
zabavne	zabavan	Agpfsgy
i	i	Cc
rekreacijske	rekreacijski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
R93	R93	Npmsn
C	C	Npmsn
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
S	sa	Sg
–	–	Z
OSTALE	ostali	Agpfpay
USLUŽNE	uslužan	Agpfpay
DJELATNOSTI	djelatnost	Ncfpa
S	sa	Sg
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
S94	S94	X
–	–	Z
Djelatnosti	djelatnost	Ncfsl
članskih	članski	Agpfpgy
organizacija	organizacija	Ncfpg
S94	S94	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
S95	S95	X
–	–	Z
Popravak	popravak	Ncmsan
računala	računalo	Ncnsg
i	i	Cc
predmeta	predmet	Ncmsg
za	za	Sa
osobnu	osoban	Agpfsay
uporabu	uporaba	Ncfsa
i	i	Cc
kućanstvo	kućanstvo	Ncnsa
S95	S95	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
S96	S96	X
–	–	Z
Ostale	ostali	Agpfpay
osobne	osoban	Agpfpay
uslužne	uslužan	Agpfpay
djelatnosti	djelatnost	Ncfpa
S96	S96	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
T	T	X
–	–	Z
DJELATNOSTI	djelatnost	Ncfpa
KUĆANSTAVA	kućanstvo	Ncnpg
KAO	kao	Cs
POSLODAVACA	poslodavac	Ncmpg
;	;	Z
DJELATNOSTI	djelatnost	Ncfsl
KUĆANSTAVA	kućanstvo	Ncnpg
KOJA	koji	Pi-npn
PROIZVODE	proizvoditi	Vmr3p
RAZLIČITU	različit	Agpfsay
ROBU	roba	Ncfsa
I	i	Cc
OBAVLJAJU	obavljati	Vmr3p
RAZLIČITE	različit	Agpfpay
USLUGE	usluga	Ncfpa
ZA	za	Sa
VLASTITE	vlastit	Agpfpay
POTREBE	potreba	Ncfpa
T	T	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
T97	t9i	Agpfsgy
–	i	Agpfsgy
Djelatnosti	djelatnost	Ncfsg
kućanstava	kućanstvo	Ncnpg
koja	koji	Pi-npn
zapošljavaju	zapošljavati	Vmr3p
poslugu	posluga	Ncfsa
T97	T97	X
C	C	X
27.00	27.00	Mdc
9999060	9999060	Mdc
Šifra	šifra	Ncfsn
T98	T98	X
–	–	Z
Djelatnosti	djelatnost	Ncfpn
privatnih	privatan	Agpnpgy
kućanstava	kućanstvo	Ncnpg
koja	koji	Pi-npn
proizvode	proizvoditi	Vmr3p
različitu	različit	Agpfsay
robu	roba	Ncfsa
i	i	Cc
obavljaju	obavljati	Vmr3p
