trećega	treći	Mlomsg
zapovijeda	zapovijedati	Vmr3s
:	:	Z
Punim	pun	Agpmsiy
kora	kora	Ncfpg
–	–	Z
KOM	kom	Ncmsn
!	!	Z

Na	na	Sa
tu	taj	Pd-fsa
se	sebe	Px--sa
zapovijed	zapovijed	Ncfsn
nastavlja	nastavljati	Vmr3s
kretanje	kretanje	Ncnsa
korakom	korak	Ncmsi
.	.	Z

Članak	članak	Ncmsn
127.	127.	Mdo

Za	za	Sa
prestrojavanje	prestrojavanje	Ncnsa
iz	iz	Sg
dvovrsnoga	dvovrsnog	Ncmsg
stroja	stroj	Ncmsg
u	u	Sl
kolonu	kolon	Ncmsl
po	po	Sa
četiri	četiri	Mlc
(	(	Z
tri	tri	Mlc
)	)	Z
u	u	Sl
istome	isti	Agpmsly
smjeru	smjer	Ncmsl
kretanja	kretanje	Ncnsg
zapovjednik	zapovjednik	Ncmsn
satnije	satnija	Ncfsg
zapovijeda	zapovijedati	Vmr3s
:	:	Z
Satnija	satnija	Ncfsn
,	,	Z
u	u	Sl
kolonu	kolon	Ncmsl
po	po	Sa
četiri	četiri	Mlc
(	(	Z
tri	tri	Mlc
)	)	Z
NAPRIJED	naprijed	Rgp
!	!	Z
ili	ili	Cc
Satnija	satnija	Ncfsn
,	,	Z
u	u	Sl
kolonu	kolon	Ncmsl
po	po	Sa
četiri	četiri	Mlc

