ne	ne	Qz
1317	1317	Mdc
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
Zapisniku	zapisnik	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
točna	točan	Agpfsny
konstatacija	konstatacija	Ncfsn
iz	iz	Sg
Zapisnika	zapisnik	Ncmsg
da	da	Cs
je	biti	Var3s
od	od	Sg
1995	1995	Mdc
zaprimljenih	zaprimiti	Agpmpgy
glasačkih	glasački	Agpmpgy
listića	listić	Ncmpg
678	678	Mdc
neupotrjebljenih	neupotrjebljen	Agpmpgy
glasačkih	glasački	Agpmpgy
listića	listić	Ncmpg
jer	jer	Cs
birački	birački	Agpmsny
odbor	odbor	Ncmsn
broji	brojati	Vmr3s
najprije	najprije	Rgp
neupotrjebljene	neupotrjebljen	Agpmpay
glasačke	glasački	Agpmpay
listiće	listić	Ncmpa
,	,	Z
onda	onda	Rgp
je	biti	Var3s
glasalo	glasati	Vmp-sn
birača	birač	Ncmpg
1318	1318	Mdc
,	,	Z
tribalo	tribati	Vmp-sn
bi	biti	Vaa3s
provjeriti	provjeriti	Vmn
matematički	matematički	Agpmsayn
prebrojiti	prebrojiti	Vmn
i	i	Cc
utvrditi	utvrditi	Vmn
stvarnu	stvaran	Agpfsay
matematičku	matematički	Agpfsay
točnost	točnost	Ncfsa
ukupnih	ukupan	Agpmpgy
glasačkih	glasački	Agpmpgy
listića	listić	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
bili	biti	Vap-pm
u	u	Sl
glasačkoj	glasački	Agpfsly
kutiji	kutija	Ncfsl
(	(	Z
važećih	važeći	Agpmpgy
i	i	Cc
nevažećih	nevažeći	Agpmpgy
)	)	Z
.	.	Z

–	–	Z
Na	na	Sl
biračkom	birački	Agpnsly
mjestu	mjesto	Ncnsl
5	5	Mdc
Veliki	velik	Agpmsny
Prolog	prolog	Ncmsn
birački	birački	Agpmsny
odbor	odbor	Ncmsn
je	biti	Var3s
na	na	Sa
osnovu	osnova	Ncfsa
zahtjeva	zahtjev	Ncmpg
birača	birač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
izašli	izaći	Vmp-pm
na	na	Sa
biračko	birački	Agpnsay
mjesto	mjesto	Ncnsa
sastavljao	sastavljati	Vmp-sm
popis	popis	Ncmsan
birača	birač	Ncmpg
koji	koji	Pi-mpn
traže	tražiti	Vmr3p
da	da	Cs
im	oni	Pp3-pd
se	sebe	Px--sa
dođe	doći	Vmr3s
da	da	Cs
mogu	moći	Vmr3p
glasat	glasati	Vmn
u	u	Sl
kući	kuća	Ncfsl
.	.	Z

Međutim	međutim	Rgp
pored	pored	Sg
tih	taj	Pd-mpg
birača	birač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
predbilježeni	predbilježiti	Appmpny
članovi	član	Ncmpn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
su	biti	Var3p
odlazili	odlaziti	Vmp-pm
i	i	Qo
kod	kod	Sg
drugih	drugi	Mlompg
birača	birač	Ncmpg
koji	koji	Pi-mpn
