nedostajućih	nedostajući	Agpmpgy
dijelova	dio	Ncmpg
koristi	koristiti	Vmr3s
se	sebe	Px--sa
i	i	Cc
otvorena	otvoren	Agpfsny
vatra	vatra	Ncfsn
za	za	Sa
ugrijavanje	ugrijavanje	Ncnsa
i	i	Cc
žarenje	žarenje	Ncnsa
kovina	kovina	Ncfpg
.	.	Z
–	–	Z
rezultat	rezultat	Ncmsn
primjene	primjena	Ncfsg
:	:	Z
iritacija	iritacija	Ncfsn
dišnih	dišni	Agpmpgy
puteva	put	Ncmpg
,	,	Z
očiju	oko	Ncfpg
,	,	Z
sluznica	sluznica	Ncfsn
,	,	Z
opasnosti	opasnost	Ncfsg
od	od	Sg
fizičkih	fizički	Agpfpgy
ozljeda	ozljeda	Ncfpg
Utjecaj	utjecaj	Ncmsan
svih	sav	Agpmpgy
postupaka	postupak	Ncmpg
i	i	Cc
upotrebljenih	upotrebljen	Agpmpgy
materijala	materijal	Ncmpg
je	biti	Var3s
kumulativan	kumulativan	Agpmsnn
,	,	Z
treba	trebati	Vmr3s
ga	on	Pp3msa
promatrati	promatrati	Vmn
u	u	Sl
vremenu	vrijeme	Ncnsl
bavljenja	bavljenje	Ncnsg
konzervatorsko-restauratorskim	konzervatorsko-restauratorski	Agpmsiy
postupkom	postupak	Ncmsi
.	.	Z

Bavljenje	bavljenje	Ncnsn
konzervatorsko-restauratorskom	konzervatorsko-restauratorski	Agpfsiy
strukom	struka	Ncfsi
ima	imati	Vmr3s
za	za	Sa
posljedicu	posljedica	Ncfsa
različita	različit	Agpnpay
oštećenja	oštećenje	Ncnpa
očiju	oko	Ncfpg
,	,	Z
dišnih	dišni	Agpmpgy
puteva	put	Ncmpg
,	,	Z
kože	koža	Ncfsg
lica	lice	Ncnsg
,	,	Z
vrata	vrat	Ncmsg
i	i	Cc
ruku	ruka	Ncfsa
(	(	Z
općenita	preopćenit	Agpfsny
neotpornost	neotpornost	Ncfsn
kože	koža	Ncfsg
)	)	Z
,	,	Z
pojave	pojaviti	Vmr3p
alergija	alergija	Ncfsn
,	,	Z
kontaktnih	kontaktan	Agpmpgy
ekcema	ekcem	Ncmpg
i	i	Cc
sličnih	sličan	Agpmpgy
dermatoza	dermatoz	Ncmpg
,	,	Z
oštećenja	oštećenje	Ncnsg
kralježnice	kralježnica	Ncfsg
(	(	Z
posebno	posebno	Rgp
vratne	vratni	Agpmpay
i	i	Cc
lumbalne	lumbalan	Agpmpay
)	)	Z
,	,	Z
naprezanje	naprezanje	Ncnsn
zglobova	zglob	Ncmpg
šake	šaka	Ncfsg
,	,	Z
lakta	lakat	Ncmsg
,	,	Z
ramena	rame	Ncnsg
,	,	Z
itd.	itd.	Y
–	–	Z
rad	rad	Ncmsan
ručnim	ručni	Agpmsiy
alatom	alat	Ncmsi
(	(	Z
opasnost	opasnost	Ncfsn
od	od	Sg
mehaničkih	mehanički	Agpfpgy
povreda	povreda	Ncfpg
ruku	ruka	Ncfpg
)	)	Z
–	–	Z
zakrčenost	zakrčenost	Ncfsn
radnog	radni	Agpmsgy
prostora	prostor	Ncmsg
(	(	Z
opasnost	opasnost	Ncfsa
od	od	Sg
padova	pad	Ncmpg
i	i	Cc
rušenja	rušenje	Ncnsg
)	)	Z
–	–	Z
prašina	prašina	Ncfsn
(	(	Z
opasnost	opasnost	Ncfsn
od	od	Sg
razvoja	razvoj	Ncmsg
bolesti	bolest	Ncfsg
dišnog	dišni	Agpmsgy
sustava	sustav	Ncmsg
alergijskog	alergijski	Agpmsgy
i	i	Cc
nealergijskog	nealergijski	Agpmsgy
tipa	tip	Ncmsg
)	)	Z
–	–	Z
opasnost	opasnost	Ncfsn
od	od	Sg
kemijski	kemijski	Rgp
štetnih	štetan	Agpfpgy
tvari	tvar	Ncfpg
–	–	Z
zbog	zbog	Sg
nefiziloškog	nefiziloški	Agpmsgy
položaja	položaj	Ncmsg
tijela	tijelo	Ncnsg
tijekom	tijekom	Sg
rada	rad	Ncmsg
postoji	postojati	Vmr3s
opasnost	opasnost	Ncfsn
od	od	Sg
oštećenja	oštećenje	Ncnsg
koštano-zglobnog	koštano-zgloban	Agpmsgy
sustava	sustav	Ncmsg
–	–	Z
zbog	zbog	Sg
povremenog	povremen	Agpmsgy
vremenskog	vremenski	Agpmsgy
pritiska	pritisak	Ncmsg
opasnost	opasnost	Ncfsn
od	od	Sg
povećanih	povećan	Agpmpgy
psihofizioloških	psihofiziološki	Agpmpgy
napora	napor	Ncmpg
.	.	Z
–	–	Z
zbog	zbog	Sg
naprezanja	naprezanje	Ncnsg
vida	vid	Ncmsg
pri	pri	Sl
radu	rad	Ncmsl
na	na	Sl
mikroskopu	mikroskop	Ncmsl
i	i	Cc
računalu	računalo	Ncnsl
te	te	Cc
pri	pri	Sl
retuširanju	retuširanje	Ncnsl
,	,	Z
opasnost	opasnost	Ncfsn
od	od	Sg
astenopije	astenopija	Ncfsg
(	(	Z
problemi	problem	Ncmpn
s	sa	Si
vidom	vid	Ncmsi
)	)	Z
Voditelj	voditelj	Ncmsn
odjeljka	odjeljak	Ncmsg
tehnike	tehnika	Ncfsg
i	i	Cc
održavanja	održavanje	Ncnsg
–	–	Z
opasnost	opasnost	Ncfsn
od	od	Sg
ozljeđivanja	ozljeđivanje	Ncnsg
pri	pri	Sl
obavljanju	obavljanje	Ncnsl
pakiranja	pakiranje	Ncnsg
i	i	Cc
transporta	transport	Ncmsg
eksponata	ekspont	Ncmpg
–	–	Z
opasnost	opasnost	Ncfsn
od	od	Sg
padova	pad	Ncmpg
i	i	Cc
rušenja	rušenje	Ncnsg
zbog	zbog	Sg
zakrčenosti	zakrčenost	Ncfsg
prostora	prostor	Ncmsg
–	–	Z
