kaznenopravne	kaznenopravni	Agpfsgy
zaštite	zaštita	Ncfsg
djece	dijete	Ncnpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
djeteta	dijete	Ncnsg
kao	kao	Cs
svjedoka	svjedok	Ncmpg
po	po	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
kaznenom	kazneni	Agpmsly
postupku	postupak	Ncmsl
.	.	Z

17.	17.	Mdo
d	d	Agpmsny
Upisnik	upisnik	Ncmsn
suca	sudac	Ncmsg
za	za	Sa
mladež	mladež	Ncfsa
(	(	Z
Kim	Kim	Npmsn
)	)	Z

Članak	članak	Ncmsn
218.	218.	Mdo
d	d	X

U	u	Sa
upisnik	upisnik	Ncmsan
Kim	Kim	Npmsn
općinski	općinski	Agpmsny
i	i	Cc
županijski	županijski	Agpmpny
sudovi	sud	Ncmpn
upisuju	upisivati	Vmr3p
prijedloge	prijedlog	Ncmpa
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
za	za	Sa
određivanje	određivanje	Ncnsa
pritvora	pritvor	Ncmsg
ili	ili	Cc
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
prema	prema	Sl
maloljetniku	maloljetnik	Ncmsl
,	,	Z
žalbe	žalba	Ncfpn
na	na	Sa
rješenja	rješenje	Ncnpa
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
o	o	Sl
provođenju	provođenje	Ncnsl
pripremnog	pripreman	Agpmsgy
postupka	postupak	Ncmsg
prema	prema	Sl
maloljetniku	maloljetnik	Ncmsl
,	,	Z
prijedloge	prijedlog	Ncmpa
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
za	za	Sa
provođenje	provođenje	Ncnsa
dokaznog	dokazni	Agpnsgy
ročišta	ročište	Ncnsg
,	,	Z
prijedloge	prijedlog	Ncmpa
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
za	za	Sa
određivanje	određivanje	Ncnsa
,	,	Z
produljenje	produljenje	Ncnsa
ili	ili	Cc
ukidanje	ukidanje	Ncnsn
mjere	mjera	Ncfsg
opreza	oprez	Ncmsg
,	,	Z
prijedloge	prijedlog	Ncmpa
za	za	Sa
privremeno	privremen	Agpnsay
stavljanje	stavljanje	Ncnsa
pod	pod	Sa
nadzor	nadzor	Ncmsan
CSS	CSS	Npmsn
radi	radi	Sg
pružanja	pružanje	Ncnsg
pomoći	pomoć	Ncfsg
i	i	Cc
zaštite	zaštita	Ncfsg
ili	ili	Cc
privremenog	privremen	Agpmsgy
smještaja	smještaj	Ncmsg
u	u	Sa
ustanovu	ustanova	Ncfsa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
kao	kao	Cs
i	i	Cc
sve	sav	Agpmpay
druge	drugi	Mlompa
predmete	predmet	Ncmpa
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
suca	sudac	Ncmsg
za	za	Sa
mladež	mladež	Ncfsa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
pripremni	pripreman	Agpmsayn
postupak	postupak	Ncmsan
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
sudovima	sud	Ncmpl
za	za	Sa
mladež	mladež	Ncfsa
.	.	Z

17.	17.	Mdo
e	e	Cc
Upisnik	upisnik	Ncmsn
za	za	Sa
razne	razni	Agpmpay
kaznene	kazneni	Agpmpay
predmete	predmet	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
21.	21.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
USKOK-u	USKOK	Npmsl
i	i	Cc
upisnik	upisnik	Ncmsn
za	za	Sa
razne	razni	Agpmpay
kaznene	kazneni	Agpmpay
predmete	predmet	Ncmpa
ratnih	ratni	Agpmpgy
zločina	zločin	Ncmpg
(	(	Z
Kr-Us	Kr-Us	Npmsn
i	i	Cc
Kr-Rz	Kr-Rz	Npmsn
)	)	Z

Članak	članak	Ncmsn
218.	218.	Mdo
e	e	I

U	u	Sa
upisnik	upisnik	Ncmsan
Kr-Us	kr-	Agpfply
i	i	Cc
Kr-Rz	kr-rz	Agpmpny
županijski	županijski	Agpmpny
sudovi	sud	Ncmpn
upisuju	upisivati	Vmr3p
zamolnice	zamolnica	Ncfpa
drugih	drugi	Mlompg
sudova	sud	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
radnji	radnja	Ncfpg
u	u	Sl
kaznenom	kazneni	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
kao	kao	Cs
i	i	Qo
sve	sav	Agpmpay
ostale	ostali	Agpmpay
kaznene	kazneni	Agpmpay
predmete	predmet	Ncmpa
koje	koji	Pi-mpa
nije	biti	Var3s
moguće	moguć	Agpnsny
upisati	upisati	Vmn
u	u	Sa
neki	neki	Pi-msan
drugi	drugi	Mlomsan
upisnik	upisnik	Ncmsan
,	,	Z
a	a	Cc
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
USKOK-a	USKOK	Npmsg
odnosno	odnosno	Rgp
predmeta	predmet	Ncmpg
ratnih	ratni	Agpmpgy
zločina	zločin	Ncmpg
.	.	Z

