kinematičkih	kinematički	Agpmpgy
1236/2013	1236/2013	Mdc
od	od	Sg
2.	2.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
interoperabilnosti	interoperabilnost	Ncfsg
za	za	Sa
podsustav	podsustav	Ncmsan
»	»	Z
željeznička	željeznički	Agpnpay
vozila	vozilo	Ncnpa
–	–	Z
teretni	teretan	Agpmpny
vagoni	vagon	Ncmpn
«	«	Z
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
i	i	Cc
o	o	Sl
izmjenama	izmjena	Ncfpl
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
321/2013	321/2013	Mdc
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
322	322	Mdc
,	,	Z
03.	03.	Mdo
12.	12.	Mdo
2013.	2013.	Mdo
)	)	Z
,	,	Z

4.	4.	Mdo
WAG	WAG	Npmsn
TSI	TSI	Npmsn
:	:	Z
Uredba	uredba	Ncfsn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2015/924	2015/924	Mdc
оd	оd	Sg
8.	8.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo
o	o	Sl
izmjeni	izmjena	Ncfsl
Uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
321/2013	321/2013	Mdc
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
podsustavom	podsustav	Ncmsi
»	»	Z
željeznička	željeznički	Agpnpny
vozila	vozilo	Ncnpn
–	–	Z
teretni	teretan	Agpmpny
vagoni	vagon	Ncmpn
«	«	Z
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
150	150	Mdc
,	,	Z
17.	17.	Mdo
6.	6.	Mdo
2015.	2015.	Mdo
)	)	Z
,	,	Z

5.	5.	Mdo
NOI	NOI	Npmsn
TSI	TSI	Npmsn
:	:	Z
Uredba	uredba	Ncfsn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1304/2014	1304/2014	Mdc
оd	оd	Sg
26.	26.	Mdo
studenoga	studeni	Ncmsg
2014.	2014.	Mdo
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
podsustava	podsustav	Ncmsg
»	»	Z
željeznička	željeznički	Agpnpay
vozila	vozilo	Ncnpa
–	–	Z
buka	buk	Ncmsg
«	«	Z
kojom	koji	Pi-fsi
se	sebe	Px--sa
izmjenjuje	izmjenjivati	Vmr3s
Odluka	odluka	Ncfsn
2008/232	2008/232	Mdc
/	/	Z
EZ	EZ	Npmsn
i	i	Cc
stavlja	stavljati	Vmr3s
izvan	izvan	Sg
snage	snaga	Ncfsg
Odluka	odluka	Ncfsn
2011/229	2011/229	Mdc
/	/	Z
EU	E	Npmsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
356	356	Mdc
,	,	Z
12.	12.	Mdo
12.	12.	Mdo
2014.	2014.	Mdo
)	)	Z
,	,	Z

6.	6.	Mdo
SRT	SRT	Npmsn
TSI	TSI	Npmsn
:	:	Z
Uredba	uredba	Ncfsn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1303/2014	1303/2014	Mdc
оd	оd	Sg
18.	18.	Mdo
studenoga	studeni	Ncmsg
2014.	2014.	Mdo
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
»	»	Z
sigurnost	sigurnost	Ncfsn
u	u	Sl
željezničkim	željeznički	Agpmply
tunelima	tunel	Ncmpl
«	«	Z
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
356	356	Mdc
,	,	Z
12.	12.	Mdo
12.	12.	Mdo
2014.	2014.	Mdo
)	)	Z
,	,	Z

7.	7.	Mdo
PRM	PRM	Npmsn
TSI	TSI	Npmsn
:	:	Z
Uredba	uredba	Ncfsn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1300/2014	1300/2014	Mdc
оd	оd	Sg
18.	18.	Mdo
studenoga	studeni	Ncmsg
2014.	2014.	Mdo
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
pristupačnošću	pristupačnost	Ncfsi
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
Unije	unija	Ncfsg
osobama	osoba	Ncfpd
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
osobama	osoba	Ncfpi
s	sa	Si
ograničenom	ograničiti	Agpfsiy
pokretljivošću	pokretljivost	Ncfsi
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
356	356	Mdc
,	,	Z
12.	12.	Mdo
12.	12.	Mdo
2014.	2014.	Mdo
)	)	Z
,	,	Z

8.	8.	Mdo
CCS	CCS	Npmsn
TSI	TSI	Npmsn
:	:	Z
Odluka	odluka	Ncfsn
Komisije	komisija	Ncfsg
2012/88	2012/88	Mdc
/	/	Z
EU	EU	Npmsn
od	od	Sg
25.	25.	Mdo
siječnja	siječanj	Ncmsg
2012.	2012.	Mdo
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
prometno-upravljačkim	prometno-upravljački	Agpmsiy
i	i	Cc
signalno-sigurnosnim	signalno-sigurnosan	Agpmpiy
podsustavima	podsustav	Ncmpi
transeuropskog	transeuropski	Agpmsgy
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
352	352	Mdc
,	,	Z
21.	21.	Mdo
12.	12.	Mdo
2012.	2012.	Mdo
)	)	Z
,	,	Z

9.	9.	Mdo
CCS	CCS	Npmsn
TSI	TSI	Npmsn
:	:	Z
Odluka	odluka	Ncfsn
Komisije	komisija	Ncfsg
2012/696	2012/696	Mdc
/	/	Z
EU	E	Npmsg
od	od	Sg
6.	6.	Mdo
studenoga	studeni	Ncmsg
2012.	2012.	Mdo
o	o	Sl
izmjeni	izmjena	Ncfsl
Odluke	odluka	Ncfsg
2012/88	2012/88	Mdc
/	/	Z
EU	E	Npmsg
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
prometno-upravljačkim	prometno-upravljački	Agpmsiy
i	i	Cc
signalno-sigurnosnim	signalno-sigurnosan	Agpmpiy
podsustavima	podsustav	Ncmpi
transeuropskog	transeuropski	Agpmsgy
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
311	311	Mdc
,	,	Z
10.	10.	Mdo
11.	11.	Mdo
2012.	2012.	Mdo
)	)	Z
,	,	Z

10.	10.	Mdo

CCS	CCS	Npmsn
TSI	TSI	Npmsn
:	:	Z
Odluka	odluka	Ncfsn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2015/14	2015/14	Mdc
оd	оd	Sg
5.	5.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo
o	o	Sl
izmjeni	izmjena	Ncfsl
Odluke	odluka	Ncfsg
2012/88	2012/88	Mdc
/	/	Z
EU	E	Npmsg
o	o	Sl
tehničkoj	tehnički	Agpfsly
specifikaciji	specifikacija	Ncfsl
za	za	Sa
interoperabilnost	interoperabilnost	Ncfsa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
prometno-upravljačkim	prometno-upravljački	Agpmsiy
i	i	Cc
signalno-sigurnosnim	signalno-sigurnosan	Agpmpiy
podsustavima	podsustav	Ncmpi
