HORINZONTALNE	horinzontalni	Agpfpny
apartman	apartman	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Modul	modul	Ncmsn
objekta	objekt	Ncmsg
propisan	propisati	Appmsnn
je	biti	Var3s
zasebno	zaseban	Agpnsny
za	za	Sa
postojeći	postojeći	Agpmsayn
i	i	Cc
novi	nov	Agpmsayn
objekt	objekt	Ncmsan
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
kategoriji	kategorija	Ncfsl
.	.	Z

2.4.2.	2.4.2.	Mdo

Smještajni	smještajan	Agpmsny
kapacitet	kapacitet	Ncmsn

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Smještajni	smještajan	Agpmsny
kapacitet	kapacitet	Ncmsn
objekta	objekt	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
broju	broj	Ncmsl
fiksnih	fiksan	Agpmpgy
kreveta	krevet	Ncmpg
,	,	Z
a	a	Cc
u	u	Sl
studio	studio	Agpmsly
apartmanu	apartman	Ncmsl
prema	prema	Sl
broju	broj	Ncmsl
pomoćnih	pomoćan	Agpmpgy
i	i	Cc
fiksnih	fiksan	Agpmpgy
kreveta	krevet	Ncmpg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
površini	površina	Ncfsl
modula	modul	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Objekt	objekt	Ncmsn
ima	imati	Vmr3s
sljedeći	sljedeći	Agpmsayn
kapacitet	kapacitet	Ncmsan
:	:	Z

1.	1.	Mdo
jednokrevetna	jednokrevetni	Agpfsny
soba	soba	Ncfsn
–	–	Z
jedan	jedan	Mlcmsn
krevet	krevet	Ncmsn
(	(	Z
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
)	)	Z
,	,	Z
širine	širina	Ncfsg
do	do	Sg
120	120	Mdc
cm	cm	Y
,	,	Z

2.	2.	Mdo
dvokrevetna	dvokrevetan	Agpfsny
soba	soba	Ncfsn
–	–	Z
dva	dva	Mlc
kreveta	krevet	Ncmsg
(	(	Z
dva	dva	Mlc
kreveta	krevet	Ncmsg
za	za	Sa
po	po	Sa
jednu	jedan	Mlcfsa
osobu	osoba	Ncfsa
ili	ili	Cc
jedan	jedan	Mlcmsan
krevet	krevet	Ncmsan
za	za	Sa
dvije	dva	Mlcf-a
osobe	osoba	Ncfsg
)	)	Z
,	,	Z

3.	3.	Mdo
trokrevetna	trokrevetni	Agpfsny
soba	soba	Ncfsn
–	–	Z
tri	tri	Mlc
kreveta	krevet	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
površina	površina	Ncfsn
modula	modul	Ncmpg
za	za	Sa
dvokrevetnu	dvokrevetan	Agpfsay
sobu	soba	Ncfsa
veća	velik	Agcfsny
za	za	Sa
3	3	Mdc
m²	m²	Ncmsan
,	,	Z

4.	4.	Mdo
apartman	apartman	Ncmsan
i	i	Cc
kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
–	–	Z
jedan	jedan	Mlcmsn
,	,	Z
dva	dva	Mlc
ili	ili	Cc
tri	tri	Mlc
kreveta	krevet	Ncmsg
u	u	Sl
svakoj	svaki	Pi-fsl
sobi	soba	Ncfsl
(	(	Z
za	za	Sa
treći	treći	Mlomsan
krevet	krevet	Ncmsan
površina	površina	Ncfsn
modula	modul	Ncmpg
veća	velik	Agcfsny
za	za	Sa
3	3	Mdc
m²	m²	Y
)	)	Z
,	,	Z

5.	5.	Mdo
studio	studio	Ncmsan
apartman	apartman	Ncmsan
–	–	Z
najviše	mnogo	Rgs
četiri	četiri	Mlc
osobe	osoba	Ncfsg
na	na	Sl
pomoćnim	pomoćan	Agpmply
(	(	Z
sklopivim	sklopiv	Agpmply
)	)	Z
i	i	Cc
/	/	Z
ili	ili	Cc
fiksnim	fiksan	Agpmpiy
krevetima	krevet	Ncmpi
u	u	Sl
postojećem	postojeći	Agpmsly
objektu	objekt	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
jednokrevetnoj	jednokrevetni	Agpfsly
i	i	Cc
dvokrevetnoj	dvokrevetan	Agpfsly
sobi	soba	Ncfsl
može	moći	Vmr3s
se	sebe	Px--sa
namjestiti	namjestiti	Vmn
pomoćni	pomoćan	Agpmsny
krevet	krevet	Ncmsn
,	,	Z
ako	ako	Cs
je	biti	Var3s
površina	površina	Ncfsn
modula	modul	Ncmpg
veća	velik	Agcfsny
za	za	Sa
3	3	Mdc
m²	m²	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
prostoriji	prostorija	Ncfsl
za	za	Sa
boravak	boravak	Ncmsan
apartmana	apartman	Ncmsg
i	i	Cc
kuće	kuća	Ncfsg
za	za	Sa
odmor	odmor	Ncmsan
