inozemstvu	inozemstvo	Ncnsd
prijevoza	prijevoz	Ncmsg
prema	prema	Sl
priloženoj	priložen	Agpfsly
karti	karta	Ncfsl
ili	ili	Cc
računu	račun	Ncmsl

–	i	Agpfsay
prijevoznu	prijevozni	Agpfsay
kartu	karta	Ncfsa
ili	ili	Cc
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
za	za	Sa
dolazak	dolazak	Ncmsan
u	u	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
i	i	Cc
povratak	povratak	Ncmsan
na	na	Sa
izobrazbu	izobrazba	Ncfsa
,	,	Z
ako	ako	Cs
izobrazba	izobrazba	Ncfsn
traje	trajati	Vmr3s
od	od	Sg
šest	šest	Mlc
do	do	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
,	,	Z
a	a	Cc
za	za	Sa
svakih	svaki	Agpmpgy
daljnjih	daljnji	Agpmpgy
punih	pun	Agpmpgy
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
po	po	Sa
jednu	jedan	Mlcfsa
povratnu	povratan	Agpfsay
prijevoznu	prijevozni	Agpfsay
kartu	karta	Ncfsa

–	i	Agpfsay
prijevoznu	prijevozni	Agpfsay
kartu	karta	Ncfsa
ili	ili	Cc
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
za	za	Sa
dolazak	dolazak	Ncmsan
u	u	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
i	i	Cc
povratak	povratak	Ncmsan
na	na	Sa
izobrazbu	izobrazba	Ncfsa
na	na	Sa
planom	plan	Ncmsan
i	i	Cc
programom	program	Ncmsi
izobrazbe	izobrazba	Ncfsg
predviđen	predvidjeti	Appmsnn
odmor	odmor	Ncmsn
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
10	10	Mdc
dana	dan	Ncmpg
,	,	Z
ako	ako	Cs
izobrazba	izobrazba	Ncfsn
traje	trajati	Vmr3s
dulje	dugo	Rgc
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg

–	i	Agpfsay
prijevoznu	prijevozni	Agpfsay
kartu	karta	Ncfsa
ili	ili	Cc
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
za	za	Sa
dolazak	dolazak	Ncmsan
u	u	Sa
Republiku	republika	Ncfsa
Hrvatsku	Hrvatska	Npfsa
i	i	Cc
povratak	povratak	Ncmsan
na	na	Sa
izobrazbu	izobrazba	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
smrti	smrt	Ncfsg
ili	ili	Cc
teške	težak	Agpfsgy
bolesti	bolest	Ncfsg
člana	član	Ncmsg
uže	uzak	Agcfsgy
obitelji	obitelj	Ncfsg
.	.	Z

–	–	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
dodatne	dodatan	Agpfsgy
prtljage	prtljaga	Ncfsg
ako	ako	Cs
izobrazba	izobrazba	Ncfsn
od	od	Sg
strane	strana	Ncfsg
države	država	Ncfsg
primateljice	primateljica	Ncfsg
uvjetuje	uvjetovati	Vmr3s
potrebu	potreba	Ncfsa
dodatne	dodatan	Agpfsgy
opreme	oprema	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
podstavka	podstavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
po	po	Sl
obavijesti	obavijest	Ncfsl
države	država	Ncfsg
primateljice	primateljica	Ncfsg
o	o	Sl
nepostojanju	nepostojanje	Ncnsl
ili	ili	Cc
neodgovarajućem	neodgovarajući	Agpmsly
lokalnom	lokalan	Agpmsly
prijevozu	prijevoz	Ncmsl
od	od	Sg
mjesta	mjesto	Ncnsg
stanovanja	stanovanje	Ncnsg
do	do	Sg
mjesta	mjesto	Ncnsg
održavanja	održavanje	Ncnsg
izobrazbe	izobrazba	Ncfsg
i	i	Cc
obratno	obratno	Rgp
,	,	Z
polazniku	polaznik	Ncmsl
izobrazbe	izobrazba	Ncfsg
će	htjeti	Var3s
se	sebe	Px--sa
isplatiti	isplatiti	Vmn
akontacija	akontacija	Ncfsn
od	od	Sg
30,000.00	30,000.00	Mdc
kn	KN	Ncmpg
.	.	Z

Akontaciju	akontacija	Ncfsa
može	moći	Vmr3s
koristiti	koristiti	Vmn
za	za	Sa
nabavu	nabava	Ncfsa
osobnog	osoban	Agpmsgy
automobila	automobil	Ncmsg
uz	uz	Sa
troškove	trošak	Ncmpa
osiguranja	osiguranje	Ncnsg
koji	koji	Pi-mpn
će	htjeti	Var3p
se	sebe	Px--sa
pravdati	pravdati	Vmn
predočenjem	predočenje	Ncnsi
računa	račun	Ncmsg
/	/	Z
ugovora	ugovor	Ncmsg
o	o	Sl
kupnji	kupnja	Ncfsl
i	i	Cc
prodaji	prodaja	Ncfsl
uz	uz	Sa
naznačenu	naznačen	Agpfsay
cijenu	cijena	Ncfsa
kupnje	kupnja	Ncfsg
odnosno	odnosno	Rgp
prodaje	prodaja	Ncfsg
.	.	Z

Prodajna	prodajni	Agpfsny
cijena	cijena	Ncfsn
osobnog	osoban	Agpmsgy
automobila	automobil	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
iznositi	iznositi	Vmn
manje	malo	Rgc
od	od	Sg
80	80	Mdc
%	%	Z
iznosa	iznos	Ncmsg
kupovne	kupovni	Agpfsgy
cijene	cijena	Ncfsg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
nabave	nabava	Ncfsg
osobnog	osoban	Agpmsgy
automobila	automobil	Ncmsg
polazniku	polaznik	Ncmsd
će	htjeti	Var3s
se	sebe	Px--sa
osigurati	osigurati	Vmn
troškovi	trošak	Ncmpn
ishođenja	ishođenje	Ncnsg
