moguću	moguć	Agpfsay
mjeru	mjera	Ncfsa
ili	ili	Cc
smanjuju	smanjivati	Vmr3p
pristup	pristup	Ncmsan
slobodnog	slobodan	Agpmsgy
zraka	zrak	Ncmsg
do	do	Sg
nogu	noga	Ncfpg
osobe	osoba	Ncfsg
u	u	Sl
odijelu	odijelo	Ncnsl
;	;	Z
i	i	Cc

.	.	Z
5	5	Mdc
nakon	nakon	Sg
skoka	skok	Ncmsg
u	u	Sl
vodu	vod	Ncmsl
s	sa	Sg
visine	visina	Ncfsg
od	od	Sg
najmanje	malo	Rgs
4,5	4,5	Mdc
m	m	Y
ne	ne	Qz
prodre	prodrijeti	Vmr3s
voda	voda	Ncfsn
u	u	Sa
zaštitno	zaštitni	Agpnsay
odijelo	odijelo	Ncnsa
.	.	Z

6.4.1.2	6.4.1.i	Agpnsay
Hidro-termo	hidro-term	Agpnsay
odijelo	odijelo	Ncnsa
samo	samo	Rgp
,	,	Z
ili	ili	Cc
ako	ako	Cs
se	sebe	Px--sa
nosi	nositi	Vmr3s
zajedno	zajedno	Rgp
s	sa	Si
prslukom	prsluk	Ncmsi
za	za	Sa
spašavanje	spašavanje	Ncnsa
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
dovoljan	dovoljan	Agpmsann
uzgon	uzgon	Ncmsan
i	i	Cc
stabilitet	stabilitet	Ncmsan
u	u	Sl
mirnoj	miran	Agpfsly
vodi	voda	Ncfsl
tako	tako	Cs
da	da	Cs
:	:	Z

.	.	Z
1	1	Mdc
može	moći	Vmr3s
podići	podići	Vmn
usta	usta	Ncnpa
iscrpljene	iscrpljen	Agpfsgy
ili	ili	Cc
onesviještene	onesvijestiti	Appfpay
osobe	osoba	Ncfpa
na	na	Sa
visinu	visina	Ncfsa
koja	koji	Pi-fsn
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manja	mali	Agcfsny
od	od	Sg
120	120	Mdc
mm	mm	Y
;	;	Z
i	i	Cc

.	.	Z
2	2	Mdc
okrene	okrenuti	Vmr3s
tijelo	tijelo	Ncnsa
,	,	Z
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ga	on	Pp3msa
nosi	nositi	Vmr3s
,	,	Z
s	sa	Si
licem	lice	Ncnsi
u	u	Sl
vodi	voda	Ncfsl
u	u	Sa
položaj	položaj	Ncmsan
s	sa	Si
ustima	usta	Ncfpi
iznad	iznad	Sg
vode	voda	Ncfsg
u	u	Sl
vremenu	vrijeme	Ncnsl
koje	koji	Pi-nsn
nije	biti	Var3s
dulje	dugo	Rgc
od	od	Sg
5	5	Mdc
s.	s.	Y

6.4.1.3	6.4.1.i	Agpnsay
Hidro-termo	hidro-term	Agpnsay
odijelo	odijelo	Ncnsa
samo	samo	Rgp
,	,	Z
ili	ili	Cc
ako	ako	Cs
se	sebe	Px--sa
nosi	nositi	Vmr3s
zajedno	zajedno	Rgp
s	sa	Si
prslukom	prsluk	Ncmsi
za	za	Sa
spašavanje	spašavanje	Ncnsa
,	,	Z
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
osobi	osoba	Ncfsd
koja	koji	Pi-fsn
ga	on	Pp3msa
nosi	nositi	Vmr3s
da	da	Cs
:	:	Z

.	.	Z
1	1	Mdc
se	sebe	Px--sa
popne	popeti	Vmr3s
i	i	Cc
spusti	spustiti	Vmr3s
uz	uz	Sa
vertikalne	vertikalan	Agpfpay
ljestve	ljestve	Ncfpa
duljine	duljina	Ncfsg
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
5	5	Mdc
m	m	Y
;	;	Z

.	.	Z
2	2	Mdc
obavlja	obavljati	Vmr3s
potrebne	potreban	Agpfpay
radnje	radnja	Ncfpa
za	za	Sa
vrijeme	vrijeme	Ncnsa
napuštanja	napuštanje	Ncnsg
broda	brod	Ncmsg
;	;	Z

.	.	Z
3	3	Mdc
skoči	skočiti	Vmr3s
u	u	Sa
vodu	voda	Ncfsa
s	sa	Sg
visine	visina	Ncfsg
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
4,5	4,5	Mdc
m	m	Y
,	,	Z
bez	bez	Sg
oštećenja	oštećenje	Ncnsg
ili	ili	Cc
spadanja	spadanje	Ncnsg
odijela	odijelo	Ncnsg
ili	ili	Cc
djelova	djelov	Ncmpg
opreme	oprema	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
tjelesne	tjelesni	Agpfsgy
povrede	povreda	Ncfsg
;	;	Z
i	i	Cc

.	.	Z
4	4	Mdc
prepliva	preplivati	Vmr3s
kratku	kratak	Agpfsay
razdaljinu	razdaljina	Ncfsa
i	i	Cc
ukrca	ukrcati	Vmr3s
se	sebe	Px--sa
u	u	Sa
plovilo	plovilo	Ncnsa
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
.	.	Z

6.4.1.4	6.4.1.4	Mdc
Hidro-termo	hidro-terti	Vmr1p
odijelo	odijelo	Ncnsa
koje	koji	Pi-nsn
ima	imati	Vmr3s
uzgon	uzgon	Ncmsan
i	i	Cc
izrađeno	izraditi	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
nosi	nositi	Vmr3s
bez	bez	Sg
prsluka	prsluk	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
svjetlo	svjetlo	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
6.3.3	6.3.3	Mdc
i	i	Cc
zviždaljku	zviždaljka	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
6.3.1.14.	6.3.1.14.	Mds

6.4.1.5	6.4.1.5	Mdc
