čija	čiji	Pi-fsn
je	biti	Var3s
namjena	namjena	Ncfsn
sport	sport	Ncmsn
i	i	Cc
/	/	Z
ili	ili	Cc
rekreacija	rekreacija	Ncfsn
,	,	Z
osim	osim	Sg
igrališta	igralište	Ncnsg
za	za	Sa
golf	golf	Ncmsan
.	.	Z

U	u	Sl
okviru	okvir	Ncmsl
svih	sav	Agpmpgy
zahvata	zahvat	Ncmpg
sportsko-rekreacijske	sportsko-rekreacijski	Agpfpny
namjene	namjena	Ncfpn
mogu	moći	Vmr3p
se	sebe	Px--sa
graditi	graditi	Vmn
/	/	Z
uređivati	uređivati	Vmn
i	i	Cc
prateći	prateći	Agpmpny
sadržaji	sadržaj	Ncmpn
koji	koji	Pi-mpn
upotpunjuju	upotpunjivati	Vmr3p
i	i	Cc
služe	služiti	Vmr3p
osnovnoj	osnovan	Agpfsly
namjeni	namjena	Ncfsl
.	.	Z

Naziv	naziv	Ncmsn
teme	tema	Ncfsg
:	:	Z
R1	R1	X

Sportsko-rekreacijska	sportsko-rekreacijski	Agpfsny
namjena	namjena	Ncfsn
–	–	Z
golf	golf	Ncmsn
igralište	igralište	Ncnsn
državnog	državni	Agpmsgy
značaja	značaj	Ncmsg
(	(	Z
R1	R1	X
)	)	Z

Na	na	Sl
površinama	površina	Ncfpl
sportsko-rekreacijske	sportsko-rekreacijski	Agpfsgy
namjene	namjena	Ncfsg
–	–	Z
golf	golf	Ncmsn
igralište	igralište	Ncnsn
državnog	državni	Agpmsgy
značaja	značaj	Ncmsg
(	(	Z
R1	R1	X
)	)	Z
dozvoljena	dozvoliti	Appfsny
je	biti	Var3s
gradnja	gradnja	Ncfsn
igrališta	igralište	Ncnsg
za	za	Sa
golf	golf	Ncmsan
.	.	Z

U	u	Sl
okviru	okvir	Ncmsl
površine	površina	Ncfsg
namijenjene	namijenjen	Agpfsgy
golf	golf	Ncmsn
igralištu	igralište	Ncnsl
mogu	moći	Vmr3p
se	sebe	Px--sa
graditi	graditi	Vmn
/	/	Z
uređivati	uređivati	Vmn
i	i	Cc
prateći	prateći	Agpmpny
sadržaji	sadržaj	Ncmpn
koji	koji	Pi-mpn
upotpunjuju	upotpunjivati	Vmr3p
i	i	Cc
služe	služiti	Vmr3p
osnovnoj	osnovan	Agpfsly
namjeni	namjena	Ncfsl
,	,	Z
osim	osim	Sg
stanovanja	stanovanje	Ncnsg
.	.	Z

Naziv	naziv	Ncmsn
teme	tema	Ncfsg
:	:	Z
PN	PN	Npmsn

Posebna	poseban	Agpfsny
namjena	namjena	Ncfsn
