uključujući	uključivati	Rr
i	i	Qo
njihove	njihov	Ps3fsg
elektroničke	elektronički	Agpfpay
adrese	adresa	Ncfpa
,	,	Z
takvih	takav	Pd-fpg
osoba	osoba	Ncfpg
moraju	morati	Vmr3p
se	sebe	Px--sa
pismeno	pismeno	Rgp
priopćiti	priopćiti	Vmn
Sudištu	sudište	Ncnsd
i	i	Cc
drugoj	drugi	Mlofsl
stranci	stranka	Ncfsl
.	.	Z

U	u	Sl
priopćenju	priopćenje	Ncnsl
treba	trebati	Vmr3s
naznačiti	naznačiti	Vmn
odnosi	odnositi	Vmr3s
li	li	Cs
se	sebe	Px--sa
imenovanje	imenovanje	Ncnsa
na	na	Sa
zastupanje	zastupanje	Ncnsa
ili	ili	Cc
na	na	Sa
savjetovanje	savjetovanje	Ncnsa
.	.	Z

II	ii	Mrc
.	.	Z

PODNOŠENJE	podnošenje	Ncnsn
I	i	Cc
DOSTAVA	dostava	Ncfsn
PISMENA	pismen	Agpfsny

Podnesci	podnesak	Ncmpn
i	i	Cc
druga	drugi	Agpnpay
pismena	pismena	Ncnpa
priopćenja	priopćenje	Ncnsg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stranke	stranka	Ncfsg
i	i	Cc
umješači	umješačo	Ncmpg
u	u	Sl
postupku	postupak	Ncmsl
podnose	podnositi	Vmr3p
tajništvu	tajništvo	Ncnsl
Sudišta	sudište	Ncnsg
na	na	Sa
adresu	adresa	Ncfsa
Sudišta	sudište	Ncnsg
u	u	Sl
dovoljnom	dovoljan	Agpmsly
broju	broj	Ncmsl
primjeraka	primjerak	Ncmpg
za	za	Sa
tajništvo	tajništvo	Ncnsa
Sudišta	sudište	Ncnsg
,	,	Z
protivnu	protivan	Agpfsay
stranku	stranka	Ncfsa
,	,	Z
umješače	umješače	Ncmsan
te	te	Cc
članove	član	Ncmpa
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
tužbu	tužba	Ncfsa
i	i	Cc
odgovor	odgovor	Ncmsan
na	na	Sa
tužbu	tužba	Ncfsa
te	te	Cc
druge	drugi	Mlompa
svoje	svoj	Px-mpa
podneske	podnesak	Ncmpa
i	i	Cc
pismena	pismena	Ncnpa
priopćenja	priopćenje	Ncnsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
prilozima	prilog	Ncmpi
uz	uz	Sa
ta	taj	Agpnpay
pismena	pismena	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
u	u	Sl
postupku	postupak	Ncmsl
sudjeluje	sudjelovati	Vmr3s
više	mnogo	Rgc
osoba	osoba	Ncfpg
u	u	Sl
svojstvu	svojstvo	Ncnsl
suparničara	suparničar	Ncmpg
,	,	Z
stranke	stranka	Ncfsg
i	i	Cc
umješači	umješačo	Ncmpg
podnijet	podnijeti	Vmn
će	htjeti	Var3s
svoje	svoj	Px-mpa
podneske	podnesak	Ncmpa
s	sa	Si
prilozima	prilog	Ncmpi
u	u	Sl
dovoljnom	dovoljan	Agpmsly
broju	broj	Ncmsl
primjeraka	primjerak	Ncmpg
i	i	Cc
za	za	Sa
svakog	svaki	Ncmsan
od	od	Sg
suparničara	suparničar	Ncmpg
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
strani	strana	Ncfsl
u	u	Sl
postupku	postupak	Ncmsl
nalaze	nalaziti	Vmr3p
,	,	Z
osim	osim	Cs
ako	ako	Cs
oni	oni	Pp3mpn
imaju	imati	Vmr3p
zajedničkog	zajednički	Agpmsgy
zastupnika	zastupnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Drugi	drugi	Mlompn
sudionici	sudionik	Ncmpn
u	u	Sl
postupku	postupak	Ncmsl
svoja	svoj	Px-npa
pismena	pismen	Agpnpay
priopćenja	priopćenje	Ncnpa
podnose	podnositi	Vmr3p
tajništvu	tajništvo	Ncnsl
Sudišta	sudište	Ncnsg
na	na	Sa
adresu	adresa	Ncfsa
Sudišta	sudište	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
primjerku	primjerak	Ncmsl
spisa	spis	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
čuva	čuvati	Vmr3s
u	u	Sl
Sudištu	sudište	Ncnsl
treba	trebati	Vmr3s
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
barem	barem	Rgp
jedan	jedan	Mlcmsn
primjerak	primjerak	Ncmsn
od	od	Sg
svakog	svaki	Pi-msg
pismena	pismena	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
kojega	koji	Pi-msay
je	biti	Var3s
arbitražni	arbitražni	Agpmsny
sud	sud	Ncmsn
raspravljao	raspravljati	Vmp-sm
i	i	Cc
odlučivao	odlučivati	Vmp-sm
.	.	Z

Na	na	Sa
zahtjev	zahtjev	Ncmsan
stranaka	stranka	Ncfpg
ili	ili	Cc
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
tajnik	tajnik	Ncmsn
Sudišta	sudište	Ncnsg
izdat	izdati	Vmn
će	htjeti	Var3p
prijepis	prijepis	Ncmsn
određene	određen	Agpfsgy
isprave	isprava	Ncfsg
iz	iz	Sg
spisa	spis	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
čuva	čuvati	Vmr3s
u	u	Sl
Sudištu	sudište	Ncnsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Tajnik	tajnik	Ncmsn
Sudišta	sudište	Ncnsg
ili	ili	Cc
arbitražni	arbitražni	Agpmsayn
sud	sud	Ncmsan
mogu	moći	Vmr3p
zatražiti	zatražiti	Vmn
od	od	Sg
stranaka	stranka	Ncfpg
da	da	Cs
svoje	svoj	Px-mpa
podneske	podnesak	Ncmpa
i	i	Cc
priloge	prilog	Ncmpa
podnose	podnositi	Vmr3p
Sudištu	sudište	Ncnsd
i	i	Cc
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
.	.	Z

Izravno	izravan	Agpnsny
upućivanje	upućivanje	Ncnsn
pismena	pismen	Agpfsny

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stranke	stranka	Ncfsg
,	,	Z
umješači	umješač	Ncfpg
i	i	Cc
drugi	drugi	Mlompn
sudionici	sudionik	Ncmpn
u	u	Sl
postupku	postupak	Ncmsl
mogu	moći	Vmr3p
izravno	izravno	Rgp
upućivati	upućivati	Vmn
jedni	jedan	Mlcmpn
drugim	drugi	Mlompd
određene	određen	Agpmpay
podneske	podnesak	Ncmpa
s	sa	Si
prilozima	prilog	Ncmpi
i	i	Cc
druga	drugi	Agpnpay
pismena	pismena	Ncnpa
priopćenja	priopćenje	Ncnsg
samo	samo	Rgp
na	na	Sl
temelju	temelj	Ncmsl
odobrenja	odobrenje	Ncnsg
tajnika	tajnik	Ncmpg
Sudišta	sudište	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
,	,	Z
nakon	nakon	Sg
osnivanja	osnivanje	Ncnsg
arbitražnog	arbitražni	Agpmsgy
suda	sud	Ncmsg
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
odobrenja	odobrenje	Ncnsg
tog	taj	Pd-msg
suda	sud	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tajnik	tajnik	Ncmsn
Sudišta	sudište	Ncnsg
i	i	Cc
arbitražni	arbitražni	Agpmsayn
sud	sud	Ncmsan
mogu	moći	Vmr3p
naložiti	naložiti	Vmn
strankama	stranka	Ncfpi
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
one	onaj	Pd-fpn
tome	taj	Pd-nsd
suglasno	suglasno	Rgp
ne	ne	Qz
usprotive	usprotiviti	Vmr3p
,	,	Z
da	da	Cs
svoje	svoj	Px-mpa
podneske	podnesak	Ncmpa
s	sa	Si
prilozima	prilog	Ncmpi
upućuju	upućivati	Vmr3p
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
izravno	izravno	Rgp
jedna	jedan	Mlcfsn
drugoj	drugi	Mlofsd
preporučeno	preporučiti	Appnsny
