ulaganja	ulaganje	Ncnpn
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
kamate	kamata	Ncfpa
5.	5.	Mdo
Plaćeni	platiti	Appmsayn
porez	porez	Ncmsan
na	na	Sa
dobit	dobit	Ncfsa
A	a	Cc
NETO	neto	Agpmpny
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
POSLOVNIH	poslovan	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
INVESTICIJSKIH	investicijski	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
1.	1.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
prodaje	prodaja	Ncfsg
dugotrajne	dugotrajan	Agpfsgy
materijalne	materijalan	Agpfsgy
i	i	Cc
nematerijalne	nematerijalan	Agpfsgy
imovine	imovina	Ncfsg
2.	2.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
prodaje	prodaja	Ncfsg
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
3.	3.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
kamata	kamata	Ncfpg
4.	4.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
dividendi	dividenda	Ncfpg
5.	5.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
s	sa	Sg
osnove	osnova	Ncfsg
povrata	povrat	Ncmpg
danih	dan	Agpmpgy
zajmova	zajam	Ncmpg
i	i	Cc
štednih	štedni	Agpmpgy
uloga	ulog	Ncmpg
6.	6.	Mdo
Ostali	ostali	Agpmpny
novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
investicijskih	investicijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
III	III	Agpmpny
Ukupno	ukupno	Rgp
novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
investicijskih	investicijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
1.	1.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
kupnju	kupnja	Ncfsa
dugotrajne	dugotrajan	Agpfsgy
materijalne	materijalan	Agpfsgy
i	i	Cc
nematerijalne	nematerijalan	Agpfsgy
imovine	imovina	Ncfsg
2.	2.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
stjecanje	stjecanje	Ncnsa
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
3.	3.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
s	sa	Sg
osnove	osnova	Ncfsg
danih	dan	Agpmpgy
zajmova	zajam	Ncmpg
i	i	Cc
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
za	za	Sa
razdoblje	razdoblje	Ncnsa
4.	4.	Mdo
Stjecanje	stjecanje	Ncnsa
ovisnog	ovisan	Agpnsgy
društva	društvo	Ncnsg
,	,	Z
umanjeno	umanjiti	Appnsny
za	za	Sa
stečeni	steći	Agpmsayn
novac	novac	Ncmsan
5.	5.	Mdo
Ostali	ostali	Agpmpny
novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
od	od	Sg
investicijskih	investicijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
IV	IV	Mrc
Ukupno	ukupno	Rgp
novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
od	od	Sg
investicijskih	investicijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
B	b	Sl
NETO	neto	Agpmpny
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
INVESTICIJSKIH	investicijski	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
FINANCIJSKIH	financijski	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
1.	1.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
povećanja	povećanje	Ncnsg
temeljnog	temeljan	Agpnsgy
(	(	Z
upisanog	upisati	Agpmsgy
)	)	Z
kapitala	kapital	Ncmsg
2.	2.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
izdavanja	izdavanje	Ncnsg
vlasničkih	vlasnički	Agpfpgy
i	i	Cc
dužničkih	dužnički	Agpmpgy
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
3.	3.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
glavnice	glavnica	Ncfsg
kredita	kredit	Ncmpg
,	,	Z
pozajmica	pozajmica	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
posudbi	posudba	Ncfpg
4.	4.	Mdo
Ostali	ostali	Agpmpny
novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
financijskih	financijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
V	V	Ncfsg
Ukupno	ukupno	Rgp
novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
financijskih	financijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
1.	1.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
otplatu	otplata	Ncfsa
glavnice	glavnica	Ncfsg
kredita	kredit	Ncmpg
,	,	Z
pozajmica	pozajmica	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
posudbi	posudba	Ncfpg
i	i	Cc
dužničkih	dužnički	Agpmpgy
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
2.	2.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
isplatu	isplata	Ncfsa
dividendi	dividenda	Ncfpg
3.	3.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
financijski	financijski	Agpmsayn
najam	najam	Ncmsan
4.	4.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
otkup	otkup	Ncmsan
vlastitih	vlastit	Agpfpgy
dionica	dionica	Ncfpg
i	i	Cc
smanjenje	smanjenje	Ncnsa
temeljnog	temeljan	Agpnsgy
(	(	Z
upisanog	upisati	Agpmsgy
)	)	Z
kapitala	kapital	Ncmsg
5.	5.	Mdo
Ostali	ostali	Agpmpny
novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
od	od	Sg
financijskih	financijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
VI	vi	Pp2-pn
Ukupno	ukupno	Rgp
novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
od	od	Sg
financijskih	financijski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
C	C	Sl
NETO	neto	Agpmpny
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
FINANCIJSKIH	financijski	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
1.	1.	Mdo
Nerealizirane	nerealiziran	Agpfsgy
tečajne	tečajni	Agpfsgy
razlike	razlika	Ncfsg
po	po	Sl
novcu	novac	Ncmsl
i	i	Cc
novčanim	novčan	Agpmpiy
ekvivalentima	ekvivalent	Ncmpi
D	D	Pd-nsn
NETO	neto	Agpnsay
POVEĆANJE	povećanje	Ncnsa
ILI	ili	Cc
SMANJENJE	smanjenje	Ncnsn
NOVČANIH	novčan	Agpmpgy
TOKOVA	tok	Ncmpg
E	e	Agpmsny
NOVAC	novac	Ncmsn
I	i	Cc
NOVČANI	novčan	Agpmpny
EKVIVALENTI	ekvivalent	Ncmpn
NA	na	Sl
POČETKU	početak	Ncmsl
RAZDOBLJA	razdoblje	Ncnsg
F	f	Agpmsny
NOVAC	novac	Ncmsn
I	i	Cc
NOVČANI	novčan	Agpmpny
EKVIVALENTI	ekvivalent	Ncmpn
NA	na	Sl
KRAJU	kraj	Ncmsl
RAZDOBLJA	razdoblje	Ncnsg

DIREKTNA	direktan	Agpfsny
METODA	metoda	Ncfsn

Oznaka	oznaka	Ncfsn
pozicije	pozicija	Ncfsg
Naziv	naziv	Ncmsn
pozicije	pozicija	Ncfsg
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
POSLOVNIH	poslovan	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
1.	1.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
kupaca	kupac	Ncmpg
2.	2.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
tantijema	tantijem	Ncmpg
,	,	Z
naknada	naknada	Ncfsn
,	,	Z
provizija	provizija	Ncfsn
i	i	Cc
slično	slično	Rgp
3.	3.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
od	od	Sg
osiguranja	osiguranje	Ncnsg
za	za	Sa
naknadu	naknada	Ncfsa
šteta	šteta	Ncfpg
4.	4.	Mdo
Novčani	novčan	Agpmpny
primici	primitak	Ncmpn
s	sa	Sg
osnove	osnova	Ncfsg
povrata	povrat	Ncmsg
poreza	porez	Ncmsg
5.	5.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
dobavljačima	dobavljač	Ncmpd
6.	6.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
zaposlene	zaposlen	Agpmpay
7.	7.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
za	za	Sa
naknade	naknada	Ncfpa
šteta	šteta	Ncfpg
8.	8.	Mdo
Ostali	ostali	Agpmpny
novčani	novčan	Agpmpny
primici	primitak	Ncmpn
i	i	Cc
izdaci	izdatak	Ncmpn
I	i	Cc
Novac	Novac	Npmsn
iz	iz	Sg
poslovanja	poslovanje	Ncnsg
9.	9.	Mdo
Novčani	novčan	Agpmpny
izdaci	izdatak	Ncmpn
za	za	Sa
kamate	kamata	Ncfpa
10.	10.	Mdo

Plaćeni	platiti	Appmsayn
porez	porez	Ncmsan
na	na	Sa
dobit	dobit	Ncfsa
A	a	Cc
)	)	Z
NETO	neto	Agpmpny
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
POSLOVNIH	poslovan	Agpfpgy
AKTIVNOSTI	aktivnost	Ncfpg
NOVČANI	novčan	Agpmpny
TOKOVI	tok	Ncmpn
OD	od	Sg
INVESTICIJSKIH	investicijski	Agpfpgy

