ostvarenih	ostvariti	Agpfpgy
,	,	Z
v.	v.	Y
r.	r.	Y

Dodatak	dodatak	Ncmsn
1.	1.	Mdo
–	–	Z
Dodatak	dodatak	Ncmsn
6.	6.	Mdo

