uredu	ured	Ncmsl
starost	starost	Ncfsn
zgrade	zgrada	Ncfsg
(	(	Z
maksimalno	maksimalno	Rgp
60	60	Mdc
godina	godina	Ncfpg
)	)	Z

Ks	Ks	Y
–	–	Z
koeficijent	koeficijent	Ncmsn
umanjenja	umanjenje	Ncnsg
vrijednosti	vrijednost	Ncfsg
koji	koji	Pi-msn
iznosi	iznositi	Vmr3s
0,7.	0,7a	Ncfpa

VIII	viii	Mrc
.	.	Z

Osobni	osoban	Agpmsny
popust	popust	Ncmsn
kupca	kupac	Ncmsg
izračunava	izračunavati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
izrazu	izraz	Ncmsl
:	:	Z

Op	OP	Npmsn
100	100	Mdc
–	–	Z
(	(	Z
Gi	Gi	Xf
x	X	Xf
1,5	1,5	Mdc
+	+	Z
n	n	Cc
+	+	Z
Gr	Gr	Xf
x	X	Xf
2	2	Mdc
))	))	Z
/	/	Z
100	100	Mdc

Gi	Gi	I
–	–	Z
godine	godina	Ncfsg
provedene	provesti	Appfsgy
kao	kao	Cs
izbjeglica	izbjeglica	Ncfsn
,	,	Z
prognanik	prognanik	Ncmsn
i	i	Cc
povratnik	povratnik	Ncmsn

n	n	Npmsn
–	–	Z
15	15	Mdc
%	%	Z
kod	kod	Sg
kupnje	kupnja	Ncfsg
jednokratnom	jednokratan	Agpfsiy
isplatom	isplata	Ncfsi

Gr	Gr	Y
–	–	Z
godine	godina	Ncfsg
provedene	provesti	Appfpny
u	u	Sl
Domovinskom	domovinski	Agpmsly
ratu	rat	Ncmsl
(	(	Z
maksimalno	maksimalno	Rgp
6	6	Mdc
godina	godina	Ncfpg
)	)	Z
.	.	Z

Prilikom	prilikom	Sg
obračuna	obračun	Ncmsg
osobnog	osoban	Agpmsgy
popusta	popust	Ncmsg
kupcu	kupac	Ncmsd
na	na	Sl
osnovi	osnova	Ncfsl
godina	godina	Ncfpg
provedenih	provesti	Appfpgy
u	u	Sl
Domovinskom	domovinski	Agpmsly
ratu	rat	Ncmsl
i	i	Cc
godina	godina	Ncfpg
provedenih	provesti	Appfpgy
kao	kao	Cs
izbjeglica	izbjeglica	Ncfsn
,	,	Z
prognanik	prognanik	Ncmsn
i	i	Cc
povratnik	povratnik	Ncmsan
,	,	Z
obračunavat	obračunavati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Cc
mjeseci	mjesec	Ncmpg
,	,	Z
a	a	Cc
ne	ne	Qz
samo	samo	Rgp
godine	godina	Ncfsg
.	.	Z

Ako	ako	Cs
stan	stan	Ncmsan
kupuju	kupovati	Vmr3p
supružnici	supružnik	Ncmpn
zajedno	zajedno	Rgp
,	,	Z
osobni	osoban	Agpmpny
popusti	popust	Ncmpn
se	sebe	Px--sa
ne	ne	Qz
zbrajaju	zbrajati	Vmr3p
.	.	Z

IX	IX	Mrc
.	.	Z

U	u	Sl
gradovima	grad	Ncmpl
iznad	iznad	Sg
100	100	Mdc
000	000	Mdc
stanovnika	stanovnik	Ncmpg
,	,	Z
za	za	Sa
stanove	stan	Ncmpa
veće	velik	Agcfsgy
površine	površina	Ncfsg
od	od	Sg
65	65	Mdc
m2	m	Ncmpg
,	,	Z
položaja	položaj	Ncmsg
u	u	Sl
zgradi	zgrada	Ncfsl
za	za	Sa
tipske	tipski	Agpmpay
etažne	etažni	Agpmpay
stanove	stan	Ncmpa
,	,	Z
osim	osim	Sg
podrumskih	podrumski	Agpmpgy
,	,	Z
suterenskih	suterenski	Agpfpgy
i	i	Cc
tavanskih	tavanski	Agpmpgy
stanova	stan	Ncmpg
,	,	Z
te	te	Cc
na	na	Sl
lokacijama	lokacija	Ncfpl
I.	I.	Pi-fpn
zone	zona	Ncfpn
utvrđene	utvrditi	Appfpny
važećim	važeći	Agpfpiy
gradskim	gradski	Agpfpiy
odlukama	odluka	Ncfpi
o	o	Sl
komunalnom	komunalan	Agpmsly
doprinosu	doprinos	Ncmsl
,	,	Z
kao	kao	Cs
kupoprodajna	kupoprodajni	Agpfsny
cijena	cijena	Ncfsn
stana	stan	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
tržišna	tržišni	Agpfsny
cijena	cijena	Ncfsn
po	po	Sl
procjeni	procjena	Ncfsl
ovlaštenoga	ovlašten	Agpmsgy
sudskog	sudski	Agpmsgy
vještaka	vještak	Ncmsg
građevinske	građevinski	Agpfsgy
struke	struka	Ncfsg
,	,	Z
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
obročne	obročan	Agpfsgy
otplate	otplata	Ncfsg
i	i	Cc
visinu	visina	Ncfsa
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
ostale	ostali	Agpmpay
stanove	stan	Ncmpa
iz	iz	Sg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
,	,	Z
te	te	Cc
popust	popust	Ncmsan
od	od	Sg
15	15	Mdc
%	%	Z
kod	kod	Sg
jednokratne	jednokratan	Agpfsgy
isplate	isplata	Ncfsg
kao	kao	Cs
i	i	Qo
za	za	Sa
ostale	ostali	Agpmpay
stanove	stan	Ncmpa
iz	iz	Sg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
tržišna	tržišni	Agpfsny
cijena	cijena	Ncfsn
stana	stan	Ncmsg
po	po	Sl
procjeni	procjena	Ncfsl
ovlaštenoga	ovlašten	Agpmsgy
sudskog	sudski	Agpmsgy
vještaka	vještak	Ncmsg
građevinske	građevinski	Agpfsgy
struke	struka	Ncfsg
niža	nizak	Agcfsny
od	od	Sg
cijene	cijena	Ncfsg
izračunate	izračunati	Vmr2p
po	po	Sl
ovoj	ovaj	Pd-fsl
Odluci	odluka	Ncfsl
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
viša	visok	Agcfsny
cijena	cijena	Ncfsn
stana	stan	Ncmsg
.	.	Z

X.	X.	Y

Za	za	Sa
stanove	stan	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
obrane	obrana	Ncfsg
za	za	Sa
korisnika	korisnik	Ncmpg
izvršilo	izvršiti	Vmp-sn
određena	određen	Agpnpay
investicijska	investicijski	Agpnpay
ulaganja	ulaganje	Ncnpa
,	,	Z
kao	kao	Cs
kupoprodajna	kupoprodajni	Agpfsny
cijena	cijena	Ncfsn
stana	stan	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
tržišna	tržišni	Agpfsny
cijena	cijena	Ncfsn
po	po	Sl
procjeni	procjena	Ncfsl
ovlaštenoga	ovlašten	Agpmsgy
sudskog	sudski	Agpmsgy
vještaka	vještak	Ncmsg
građevinske	građevinski	Agpfsgy
struke	struka	Ncfsg
,	,	Z
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
obročne	obročan	Agpfsgy
otplate	otplata	Ncfsg
i	i	Cc
visinu	visina	Ncfsa
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
ostale	ostali	Agpmpay
stanove	stan	Ncmpa
iz	iz	Sg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
,	,	Z
te	te	Cc
popust	popust	Ncmsan
od	od	Sg
15	15	Mdc
%	%	Z
kod	kod	Sg
jednokratne	jednokratan	Agpfsgy
isplate	isplata	Ncfsg
kao	kao	Cs
i	i	Qo
za	za	Sa
ostale	ostali	Agpmpay
stanove	stan	Ncmpa
iz	iz	Sg
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
.	.	Z

XI	xi	Mrc
.	.	Z

Kupac	kupac	Ncmsn
kupoprodajnu	kupoprodajni	Agpfsay
cijenu	cijena	Ncfsa
stana	stan	Ncmsg
može	moći	Vmr3s
platiti	platiti	Vmn
jednokratnom	jednokratan	Agpfsiy
isplatom	isplata	Ncfsi
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
o	o	Sl
kupoprodaji	kupoprodaja	Ncfsl
ili	ili	Cc
obročnom	obročan	Agpfsiy
otplatom	otplata	Ncfsi
u	u	Sl
jednakim	jednak	Agpmply
mjesečnim	mjesečan	Agpmply
