Gubačevo	gubačev	Agpnsny
3,2	3,2	Mdc
LC	LC	Y
63070	63070	Mdc
M.	M.	Y
Draga	Draga	Npfsn
–	–	Z
D27	d27	Ncfsn
1,5	1,5	Mdc
LC	LC	Y
63071	63071	Mdc
Vozarica	Vozarica	Npfsn
–	–	Z
L63070	L63070	X
1,9	1,9	Mdc
LC	LC	Y
63072	63072	Mdc
Pridraga	Pridri	Npmsg
(	(	Z
Ž6019	Ž6019	X
)	)	Z
–	–	Z
T.	T.	Y
N.	N.	Y
Vrulja	vrulja	Ncfsn
–	–	Z
Ž6019	Ž6019	X
4,9	4,9	Mdc
LC	LC	Y
63073	63073	Mdc
Brkići	Brkić	Npmpn
–	–	Z
L63069	L63069	X
2,6	2,6	Mdc
LC	LC	Y
63074	63074	Mdc
Muškovci	Muškovc	Npmpn
(	(	Z
Ž6028	Ž6028	X
)	)	Z
–	–	Z
Ogari	Ogari	Npmsn
5,5	5,5	Mdc
LC	LC	Y
63075	63075	Mdc
Obrovac	Obrovac	Npmsn
:	:	Z
D27	D27	X
–	–	Z
D27	D27	X
1,3	1,3	Mdc
LC	LC	Y
63076	63076	Mdc
D27	D27	X
–	–	Z
Orljak	Orljak	Npmsn
1,9	1,9	Mdc
LC	LC	Y
63077	63077	Mdc
D27	D27	X
–	–	Z
Šušnjar	Šušnjar	Npmsn
–	–	Z
G.	G.	Y
Karin	Karin	Npmsn
–	–	Z
D27	D27	X
6,6	6,6	Mdc
LC	LC	Y
63078	63078	Mdc
Kruševo	Kruševo	Npnsa
(	(	Z
Ž6024	Ž6024	X
)	)	Z
–	–	Z
Vrkići	Vrkić	Npmpn
7,0	7,0	Mdc
LC	LC	Y
63079	63079	Mdc
L63078	L63078	X
–	–	Z
»	»	Z
Gospa	gospa	Ncfsn
od	od	Sg
Zečeva	zec	Ncmpg
«	«	Z
0,2	0,2	Mdc
LC	LC	Y
63080	63080	Mdc
Gornji	gornji	Agpmsny
Karin	Karin	Npmsn
(	(	Z
L63077	L63077	X
)	)	Z
–	–	Z
L63129	L63129	X
8,9	8,9	Mdc
LC	LC	Y
63081	63081	Mdc
Ž6025	Ž6025	X
–	–	Z
Bilišane	Bilišana	Npfsg
–	–	Z
Ž6025	Ž6025	X
1,4	1,4	Mdc
LC	LC	Y
63082	63082	Mdc
Ž6025	Ž6025	X
–	–	Z
Zelengrad	Zelengrad	Npmsn
–	–	Z
Ž6026	Ž6026	X
7,7	7,7	Mdc
LC	LC	Y
63083	63083	Mdc
Ž6025	Ž6025	X
–	–	Z
Mitrovići	Mitrović	Npmpn
–	–	Z
L63166	L63166	X
4,1	4,1	Mdc
LC	LC	Y
63084	63084	Mdc
Radmilovići	Radmilovići	Xf
–	–	Z
Nadvoda	Nadvoda	Npfsn
(	(	Z
Ž6030	Ž6030	X
)	)	Z
1,5	1,5	Mdc
LC	LC	Npmsn
63085	63085	Mdc
Ž6025	Ž6025	X
–	–	Z
Ušljebrke	Ušljebrka	Npfsg
2,1	2,1	Mdc
LC	LC	Y
63086	63086	Mdc
Ž6027	Ž6027	X
–	–	Z
Bundalo	bundati	Vmp-sn
(	(	Z
Ž6025	Ž6025	X
)	)	Z
3,9	3,9	Mdc
LC	LC	Y
63087	63087	Mdc
Komazeci	Komazec	Npmpn
(	(	Z
Ž6032	Ž6032	X
)	)	Z
–	–	Z
G.	G.	Y
Komazeci	Komazec	Npmpn
–	–	Z
Ž6027	Ž6027	X
5,2	5,2	Mdc
LC	LC	Y
63088	63088	Mdc
Marčetići	Marčetići	Xf
–	–	Z
D1	D1	X
7,3	7,3	Mdc
LC	LC	Y
63089	63089	Mdc
Ž6033	Ž6033	X
–	–	Z
Rastićevo	rastićev	Aspnsay
3,1	3,1	Mdc
LC	LC	Y
63090	63090	Mdc
D1	D1	Xf
–	–	Z
Zrmanja	zrmanji	Agpnsny
Vrelo	vrelo	Ncnsn
–	–	Z
Ž6033	ž603i	Agpnsny
7,2	7,2	Mdc
LC	LC	Y
63091	63091	Mdc
Zrmanja	zrmanji	Agpnsny
Vrelo	vrelo	Ncnsn
(	(	Z
L63090	L63090	X
)	)	Z
–	–	Z
Palanka	palanka	Ncfsn
–	–	Z
D1	D1	X
8,1	8,1	Mdc
LC	LC	Y
63092	63092	Mdc
N.	N.	Y
Luka	Luka	Npmsn
–	–	Z
Dragove	Dragova	Npfsg
–	–	Z
D109	D109	Mdc
1,9	1,9	Mdc
LC	LC	Y
63093	63093	Mdc
L63047	L63047	X
–	–	Z
bolnica	bolnica	Ncfsn
–	–	Z
Čeprljanda	Čeprljanda	Npfsn
(	(	Z
D110	D110	Npmsn
)	)	Z
3,3	3,3	Mdc
LC	LC	Y
63095	63095	Mdc
Savar	Savar	Xf
(	(	Z
D109	D109	X
)	)	Z
–	–	Z
»	»	Z
Sv.	Sv.	Y
Pelegrin	Pelegrin	Npmsn
«	«	Z
1,1	1,1	Mdc
LC	LC	Y
63096	63096	Mdc
Sutomiščica	Sutomiščica	Npfsn
–	–	Z
D110	D110	Mdc
0,3	0,3	Mdc
LC	LC	Y
63097	63097	Mdc
D110	D110	Mdc
–	–	Z
Poljana	poljana	Ncfsn
0,9	0,9	Mdc
LC	LC	Y
63098	63098	Mdc
D110	D110	Mdc
–	–	Z
Preko	preko	Sg
–	–	Z
D110	D110	Mdc
1,2	1,2	Mdc
LC	LC	Npmsn
63099	63099	Mdc
Kali	kala	Ncfsl
(	(	Z
D110	D110	Npmsn
)	)	Z
–	–	Z
U.	U.	Y
Lamljana	Lamljana	Npfsn
Velika	Velika	Npfsn
1,8	1,8	Mdc
LC	LC	Y
63100	63100	Mdc
Kali	kala	Ncfsl
(	(	Z
D110	D110	Npmsn
)	)	Z
–	–	Z
U.	u.	Ncfsn
Lamljana	Lamljana	Npfsn
Mala	Mala	Npfsn
–	–	Z
Cenmar	Cenmar	Npmsn
2,7	2,7	Mdc
LC	LC	Y
63104	63104	Mdc
Ž6040	Ž6040	X
–	–	Z
Donje	donji	Agpfsgy
Raštane	Raštana	Npfsg
(	(	Z
Ž6045	Ž6045	X
)	)	Z
7,8	7,8	Mdc
LC	LC	Y
63105	63105	Mdc
