Bitumenske	bitumenski	Agpfpny
Elementi	element	Ncmpn
za	za	Sa
temelje	temelj	Ncmpa
EN	EN	Npfsg
14991:2007	14991:2007	Mdc
Precast	Precast	Xf
concrete	concrete	Xf
products	products	Xf
--	--	Xf
Foundation	Foundation	Xf
elements	elements	Xf
1.	1.	Mdo
1.	1.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14992:2012	14992:2012	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Elementi	element	Ncmpn
za	za	Sa
zidove	zid	Ncmpa
EN	EN	Npfsg
14992:2007	14992:2007	Mdc
+	+	Z
A1	A1	X
:	:	Z
2012	2012	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Wall	wall	Ncmsn
elements	elementa	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
14992:2008	14992:2008	Mdc
(	(	Z
EN	EN	Npmsn
14992:2007	14992:2007	Mdc
)	)	Z
1.	1.	Mdo
4.	4.	Mdo
2013.	2013.	Mdo
1.	1.	Mdo
7.	7.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
1:2008	1:2008	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Stropni	stropni	Agpmpny
sustavi	sustav	Ncmpn
sastavljeni	sastaviti	Appmpny
od	od	Sg
nosača	nosač	Ncmsg
i	i	Cc
blokova	blok	Ncmpg
(	(	Z
ispune	ispuniti	Vmr3p
)	)	Z
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsn
:	:	Z
Nosači	nosač	Ncmpn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
1:2008	1:2008	Mdc
Precast	Precast	Xf
concrete	concrete	Xf
products	products	Xf
--	--	Z
Beam-and-block	beam-and-block	Agpmsann
floor	floor	Ncmsan
systems	systems	Ncfpg
--	--	Z
Part	Part	Npmsn
1	1	Mdc
:	:	Z
Beams	beams	Ncmsn
1.	1.	Mdo
1.	1.	Mdo
2010.	2010.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2011.	2011.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
2:2011	2:2011	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Stropni	stropni	Agpmpny
sustavi	sustav	Ncmpn
sastavljeni	sastaviti	Appmpny
od	od	Sg
nosača	nosač	Ncmsg
i	i	Cc
blokova	blok	Ncmpg
(	(	Z
ispune	ispuniti	Vmr3p
)	)	Z
--	--	Z
2.	2.	Mdo
dio	dio	Ncmsn
:	:	Z
Betonski	betonski	Agpmpny
blokovi	blok	Ncmpn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
2:2009	2:2009	Mdc
+	+	Z
A1	A1	X
:	:	Z
2011	2011	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Beam-and-block	beam-and-block	Agpmsann
floor	floor	Ncmsan
systems	systems	Ncfpg
--	--	Z
Part	Part	Npmsn
2	2	Mdc
:	:	Z
Concrete	concrati	Vmr2p
blocks	blocks	Ncmsan
1.	1.	Mdo
12.	12.	Mdo
2011.	2011.	Mdo
1.	1.	Mdo
12.	12.	Mdo
2012.	2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
3:2011	3:2011	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Stropni	stropni	Agpmpny
sustavi	sustav	Ncmpn
sastavljeni	sastaviti	Appmpny
od	od	Sg
nosača	nosač	Ncmsg
i	i	Cc
blokova	blok	Ncmpg
(	(	Z
ispune	ispuniti	Vmr3p
)	)	Z
--	--	Z
3.	3.	Mdo
dio	dio	Ncmsn
:	:	Z
Glineni	glinen	Agpmpny
blokovi	blok	Ncmpn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
3:2009	3:2009	Mdc
+	+	Z
A1	A1	X
:	:	Z
2011	2011	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Beam-and-block	beam-and-block	Agpmsann
floor	floor	Ncmsan
systems	systems	Ncfpg
--	--	Z
Part	Part	Npmsn
3	3	Mdc
:	:	Z
Clay	Clay	Xf
blocks	blocks	Xf
1.	1.	Mdo
12.	12.	Mdo
2011.	2011.	Mdo
1.	1.	Mdo
12.	12.	Mdo
2012.	2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
4:2013	4:2013	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Stropni	stropni	Agpmpny
sustavi	sustav	Ncmpn
sastavljeni	sastaviti	Appmpny
od	od	Sg
nosača	nosač	Ncmsg
i	i	Cc
blokova	blok	Ncmpg
(	(	Z
ispune	ispuniti	Vmr3p
)	)	Z
--	--	Z
4.	4.	Mdo
dio	dio	Ncmsn
:	:	Z
Blokovi	blok	Ncmpn
od	od	Sg
ekspandiranog	ekspandirati	Agpmsgy
polistirena	polistiren	Ncmsg
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
4:2010	4:2010	Mdc
+	+	Z
A1	A1	X
:	:	Z
2013	2013	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Beam-and-block	beam-and-block	Agpmsann
floor	floor	Ncmsan
systems	systems	Ncfpg
--	--	Z
Part	Part	Npmsn
4	4	Mdc
:	:	Z
Expanded	Expanded	Xf
polystyrene	polystyren	Agpfsgy
blocks	blocka	Ncfsg
HRN	HRN	Npmsn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
4:2010	4:2010	Mdc
(	(	Z
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
4:2010	4:2010	Mdc
)	)	Z
8.	8.	Mdo
8.	8.	Mdo
2014.	2014.	Mdo
8.	8.	Mdo
8.	8.	Mdo
2015.	2015.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
5:2013	5:2013	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Stropni	stropni	Agpmpny
sustavi	sustav	Ncmpn
sastavljeni	sastaviti	Appmpny
od	od	Sg
nosača	nosač	Ncmsg
i	i	Cc
blokova	blok	Ncmpg
(	(	Z
ispune	ispuniti	Vmr3p
)	)	Z
--	--	Z
5.	5.	Mdo
dio	dio	Ncmsn
:	:	Z
Lagani	lagan	Agpmpny
blokovi	blok	Ncmpn
za	za	Sa
jednostavnu	jednostavan	Agpfsay
oplatu	oplata	Ncfsa
EN	EN	Npmsn
15037	15037	Mdc
-	-	Z
5:2013	5:2013	Mdc
Precast	Precast	Xf
concrete	concrete	Xf
products	products	Xf
--	--	Z
Beam-and-block	beam-and-block	Agpmsann
floor	floor	Ncmsan
systems	systems	Ncfpg
--	--	Z
Part	Part	Npmsn
5	5	Mdc
:	:	Z
Lightweight	Lightweight	Xf
blocks	blocks	Xf
for	for	Xf
simple	simple	Xf
formwork	formwork	Ncmsn
8.	8.	Mdo
8.	8.	Mdo
2014.	2014.	Mdo
8.	8.	Mdo
8.	8.	Mdo
2015.	2015.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15048	15048	Mdc
-	-	Z
1:2008	1:2008	Mdc
Konstrukcijski	konstrukcijski	Agpmsny
vijčani	vijčani	Agpmpny
spojevi	spoj	Ncmpn
bez	bez	Sg
predopterećenja	predopterećenje	Ncnsg
--	--	Z
1.	1.	Mdo
dio	dio	Ncmsn
:	:	Z
Opći	opći	Agpmpny
zahtjevi	zahtjev	Ncmpn
EN	EN	Npmsn
15048	15048	Mdc
-	-	Z
1:2007	1:2007	Mdc
Non-preloaded	Non-preloaded	Xf
structural	structural	Xf
bolting	bolting	Xf
assemblies	assemblies	Xf
--	--	Z
Part	Part	Npmsn
1	1	Mdc
:	:	Z
General	general	Ncmsn
requirements	requirements	Rgp
1.	1.	Mdo
1.	1.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
10.	10.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15050:2012	15050:2012	Mdc
Predgotovljeni	predgotovljen	Agpmpny
betonski	betonski	Agpmpny
proizvodi	proizvod	Ncmpn
--	--	Z
Elementi	element	Ncmpn
za	za	Sa
mostove	most	Ncmpa
EN	EN	Npfsg
15050:2007	15050:2007	Mdc
+	+	Z
A1	A1	X
:	:	Z
2012	2012	Mdc
Precast	Precast	Npfpg
concrete	concrati	Vmr2p
products	products	Ncmsan
--	--	Z
Bridge	Bridge	Xf
elements	elements	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
15050:2008	15050:2008	Mdc
(	(	Z
EN	EN	Npmsn
15050:2007	15050:2007	Mdc
)	)	Z
1.	1.	Mdo
12.	12.	Mdo
2012.	2012.	Mdo
1.	1.	Mdo
12.	12.	Mdo
2012.	2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15069:2008	15069:2008	Mdc
Sigurnosni	sigurnosni	Agpmsny
plinski	plinski	Agpmsny
zaporni	zaporni	Agpmpny
uređaji	uređaj	Ncmpn
za	za	Sa
savitljiva	savitljiv	Agpnpay
metalna	metalan	Agpnpay
crijeva	crijevo	Ncnpa
za	za	Sa
spajanje	spajanje	Ncnsa
kućanskih	kućanski	Agpmpgy
plinskih	plinski	Agpmpgy
uređaja	uređaj	Ncmpg
EN	EN	Npmsn
15069:2008	15069:2008	Mdc
Safety	Safety	Xf
gas	gas	Xf
connection	connection	Xf
valves	valves	Xf
for	for	Xf
metal	metal	Xf
hose	hose	Xf
assemblies	assemblies	Xf
used	used	Xf
for	for	Xf
the	the	Xf
connection	connection	Xf
of	of	Xf
domestic	domestic	Xf
appliances	appliances	Xf
using	using	Xf
gaseous	gaseous	Xf
fuel	fuel	Qq
1.	1.	Mdo
1.	1.	Mdo
2009.	2009.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2010.	2010.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
15088:2008	15088:2008	Mdc
Aluminij	aluminij	Ncmsan
i	i	Cc
aluminijeve	aluminijev	Agpfsgy
legure	legura	Ncfsg
--	--	Z
Proizvodi	proizvod	Ncmpn
za	za	Sa
izradu	izrada	Ncfsa
konstrukcija	konstrukcija	Ncfpg
u	u	Sl
graditeljstvu	graditeljstvo	Ncnsl
--	--	Z
Tehnički	tehnički	Agpmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
pregled	pregled	Ncmsan
i	i	Cc
isporuku	isporuka	Ncfsa
EN	en	Agpmsnn
15088:2005	15088:2005	Mdc
Aluminium	Aluminium	Xf
and	and	Xf
aluminium	aluminium	Xf
alloys	alloys	Xf
--	--	Z
Structural	Structural	Xf
products	products	Xf
for	for	Xf
construction	construction	Xf
works	works	Xf
--	--	Xf
Technical	Technical	Xf
conditions	conditions	Xf
for	for	Xf
inspection	inspection	Xf
and	and	Xf
delivery	delivery	Xf
1.	1.	Mdo

