Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6592	z-6592	Agpmsny
Grad	grad	Ncmsn
:	:	Z
ČAKOVEC	ČAKOVEC	Npmsn
Čakovec	Čakovec	Npmsn
Muzej	muzej	Ncmsn
Međimurja	Međimurj	Npmsg
Čakovec	Čakovec	Npmsn
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Memorijalna	memorijalan	Agpfsny
zbirka	zbirka	Ncfsn
Karlo	Karlo	Npfsn
Mrazović	Mrazović	Npfsn
Gašpar	Gašpar	Npfsn
Datum	datum	Ncmsn
:	:	Z
02.09.2015	02.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
10	10	Mdc
-	-	Z
06/0269	06/0269	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
11	11	Mdc
Z-4836	Z-4836	Y
Osječko-baranjska	osječko-baranjski	Agpfsny
županija	županija	Ncfsn
Općina	općina	Ncfsn
:	:	Z
KNEŽEVI	knežev	Agpmpny
VINOGRADI	vinograd	Ncmpn
Kneževi	knežev	Agpmpny
Vinogradi	vinograd	Ncmpn
Lokomobil	Lokomobil	Npmsn
Datum	Datum	Npmsn
:	:	Z
29.04.2015	29.04.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0087	06/0087	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6522	z-6522	Agpmsny
Grad	grad	Ncmsn
:	:	Z
ĐAKOVO	đakov	Ncnsn
Đakovo	đakov	Agpmsny
Muzej	muzej	Ncmsn
Đakovštine	đakovština	Ncfsg
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Likovna	likovni	Agpfsny
zbirka	zbirka	Ncfsn
Datum	datum	Ncmsn
:	:	Z
25.05.2015	25.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
11	11	Mdc
-	-	Z
06/0798	06/0798	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc
Z-6058	z-6058	Agpmsny
Grad	grad	Ncmsn
:	:	Z
OSIJEK	osijek	Ncmsn
Osijek	osijek	Ncmsn
Muzej	muzej	Ncmsn
likovnih	likovni	Agpfpgy
umjetnosti	umjetnost	Ncfpg
–	–	Z
muzejska	muzejski	Agpfsny
građa	građa	Ncfsn
:	:	Z
Zbirka	zbirka	Ncfsn
crteža	crtež	Ncmsg
i	i	Cc
grafika	grafika	Ncfpg
prve	prvi	Mlofsg
polovice	polovica	Ncfsg
20.	20.	Mdo
stoljeća	stoljeće	Ncnsg
(	(	Z
do	do	Sg
1945.	1945.	Mdo
godine	godina	Ncfsg
)	)	Z
Datum	datum	Ncmsn
:	:	Z
03.09.2015	03.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
08	08	Mdc
-	-	Z
06/0221	06/0221	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/1	02/1	Mdc
