smanjenje	smanjenje	Ncnsn
rizika	rizik	Ncmsg
od	od	Sg
probijanja	probijanje	Ncnsg
dozvoljene	dozvoljen	Agpfsgy
razine	razina	Ncfsg
leta	let	Ncmsg
(	(	Z
European	European	Xf
action	action	Xf
plan	plan	Ncmsan
for	for	Xf
prevention	prevention	Xf
of	of	Xf
level	level	Ncmsan
bust	bus	Ncfsg
)	)	Z
,	,	Z
i	i	Cc
Europski	europski	Agpmsny
akcijski	akcijski	Agpmsny
plan	plan	Ncmsn
za	za	Sa
prevenciju	prevencija	Ncfsa
rizika	rizik	Ncmsg
od	od	Sg
pogreške	pogreška	Ncfsg
u	u	Sl
komunikaciji	komunikacija	Ncfsl
zemlja	zemlja	Ncfsn
/	/	Z
zrak	zrak	Ncmsn
(	(	Z
European	European	Xf
Action	Action	Xf
Plan	plan	Xf
for	for	Xf
Air	Air	Xf
Ground	Ground	Xf
Communications	Communications	Xf
Safety	Safety	Xf
)	)	Z
za	za	Sa
koje	koji	Pi-mpa
su	biti	Var3p
aktivnosti	aktivnost	Ncfpn
u	u	Sl
cilju	cilj	Ncmsl
poboljšanja	poboljšanje	Ncnsg
performanse	performansa	Ncfsg
sigurnosti	sigurnost	Ncfsg
definirane	definirati	Ncfsg
u	u	Sl
ovom	ovaj	Pd-msl
Planu	plan	Ncmsl
.	.	Z

Rizik	rizik	Ncmsn
od	od	Sg
probijanja	probijanje	Ncnsg
razine	razina	Ncfsg
leta	let	Ncmsg
se	sebe	Px--sa
prati	pratiti	Vmr3s
kroz	kroz	Sa
razinu	razina	Ncfsa
III	III	Mrc
MAC	mac	Ncmsan
rizika	rizik	Ncmsg
.	.	Z

Aktivnosti	aktivnost	Ncfpn
u	u	Sl
cilju	cilj	Ncmsl
poboljšanja	poboljšanje	Ncnsg
sigurnosti	sigurnost	Ncfsg

DODATAK	dodatak	Ncmsn
5	5	Mdc
–	–	Z
PROCES	proces	Ncmsn
IZVJEŠĆIVANJA	izvješćivanje	Ncnsg
O	o	Sl
DOGAĐAJIMA	događaj	Ncmpl
POVEZANIM	povezan	Agpmply
SA	sa	Si
SIGURNOŠĆU	sigurnost	Ncfsi

