Caginec	Caginec	Npmsn
(	(	Z
D43	D43	X
)	)	Z
18,8	18,8	Mdc
ŽC	ŽC	Npmsn
3075	3075	Mdc
Rakovec	Rakovec	Npmsn
(	(	Z
Ž3288	Ž3288	X
)	)	Z
–	–	Z
Peskovec	Peskovec	Npmsn
–	–	Z
Lonjica	Lonjica	Npfsn
(	(	Z
Ž3034	Ž3034	X
)	)	Z
8,9	8,9	Mdc
ŽC	ŽC	Npmsn
3076	3076	Mdc
Ž3034	Ž3034	X
–	–	Z
Brckovljani	Brckovljan	Npmpn
(	(	Z
L31111	L31111	X
)	)	Z
1,0	1,0	Mdc
ŽC	ŽC	Npmsn
3077	3077	Mdc
Želj	Želj	Npfpg
.	.	Z
kolodvor	kolodvor	Ncmsn
Vrbovec	Vrbovec	Npmsn
–	–	Z
Ž3078	Ž3078	X
0,5	0,5	Mdc
ŽC	ŽC	Npmsn
3078	3078	Mdc
Ž3288	Ž3288	X
–	–	Z
Brčevec	Brčevec	Npmsn
2,1	2,1	Mdc
ŽC	ŽC	Npmsn
3079	3079	Mdc
Ž3080	Ž3080	X
–	–	Z
Poljanski	poljanski	Agpmsny
Lug	lug	Ncmsn
(	(	Z
L31116	L31116	X
)	)	Z
5,0	5,0	Mdc
ŽC	ŽC	Npmsn
3080	3080	Mdc
Ž3288	Ž3288	X
–	–	Z
Poljana	poljana	Ncfsn
(	(	Z
L31116	L31116	X
)	)	Z
3,2	3,2	Mdc
ŽC	ŽC	Npmsn
3081	3081	Mdc
Štefanje	štefanje	Ncnsn
(	(	Z
D43	D43	X
)	)	Z
–	–	Z
Ivanska	Ivanska	Npfsn
(	(	Z
Ž3084	Ž3084	X
)	)	Z
7,8	7,8	Mdc
ŽC	ŽC	Npmsn
3082	3082	Mdc
Ž3081	Ž3081	X
–	–	Z
D.	D.	Y
Šušnjara	Šušnjar	Npmsg
–	–	Z
Martinac	Martinac	Npmsn
–	–	Z
D.	D.	Y
Miklouš	Miklouš	Npfsn
(	(	Z
D26	D26	X
)	)	Z
14,3	14,3	Mdc
ŽC	ŽC	Npmsn
3084	3084	Mdc
D43	D43	X
–	–	Z
Paljevine	paljevina	Ncfsg
–	–	Z
Ivanska	Ivanska	Npfsn
–	–	Z
Berek	Berek	Npmsn
–	–	Z
Begovača	Begovač	Npmsay
–	–	Z
D26	D26	X
25,5	25,5	Mdc
ŽC	ŽC	Npmsn
3085	3085	Mdc
Ivanska	Ivanska	Npfsn
(	(	Z
Ž3084	Ž3084	X
)	)	Z
–	–	Z
Srijedska	Srijedska	Npfsn
–	–	Z
Ž3029	Ž3029	X
6,9	6,9	Mdc
ŽC	ŽC	Y
3086	3086	Mdc
Đurđic	Đurđic	Xf
(	(	Z
L37070	L37070	X
)	)	Z
–	–	Z
Ž3085	Ž3085	X
2,2	2,2	Mdc
ŽC	ŽC	Npmsn
3089	3089	Mdc
St.	St.	Y

Rača	Rača	Npfsn
(	(	Z
L37080	L37080	X
)	)	Z
–	–	Z
Ž3090	Ž3090	X
0,8	0,8	Mdc
ŽC	ŽC	Npmsn
3090	3090	Mdc
D28	D28	X
–	–	Z
N.	N.	Y
Rača	Rača	Npfsn
–	–	Z
V.	V.	Y
Trnovitica	Trnovitic	Npmsg
–	–	Z
Veliki	velik	Agpmsny
