111	111	Mdc
288	288	Mdc
070,28	070,28	Mdc
4	4	Mdc
974	974	Mdc
416,93	416,93	Mdc
112	112	Mdc
288	288	Mdc
064,88	064,88	Mdc
4	4	Mdc
974	974	Mdc
409,06	409,06	Mdc
113	113	Mdc
288	288	Mdc
056,32	056,32	Mdc
4	4	Mdc
974	974	Mdc
395,90	395,90	Mdc
114	114	Mdc
288	288	Mdc
050,85	050,85	Mdc
4	4	Mdc
974	974	Mdc
388,79	388,79	Mdc
115	115	Mdc
288	288	Mdc
052,08	052,08	Mdc
4	4	Mdc
974	974	Mdc
384,20	384,20	Mdc
116	116	Mdc
288	288	Mdc
058,17	058,17	Mdc
4	4	Mdc
974	974	Mdc
375,68	375,68	Mdc
117	117	Mdc
288	288	Mdc
072,46	072,46	Mdc
4	4	Mdc
974	974	Mdc
366,79	366,79	Mdc
118	118	Mdc
288	288	Mdc
083,60	083,60	Mdc
4	4	Mdc
974	974	Mdc
362,92	362,92	Mdc
119	119	Mdc
288	288	Mdc
102,10	102,10	Mdc
4	4	Mdc
974	974	Mdc
360,85	360,85	Mdc
120	120	Mdc
288	288	Mdc
113,65	113,65	Mdc
4	4	Mdc
974	974	Mdc
355,46	355,46	Mdc
121	121	Mdc
288	288	Mdc
122,00	122,00	Mdc
4	4	Mdc
974	974	Mdc
340,86	340,86	Mdc
122	122	Mdc
288	288	Mdc
122,97	122,97	Mdc
4	4	Mdc
974	974	Mdc
323,16	323,16	Mdc
123	123	Mdc
288	288	Mdc
120,02	120,02	Mdc
4	4	Mdc
974	974	Mdc
315,45	315,45	Mdc
124	124	Mdc
288	288	Mdc
109,89	109,89	Mdc
4	4	Mdc
974	974	Mdc
303,78	303,78	Mdc
125	125	Mdc
288	288	Mdc
096,25	096,25	Mdc
4	4	Mdc
974	974	Mdc
300,80	300,80	Mdc
126	126	Mdc
288	288	Mdc
082,16	082,16	Mdc
4	4	Mdc
974	974	Mdc
296,75	296,75	Mdc
127	127	Mdc
288	288	Mdc
072,71	072,71	Mdc
4	4	Mdc
974	974	Mdc
291,94	291,94	Mdc
128	128	Mdc
288	288	Mdc
056,39	056,39	Mdc
4	4	Mdc
974	974	Mdc
284,34	284,34	Mdc
129	129	Mdc
288	288	Mdc
042,71	042,71	Mdc
4	4	Mdc
974	974	Mdc
276,81	276,81	Mdc
130	130	Mdc
288	288	Mdc
032,68	032,68	Mdc
4	4	Mdc
974	974	Mdc
267,04	267,04	Mdc
131	131	Mdc
288	288	Mdc
019,51	019,51	Mdc
4	4	Mdc
974	974	Mdc
251,97	251,97	Mdc
132	132	Mdc
288	288	Mdc
015,53	015,53	Mdc
4	4	Mdc
974	974	Mdc
246,65	246,65	Mdc
133	133	Mdc
288	288	Mdc
011,50	011,50	Mdc
4	4	Mdc
974	974	Mdc
239,75	239,75	Mdc
134	134	Mdc
288	288	Mdc
009,25	009,25	Mdc
4	4	Mdc
974	974	Mdc
234,19	234,19	Mdc
135	135	Mdc
288	288	Mdc
007,83	007,83	Mdc
4	4	Mdc
974	974	Mdc
226,78	226,78	Mdc
136	136	Mdc
288	288	Mdc
007,87	007,87	Mdc
4	4	Mdc
974	974	Mdc
214,13	214,13	Mdc
137	137	Mdc
288	288	Mdc
006,63	006,63	Mdc
4	4	Mdc
974	974	Mdc
200,81	200,81	Mdc
138	138	Mdc
288	288	Mdc
004,89	004,89	Mdc
4	4	Mdc
974	974	Mdc
199,62	199,62	Mdc
139	139	Mdc
288	288	Mdc
004,85	004,85	Mdc
4	4	Mdc
974	974	Mdc
195,94	195,94	Mdc
140	140	Mdc
288	288	Mdc
006,44	006,44	Mdc
4	4	Mdc
974	974	Mdc
191,87	191,87	Mdc
141	141	Mdc
288	288	Mdc
008,04	008,04	Mdc
4	4	Mdc
974	974	Mdc
181,51	181,51	Mdc
142	142	Mdc
288	288	Mdc
010,59	010,59	Mdc
4	4	Mdc
974	974	Mdc
179,16	179,16	Mdc
143	143	Mdc
288	288	Mdc
015,01	015,01	Mdc
4	4	Mdc
974	974	Mdc
168,19	168,19	Mdc
144	144	Mdc
288	288	Mdc
018,95	018,95	Mdc
4	4	Mdc
974	974	Mdc
160,40	160,40	Mdc
145	145	Mdc
288	288	Mdc
024,42	024,42	Mdc
4	4	Mdc
974	974	Mdc
156,79	156,79	Mdc
146	146	Mdc
288	288	Mdc
039,48	039,48	Mdc
4	4	Mdc
974	974	Mdc
145,65	145,65	Mdc
147	147	Mdc
288	288	Mdc
045,66	045,66	Mdc
4	4	Mdc
974	974	Mdc
142,69	142,69	Mdc
148	148	Mdc
288	288	Mdc
055,77	055,77	Mdc
4	4	Mdc
974	974	Mdc
142,56	142,56	Mdc
149	149	Mdc
288	288	Mdc
073,70	073,70	Mdc
4	4	Mdc
974	974	Mdc
136,62	136,62	Mdc
150	150	Mdc
288	288	Mdc
088,84	088,84	Mdc
4	4	Mdc
974	974	Mdc
133,05	133,05	Mdc
151	151	Mdc
288	288	Mdc
093,27	093,27	Mdc
4	4	Mdc
974	974	Mdc
132,75	132,75	Mdc
14	14	Mdc
288	288	Mdc
113,53	113,53	Mdc
4	4	Mdc
974	974	Mdc
137,55	137,55	Mdc

U	u	Sl
