sadnica	sadnica	Ncfsn
;	;	Z

2.	2.	Mdo
niskog	nizak	Agpmsgy
uzgojnog	uzgojan	Agpmsgy
oblika	oblik	Ncmsg
(	(	Z
panjače	panjača	Ncfsg
)	)	Z
–	–	Z
nastale	nastao	Agpmpay
od	od	Sg
stabala	stablo	Ncmsg
iz	iz	Sg
panja	panj	Ncmsg
i	i	Cc
korjenovih	korjenov	Agpfpgy
žila	žila	Ncfpg
;	;	Z

3.	3.	Mdo
degradirane	degradiran	Agpfsgy
sastojine	sastojina	Ncfsg
:	:	Z

a.	ai	Agpfpny
šikare	šikara	Ncfpn
–	–	Z
degradacijski	degradacijski	Agpmpny
oblici	oblik	Ncmpn
sastojina	sastojina	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
,	,	Z
osim	osim	Sg
drveća	drveće	Ncnsg
,	,	Z
u	u	Sl
istom	isti	Agpmsly
sloju	sloj	Ncmsl
sudjeluje	sudjelovati	Vmr3s
i	i	Qo
grmlje	grmlje	Ncnsa
;	;	Z

b.	b.	Agpmpny
šibljaci	šibljak	Ncmpn
–	–	Z
degradacijski	degradacijski	Agpmpny
oblici	oblik	Ncmpn
sastojina	sastojina	Ncfpg
koje	koji	Pi-fpa
čini	činiti	Vmr3s
grmlje	grmlje	Ncnsn
uglavnom	uglavnom	Rgp
šibljasta	šibljasta	Agpmpgy
oblika	oblik	Ncmpg
;	;	Z

c.	c.	Mdo
makije	makija	Ncfsg
–	–	Z
degradacijski	degradacijski	Agpmpny
oblici	oblik	Ncmpn
crnikovih	crnikov	Agpfpgy
šuma	šuma	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
osim	osim	Sg
drveća	drveće	Ncnsg
u	u	Sl
istom	isti	Agpmsly
sloju	sloj	Ncmsl
sudjeluje	sudjelovati	Vmr3s
i	i	Qo
grmlje	grmlje	Ncnsa
;	;	Z

d.	d.	Agpmsny
garizi	gariz	Agpmsny
–	–	Z
degradacijski	degradacijski	Agpmpny
oblici	oblik	Ncmpn
sastojina	sastojina	Ncfpg
koje	koji	Pi-fpn
čine	činiti	Vmr3p
otporne	otporan	Agpmpay
grmolike	grmolik	Agpmpay
zimzelene	zimzelen	Agpfsgy
vrste	vrsta	Ncfsg
;	;	Z

4.	4.	Mdo
šumske	šumski	Agpfsgy
plantaže	plantaža	Ncfsg
–	–	Z
umjetno	umjetno	Rgp
podignute	podići	Appfsgy
sastojine	sastojina	Ncfsg
uz	uz	Sa
primjenu	primjena	Ncfsa
agrotehničkih	agrotehnički	Agpfpgy
mjera	mjera	Ncfpg
;	;	Z

5.	5.	Mdo
šumske	šumski	Agpfsgy
kulture	kultura	Ncfsg
–	–	Z
umjetno	umjetno	Rgp
podignute	podići	Appfsgy
sastojine	sastojina	Ncfsg
bez	bez	Sg
primjene	primjena	Ncfsg
agrotehničkih	agrotehnički	Agpfpgy
mjera	mjera	Ncfpg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

Prema	prema	Sl
dobi	doba	Ncfsl
i	i	Cc
stadiju	stadij	Ncmsl
razvitka	razvitak	Ncmsg
jednodobne	jednodoban	Agpfsgy
sastojine	sastojina	Ncfsg
visokog	visok	Agpnsgy
i	i	Cc
niskog	nizak	Agpmsgy
uzgojnog	uzgojan	Agpmsgy
oblika	oblik	Ncmsg
razvrstavaju	razvrstavati	Vmr3p
se	sebe	Px--sa
na	na	Sa
:	:	Z

1.	1.	Mdo
mlade	mlad	Agpfsgy
sastojine	sastojina	Ncfsg
starosti	starost	Ncfsg
do	do	Sg
polovice	polovica	Ncfsg
ophodnje	ophodnja	Ncfsg
u	u	Sl
stadiju	stadij	Ncmsl
razvitka	razvitak	Ncmsg
:	:	Z

–	–	Agpmsny
