preparatoru	preparat	Agpnsly
nalogu	nalog	Ncmsl
ravnatelja	ravnatelj	Ncmsg
Muzeja	muzej	Ncmsg
.	.	Z

Niži	nizak	Agcmsny
preparator	preparator	Ncmsn
–	–	Z
čišćenje	čišćenje	Ncnsa
,	,	Z
sređivanje	sređivanje	Ncnsa
i	i	Cc
odlaganje	odlaganje	Ncnsa
muzejske	muzejski	Agpfsgy
građe	građa	Ncfsg
po	po	Sl
zbirkama	zbirka	Ncfpl
i	i	Cc
depoima	depo	Ncmpl
,	,	Z
–	–	Z
čišćenje	čišćenje	Ncnsn
,	,	Z
sređivanje	sređivanje	Ncnsa
i	i	Cc
odlaganje	odlaganje	Ncnsa
novoprispjelih	novoprispjel	Agpmpgy
materijala	materijal	Ncmpg
po	po	Sl
zbirkama	zbirka	Ncfpl
i	i	Cc
depoima	depo	Ncmpl
,	,	Z
–	–	Z
izvođenje	izvođenje	Ncnsa
jednostavnijih	jednostavan	Agcmpgy
zaštitnih	zaštitni	Agpmpgy
zahvata	zahvat	Ncmpg
na	na	Sl
predmetima	predmet	Ncmpl
,	,	Z
–	–	Z
pomaganje	pomaganje	Ncnsn
kod	kod	Sg
razvrstavanja	razvrstavanje	Ncnsg
deponirane	deponirati	Agpfsgy
muzejske	muzejski	Agpfsgy
građe	građa	Ncfsg
i	i	Cc
obilježavanje	obilježavanje	Ncnsa
inventarne	inventarni	Agpfsgy
građe	građa	Ncfsg
,	,	Z
–	–	Z
pomaganje	pomaganje	Ncnsn
pri	pri	Sl
izvođenju	izvođenje	Ncnsl
poslova	posao	Ncmpg
kod	kod	Sg
uređenja	uređenje	Ncnsg
muzejskog	muzejski	Agpmsgy
postava	postav	Ncmsg
,	,	Z
povremenih	povremen	Agpfpgy
izložbi	izložba	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
aktivnosti	aktivnost	Ncfpg
Muzeja	muzej	Ncmsg
uključujući	uključivati	Rr
i	i	Cc
poslove	posao	Ncmpa
čišćenja	čišćenje	Ncnsg
stakla	staklo	Ncnsg
,	,	Z
vitrina	vitrina	Ncfsn
...	...	Z
–	–	Sa
pomoć	pomoć	Ncfsa
kod	kod	Sg
terensko	terenski	Ncfsg
istraživačkih	istraživački	Agpmpgy
radova	rad	Ncmpg
,	,	Z
–	–	Z
u	u	Sl
slučaju	slučaj	Ncmsl
privremene	privremen	Agpfsgy
spriječenosti	spriječenost	Ncfsg
spremačice	spremačica	Ncfsg
,	,	Z
obavlja	obavljati	Vmr3s
i	i	Cc
nužne	nužan	Agpmpay
poslove	posao	Ncmpa
iz	iz	Sg
njezinih	njezin	Agpfsgy
nadležnosti	nadležnost	Ncfsg
,	,	Z
–	–	Z
provođenje	provođenje	Ncnsa
mjera	mjera	Ncfpg
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
,	,	Z
te	te	Cc
sigurnosti	sigurnost	Ncfsl
posjetitelja	posjetitelj	Ncmsg
i	i	Cc
imovine	imovina	Ncfsg
Muzeja	muzej	Ncmsg
u	u	Sl
okviru	okvir	Ncmsl
svoga	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
rada	rad	Ncmsg
,	,	Z
–	–	Z
obavljanje	obavljanje	Ncnsa
i	i	Cc
ostalih	ostali	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
koji	koji	Pi-msn
po	po	Sl
prirodi	priroda	Ncfsl
samog	sam	Agpmsgy
posla	posao	Ncmsg
i	i	Cc
propisane	propisati	Appfpny
stručne	stručan	Agpfpny
spreme	sprema	Ncfpn
spadaju	spadati	Vmr3p
u	u	Sa
poslove	posao	Ncmpa
manipulanta	manipulant	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
po	po	Sl
uputama	uputa	Ncfpl
i	i	Cc
nalogu	nalog	Ncmsl
ravnatelja	ravnatelj	Ncmsg
Muzeja	muzej	Ncmsg
.	.	Z

14.	14.	Mdo

MUZEJI	muzej	Ncmpn
IVANA	Ivan	Npmsg
MEŠTROVIĆA	MEŠTROVIĆ	Npmsg

NAZIV	naziv	Ncmsn
RADNOG	radni	Agpnsgy
MJESTA	mjesto	Ncnsg
OPIS	opis	Ncmsan
POSLOVA	posao	Ncmpg
S	sa	Si
POSEBNIM	poseban	Agpmpiy
UVJETIMA	uvjet	Ncmpi
RADA	rad	Ncmsg
Domar	Domar	Npmsn
Rukuje	rukovati	Vmr3s
plinskim	plinski	Agpmsiy
kotlovskim	kotlovski	Agpnsiy
postrojenjem	postrojenje	Ncnsi
,	,	Z
nadzire	nadzirati	Vmr3s
njegov	njegov	Ps3msan
rad	rad	Ncmsan
i	i	Cc
obavlja	obavljati	Vmr3s
tekuće	tekući	Agpnsay
održavanje	održavanje	Ncnsa
postrojenja	postrojenje	Ncnsg
.	.	Z

Obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
tekućeg	tekući	Agpnsgy
održavanja	održavanje	Ncnsg
opreme	oprema	Ncfsg
i	i	Cc
objekata	objekt	Ncmpg
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
kojih	koji	Pi-mpg
obavlja	obavljati	Vmr3s
manje	malo	Rgc
električarske	električarski	Agpfpay
,	,	Z
vodoinstalaterske	vodoinstalaterski	Agpfpay
,	,	Z
mehaničarske	mehaničarski	Agpmpay
,	,	Z
strojarske	strojarski	Agpmpay
i	i	Cc
sve	sav	Agpmpay
ostale	ostali	Agpmpay
poslove	posao	Ncmpa
prema	prema	Sl
potrebi	potreba	Ncfsl
.	.	Z

To	taj	Pd-nsn
zahtijeva	zahtijevati	Vmr3s
teško	težak	Agpnsay
fizičko	fizički	Agpnsay
naprezanje	naprezanje	Ncnsa
tijekom	tijekom	Sg
pretežnog	pretežan	Agpmsgy
dijela	dio	Ncmsg
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
.	.	Z

Vrtlar	vrtlar	Ncmsn
Održavanje	održavanje	Ncnsn
i	i	Cc
uređenje	uređenje	Ncnsa
zelenih	zelen	Agpfpgy
površina	površina	Ncfpg
uključujući	uključivati	Rr
i	i	Cc
košenje	košenje	Ncnsa
i	i	Cc
potkresivanje	potkresivanje	Ncnsa
zelenih	zelen	Agpfpgy
površina	površina	Ncfpg
i	i	Cc
drvoreda	drvored	Ncmpg
,	,	Z
čišćenje	čišćenje	Ncnsa
i	i	Cc
zalijevanje	zalijevanje	Ncnsa
zelenih	zelen	Agpfpgy
površina	površina	Ncfpg
,	,	Z
rezanje	rezanje	Ncnsn
i	i	Cc
oblikovanje	oblikovanje	Ncnsa
stablašica	stablašica	Ncfpg
i	i	Cc
drugog	drugi	Agpnsgy
bilja	bilje	Ncnsg
.	.	Z

Rukuje	rukovati	Vmr3s
sitnom	sitan	Agpfsiy
mehanizacijom	mehanizacija	Ncfsi
.	.	Z

Održavanje	održavanje	Ncnsn
maslinika	maslinik	Ncmpg
.	.	Z

Voditelj	voditelj	Ncmsn
odjela	odjel	Ncmsg
tehnike	tehnika	Ncfsg
i	i	Cc
održavanja	održavanje	Ncnsg
Obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
tekućeg	tekući	Agpnsgy
održavanja	održavanje	Ncnsg
opreme	oprema	Ncfsg
i	i	Cc
objekata	objekt	Ncmpg
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
kojih	koji	Pi-mpg
obavljaju	obavljati	Vmr3p
manje	malo	Rgc
električarske	električarski	Agpfpny
,	,	Z
vodoinstalalaterske	vodoinstalalaterska	Ncfpn
,	,	Z
stolarske	stolarski	Agpmpay
i	i	Cc
sve	sav	Agpmpay
ostale	ostali	Agpmpay
poslove	posao	Ncmpa
prema	prema	Sl
potrebi	potreba	Ncfsl
.	.	Z

Muzejski	muzejski	Agpmsny
tehničar	tehničar	Ncmsn
Rad	rad	Ncmsn
s	sa	Si
otrovima	otrov	Ncmpi
za	za	Sa
crvotočinu	crvotočina	Ncfsa
(	(	Z
drvocid	drvocid	Ncmsan
i	i	Cc
saratoga	saratoga	Rgp
antitarlo	antitarti	Vmp-sn
)	)	Z
,	,	Z
rad	rad	Ncmsan
u	u	Sl
prašini	prašina	Ncfsl
s	sa	Si
arhivskim	arhivski	Agpmsiy
materijalom	materijal	Ncmsi
(	(	Z
fotografije	fotografija	Ncfpn
,	,	Z
palnoteka	palnotek	Ncmsg
,	,	Z
crteži	crtež	Ncmpn
,	,	Z
knjige	knjiga	Ncfpn
)	)	Z
,	,	Z
uklanjanje	uklanjanje	Ncnsn
prašine	prašina	Ncfsg
i	i	Cc
fizički	fizički	Agpmsayn
napor	napor	Ncmsan
prilikom	prilikom	Sg
manipulacije	manipulacija	Ncfsg
muzejskom	muzejski	Agpfsiy
građom	građa	Ncfsi
.	.	Z

15.	15.	Mdo

ARHEOLOŠKI	arheološki	Agpmsny
MUZEJ	muzej	Ncmsn
ZADAR	Zadar	Npmsn

NAZIV	naziv	Ncmsn
RADNOG	radni	Agpnsgy
MJESTA	mjesto	Ncnsg
OPIS	opis	Ncmsan
POSLOVA	posao	Ncmpg
S	sa	Si
POSEBNIM	poseban	Agpmpiy
UVJETIMA	uvjet	Ncmpi
RADA	rad	Ncmsg
Restaurator-konzervator	Restaurator-konzervator	Npmsn
čisti	čistiti	Vmr3s
,	,	Z
restaurira	restaurirati	Vmr3s
i	i	Cc
konzervira	konzervirati	Vmr3s
muzejske	muzejski	Agpmpay
predmete	predmet	Ncmpa
prema	prema	Sl
pravilima	pravilo	Ncnpl
struke	struka	Ncfsg
i	i	Cc
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
za	za	Sa
muzejske	muzejski	Agpmpay
predmete	predmet	Ncmpa
dok	dok	Cs
su	biti	Var3p
na	na	Sl
obradi	obrada	Ncfsl
;	;	Z
vrši	vršiti	Vmr3s
dezinsekciju	dezinsekcija	Ncfsa
muzejskih	muzejski	Agpmpgy
predmeta	predmet	Ncmpg
;	;	Z
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
stanju	stanje	Ncnsl
mikroklime	mikroklima	Ncfsg
u	u	Sl
stalnom	stalan	Agpmsly
postavu	postav	Ncmsl
i	i	Cc
čuvaonicama	čuvaonica	Ncfpl
,	,	Z
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
ispravnom	ispravan	Agpmsly
radu	rad	Ncmsl
aparata	aparat	Ncmpg
za	za	Sa
odvlaživanje	odvlaživanje	Ncnsa
;	;	Z
Kustos-hidroarheolog	Kustos-hidroarheolog	Pi-msn
radi	raditi	Vmr3s
na	na	Sl
muzejskoj	muzejski	Agpfsly

