pretrage	pretraga	Ncfpa
nadziranja	nadziranje	Ncnsg
bruceloze	bruceloza	Ncfsg
ovaca	ovca	Ncfpg
i	i	Cc
koza	koza	Ncfpg
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
,	,	Z
vrijedi	vrijediti	Vmr3s
nalaz	nalaz	Ncmsan
iz	iz	Sg
2014.	2014.	Mdo
godine	godina	Ncfsg
.	.	Z

DODATAK	dodatak	Ncmsn
IV	IV	Mrc
.	.	Z

POPIS	popis	Ncmsn
BEDRENIČNIH	bedrenični	Agpmpgy
DISTRIKATA	distrikat	Ncmpg

R.	R.	Y
br.	br.	Y

Županija	županija	Ncfsn
Bedrenični	bedreničan	Agpmsny
distrikt	distrikt	Ncmsn
–	–	Z
naziv	naziv	Ncmsn
naselja	naselje	Ncnsg
Poštanski	poštanski	Agpmsny
broj	broj	Ncmsn
Općina	općina	Ncfsn
3.	3.	Mdo
SISAČKO-MOSLAVAČKA	sisačko-moslavački	Agpfsny
ŽUPANIJA	županija	Ncfsn
1	1	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Mala	mali	Agpfsny
Ludina	Ludina	Npfsn
44316	44316	Npfsn
Velika	Velika	Npfsn
Ludina	Ludina	Npfsn
2	2	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Vidrenjak	Vidrenjak	Npfsn
44316	44316	Mdc
Velika	velik	Agpfsny
Ludina	Ludina	Npfsn
3	3	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Velika	velik	Agpfsny
Ludina	Ludina	Npfsn
44316	44316	Mdc
Velika	velik	Agpfsny
Ludina	Ludina	Npfsn
4	4	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Grabrov	grabrov	Aspmsnn
Potok	potok	Ncmsn
44316	44316	Mdc
Velika	Velika	Npfsn
Ludina	Ludina	Npfsn
5	5	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Okoli	Okoli	Npfsn
44316	44316	Mdc
Velika	velik	Agpfsny
Ludina	Ludina	Npfsn
6	6	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Lekenik	lekenik	Ncmsn
44272	44272	Mdc
Lekenik	Lekenik	Npmsn
7	7	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Poljana	poljana	Ncfsn
Lekenička	lekenički	Agpfsny
44272	44272	Mdc
Lekenik	Lekenik	Npmsn
8	8	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Podbrde	Podbrde	Npfsn
44317	44317	Mdc
Popovača	Popovača	Npfsn
9	9	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Donja	donji	Agpfsny
Vlahinička	vlahinički	Agpfsny
44317	44317	Mdc
Popovača	popovač	Ncmpg
10	10	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Piljenice	Piljenica	Npfsv
44322	44322	Mdc
Lipovljani	Lipovljan	Npmpn
11	11	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpnpay
Kraljeva	kraljev	Aspfsny
Velika	velik	Agpfsny
44322	44322	Mdc
Lipovljani	Lipovljan	Npmpn
12	12	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Husain	Husain	Npfsn
44320	44320	Mdc
Kutina	Kutin	Npmsay
13	13	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Žabno	žaban	Agpnsny
44000	44000	Mdc
Sisak	Sisak	Npmsn
14	14	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpmsgy
Odra	odar	Ncmsg
Sisačka	sisački	Agpfsny
44000	44000	Mdc
Sisak	Sisak	Npmsn
15	15	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Staro	star	Agpnsny
Pracno	Pracno	Npmsn
44000	44000	Mdc
Sisak	Sisak	Npmsn
16	16	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Sisak	Sisak	Npfsn
44000	44000	Mdc
Sisak	Sisak	Npmsn
17	17	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Blinjski	blinjski	Agpmsny
Kut	kut	Ncmsn
44211	44211	Mdc
Sisak	Sisak	Npmsn
18	18	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Budaševo	Budaševo	Npnsn
44202	44202	Mdc
Sisak	Sisak	Npmsn
19	19	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Bukovsko	Bukovsko	Npfsn
44202	44202	Mdc
Sisak	Sisak	Npmsn
20	20	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Crnac	crnac	Ncmsn
44010	44010	Mdc
Sisak	Sisak	Npmsn
21	21	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Čigoć	Čigoć	Npfsn
44213	44213	Mdc
Sisak	Sisak	Npmsn
22	22	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Donje	donji	Agpfsgy
Komarevo	Komarevo	Npmsn
44211	44211	Mdc
Sisak	Sisak	Npmsn
23	23	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Gornje	gornji	Agpfsgy
Komarevo	Komarevo	Npmsn
44211	44211	Mdc
Sisak	Sisak	Npmsn
24	24	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Greda	greda	Ncfsn
44273	44273	Mdc
Sisak	Sisak	Npmsn
25	25	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Gušće	gusto	Rgc
44203	44203	Mdc
Sisak	Sisak	Npmsn
26	26	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Hrastelnica	Hrastelnica	Npfsn
44000	44000	Mdc
Sisak	Sisak	Npmsn
27	27	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Jazvenik	jazvenik	Ncmsn
44273	44273	Mdc
Sisak	Sisak	Npmsn
28	28	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Klobučak	Klobučak	Npfsn
44211	44211	Mdc
Sisak	Sisak	Npmsn
29	29	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Kratečko	Kratečko	Npfsn
44213	44213	Mdc
Sisak	Sisak	Npmsn
30	30	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Letovanci	Letovanc	Npmpn
44203	44203	Mdc
Sisak	Sisak	Npmsn
31	31	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Lonja	Lonja	Npfsn
44213	44213	Mdc
Sisak	Sisak	Npmsn
32	32	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Lukavec	Lukavec	Npfsn
Posavski	Posavski	Npmsn
44203	44203	Npmsn
Sisak	Sisak	Npmsn
33	33	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Madžari	Madžari	Npfsn
44231	44231	Mdc
Sisak	Sisak	Npmsn
34	34	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Mužilovčica	Mužilovčica	Npfsn
44213	44213	Mdc
Sisak	Sisak	Npmsn
35	35	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Novo	nov	Agpnsny
Pračno	pračno	Rgp
44010	44010	Mdc
Sisak	Sisak	Npmsn
36	36	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Novo	nov	Agpnsny
Selo	selo	Ncnsn
44010	44010	Mdc
Sisak	Sisak	Npmsn
37	37	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Novo	nov	Agpnsny
Selo	selo	Ncnsn
Palanječko	palanječki	Agpnsny
44202	44202	Mdc
Sisak	Sisak	Npmsn
38	38	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Palanjek	Palanjek	Npmsn
44000	44000	Mdc
Sisak	Sisak	Npmsn
39	39	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Prelošćica	Prelošćica	Npfsn
44202	44202	Mdc
Sisak	Sisak	Npmsn
40	40	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpnpny
Sela	selo	Ncnpn
44273	44273	Mdc
Sisak	Sisak	Npmsn
41	41	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Stara	star	Agpfsny
Drenčina	drenčina	Ncfsn
44237	44237	Mdc
Sisak	Sisak	Npmsn
42	42	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Staro	star	Agpnsny
Selo	selo	Ncnsn
44212	44212	Mdc
Sisak	Sisak	Npmsn
43	43	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Stupno	Stupna	Npfsv
44000	44000	Mdc
Sisak	Sisak	Npmsn
44	44	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Suvoj	Suvoj	Npfsn
44213	44213	Mdc
Sisak	Sisak	Npmsn
45	45	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Topolovac	Topolovac	Npmsn
44202	44202	Mdc
Sisak	Sisak	Npmsn
46	46	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Veliko	velik	Agpnsny
Svinjičko	Svinjičko	Npmsn
44203	44203	Mdc
Sisak	Sisak	Npmsn
47	47	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Vurot	Vurot	Npfsn
44273	44273	Mdc
Sisak	Sisak	Npmsn
48	48	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Bok	bok	Qo
Palanječki	Palanječki	Npfsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
49	49	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Desni	desni	Agpmsny
Dubrovčak	Dubrovčak	Npmsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
50	50	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Desno	desno	Rgp
Trebarjevo	Trebarjevo	Npnsa
44201	44201	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
51	51	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Desno	desno	Rgp
Željezno	željezno	Rgp
44201	44201	Mdc
Martinska	martinski	Agpfsny
Ves	ves	Ncfsn
52	52	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpnsny
Jezero	jezero	Ncnsn
Posavsko	posavski	Agpnsny
44201	44201	Mdc
Martinska	martinski	Agpfsny
Ves	ves	Ncfsn
53	53	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Lijeva	Lijeva	Npfsn
Luka	luka	Ncfsn
44201	44201	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
54	54	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Lijevo	lijevi	Agpnsny
Trebarjevo	Trebarjevo	Npnsn
44201	44201	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
55	55	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Lijevo	lijevi	Agpnsny
Željezno	željezan	Agpnsny
44201	44201	Mdc
Martinska	martinski	Agpfsny
Ves	ves	Ncfsn
56	56	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Ljubljanica	ljubljanica	Ncfsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
57	57	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Mahovo	Mahovo	Npnsa
44201	44201	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
58	58	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Martinska	martinski	Agpfsny
Ves	ves	Ncfsn
44201	44201	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
59	59	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Setuš	Setuš	Npfsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
60	60	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Strelečko	Strelečko	Npfsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
61	61	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Tišina	tišina	Ncfsn
Erdedska	Erdedska	Npfsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
62	62	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Tišina	tišina	Ncfsn
Kaptolska	kaptolski	Agpfsny
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
63	63	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Žirčica	žirčica	Ncfsn
44000	44000	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
64	64	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny
Martinska	martinski	Agpfsny
Ves	ves	Ncfsn
44201	44201	Mdc
Martinska	Martinska	Npfsn
Ves	Ves	Npfsn
65	65	Mdc
Sisačko-moslavačka	sisačko-moslavački	Agpfsny

