Jelsa	Jelsa	Npfsn
-	-	Z
-	-	Z
1	1	Mdc
-	-	Z
BENZIN	benzin	Ncmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
96364285052	96364285052	Mdc
)	)	Z
Ivana	Ivan	Npmsg
Gorana	Goran	Npmsg
Kovačića	Kovačić	Npmsg
106	106	Mdc
,	,	Z
32236	32236	Mdc
Ilok	Ilok	Npmsn
1	1	Mdc
-	-	Z
-	-	Z
-	-	Z
BP	BP	Npmsn
BREBRIĆ	BREBRIĆ	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
56879195310	56879195310	Mdc
)	)	Z
Zagrebačka	zagrebački	Agpfsny
b.	b.	Y
b.	b.	Y
,	,	Z
44322	44322	Mdc
Lipovljani	Lipovljan	Npmpn
1	1	Mdc
-	-	Z
1	1	Mdc
-	-	Z
BRALA	brati	Vmp-sf
d.o.o.	d.o.o.	Ncmsan
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
88011419576	88011419576	Mdc
)	)	Z
Braće	Braće	Npfsn
Dežmalj	Dežmalj	Npfsn
b.	b.	Y
b.	b.	Y
,	,	Z
23242	23242	Mdc
Posedarje	Posedarja	Npfpn
1	1	Mdc
-	-	Z
-	-	Z
-	-	Z
CRO-CAN	CRO-CAN	Npmsn
CENTER	CENTER	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
39239320475	39239320475	Mdc
)	)	Z
Slavonska	slavonski	Agpfsny
avenija	avenija	Ncfsn
63	63	Mdc
,	,	Z
10360	10360	Mdc
Sesvete	Sesveta	Npfpn
1	1	Mdc
-	-	Z
1	1	Mdc
1	1	Mdc
CRODUX	crodux	Agpmpny
DERIVATI	derivat	Ncmpn
DVA	dva	Mlc
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
00865396224	00865396224	Mdc
)	)	Z
Josipa	Josip	Npmsg
Marohnića	Marohnić	Npmsg
1	1	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn
9	9	Mdc
*	*	Z
2	2	Mdc
22	22	Mdc
*	*	Z
4	4	Mdc
ČEF	ČEF	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
04134594011	04134594011	Mdc
)	)	Z
Kumrovečka	kumrovečki	Agpfsny
cesta	cesta	Ncfsn
230	230	Mdc
,	,	Z
10293	10293	Mdc
Dubravica	Dubravica	Npfsn
-	-	Z
-	-	Z
1	1	Mdc
-	-	Z
ČUKELJ	ČUKELJ	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
30844612977	30844612977	Mdc
)	)	Z
Zagrebačka	zagrebački	Agpfsny
79	79	Mdc
,	,	Z
10410	10410	Mdc
Velika	velik	Agpfsny
Gorica	gorica	Ncfsn
1	1	Mdc
-	-	Z
-	-	Z
-	-	Z
D.	D.	Mro
D.	D.	Y
ŠENKOVEC	ŠENKOVEC	Npmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
04077880921	04077880921	Mdc
)	)	Z
Kolodvorska	kolodvorski	Agpfsny
10	10	Mdc
,	,	Z
Kraj	kraj	Ncmsn
Donji	donji	Agpmsny
,	,	Z
10299	10299	Mdc
M.	M.	Y
Gorica	Gorica	Npfsn
1	1	Mdc
-	-	Z
-	-	Z
-	-	Z
DIRUS	DIRUS	Npmsn
PROJEKT	projekt	Ncmsn
d.o.o.	d.o.o.	Y
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
41184565783	41184565783	Mdc
)	)	Z
Našička	našički	Agpfsny
3	3	Mdc
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn
2	2	Mdc
-	-	Z
1	1	Mdc
1	1	Mdc
ENSOLIS	ENSOLIS	Npmsn
PROIZVODNJA	proizvodnja	Ncfsn
d.o.o.	d.o.oa	Ncfsg
,	,	Z
(	(	Z
OIB	OIB	Npmsn
:	:	Z
29979142985	29979142985	Mdc
)	)	Z
Katarine	Katarina	Npfsg
Zrinski	zrinski	Agpmsny
2	2	Mdc
,	,	Z
Domašinec	Domašinec	Npmsn
,	,	Z
40318	40318	Mdc
