tih	taj	Pd-mpg
strojeva	stroj	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nadzor	nadzor	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
primjenom	primjena	Ncfsi
odredbi	odredba	Ncfsl
Zakona	zakon	Ncmsg
o	o	Sl
trošarinama	trošarina	Ncfpl
,	,	Z
Općeg	opći	Agpmsgy
poreznog	porezni	Agpmsgy
zakona	zakon	Ncmsg
te	te	Cc
primjenom	primjena	Ncfsi
odredbi	odredba	Ncfsl
o	o	Sl
nadzoru	nadzor	Ncmsl
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
poslovi	posao	Ncmpn
i	i	Cc
ovlasti	ovlast	Ncfpn
carinske	carinski	Agpfsgy
službe	služba	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Korisnici	korisnik	Ncmpn
prava	pravo	Ncnpg
i	i	Cc
s	sa	Sg
njima	oni	Pp3-pi
povezane	povezan	Agpfpny
osobe	osoba	Ncfpn
su	biti	Var3p
dužni	dužan	Agpmpny
u	u	Sl
svakom	svaki	Pi-msl
trenutku	trenutak	Ncmsl
tijelima	tijelo	Ncnpl
nadzora	nadzor	Ncmsg
predočiti	predočiti	Vmn
,	,	Z
omogućiti	omogućiti	Vmn
uvid	uvid	Ncmsan
i	i	Cc
dostaviti	dostaviti	Vmn
sve	sav	Agpfpay
evidencije	evidencija	Ncfpa
,	,	Z
isprave	isprava	Ncfpa
i	i	Cc
podatke	podatak	Ncmpa
te	te	Cc
osigurati	osigurati	Vmn
nesmetano	nesmetan	Agpnsay
obavljanje	obavljanje	Ncnsa
nadzora	nadzor	Ncmsg
.	.	Z

Tijela	tijelo	Ncnpn
nadzora	nadzor	Ncmsg
mogu	moći	Vmr3p
provjeravati	provjeravati	Vmn
trgovačke	trgovački	Agpfpay
,	,	Z
