osnovne	osnovan	Agpfsgy
referentne	referentan	Agpfsgy
stope	stopa	Ncfsg
,	,	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
i	i	Cc
objavljuje	objavljivati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
pravila	pravilo	Ncnpg
o	o	Sl
državnim	državni	Agpfply
potporama	potpora	Ncfpl
,	,	Z
uvećane	uvećati	Appfpny
za	za	Sa
100	100	Mdc
baznih	bazni	Agpmpgy
bodova	bod	Ncmpg
.	.	Z

2.	2.	Mdo
Porezne	porezni	Agpfsgy
potpore	potpora	Ncfsg
za	za	Sa
male	mali	Agpfpay
,	,	Z
srednje	srednji	Agpfsgy
i	i	Cc
velike	velik	Agpfsgy
poduzetnike	poduzetnika	Ncfsg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sl
visini	visina	Ncfsl
iznosa	iznos	Ncmsg
protuvrijednosti	protuvrijednost	Ncfsl
kuna	kuna	Ncfpg
do	do	Sg
1.000.000,00	1.000.000,00	Mdc
eura	euro	Ncmpg
,	,	Z
korisniku	korisnik	Ncmsl
potpore	potpora	Ncfsg
,	,	Z
stopa	stopa	Ncfsn
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
umanjuje	umanjivati	Vmr3s
se	sebe	Px--sa
za	za	Sa
50	50	Mdc
%	%	Z
od	od	Sg
propisane	propisati	Agpfsgy
stope	stopa	Ncfsg
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
u	u	Sl
razdoblju	razdoblje	Ncnsl
do	do	Sg
10	10	Mdc
godina	godina	Ncfpg
od	od	Sg
godine	godina	Ncfsg
početka	početak	Ncmsg
ulaganja	ulaganje	Ncnsg
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
otvaranja	otvaranje	Ncnsg
najmanje	malo	Rgs
pet	pet	Mlc
novih	nov	Agpnpgy
radnih	radni	Agpnpgy
mjesta	mjesto	Ncnpg
povezanih	povezan	Agpmpgy
s	sa	Si
ulaganjem	ulaganje	Ncnsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sl
visini	visina	Ncfsl
iznosa	iznos	Ncmpg
protuvrijednosti	protuvrijednost	Ncfsg
kuna	kuna	Ncfpg
od	od	Sg
1.000.000,00	1.000.000,00	Mdc
do	do	Sg
3.000.000,00	3.000.000,00	Mdc
eura	euro	Ncmpg
,	,	Z
korisniku	korisnik	Ncmsl
potpore	potpora	Ncfsg
,	,	Z
stopa	stopa	Ncfsn
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
umanjuje	umanjivati	Vmr3s
se	sebe	Px--sa
za	za	Sa
75	75	Mdc
%	%	Z
od	od	Sg
propisane	propisati	Agpfsgy
stope	stopa	Ncfsg
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
u	u	Sl
razdoblju	razdoblje	Ncnsl
do	do	Sg
10	10	Mdc
godina	godina	Ncfpg
od	od	Sg
godine	godina	Ncfsg
početka	početak	Ncmsg
ulaganja	ulaganje	Ncnsg
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
popunjavanja	popunjavanje	Ncnsg
najmanje	malo	Rgs
10	10	Mdc
novih	nov	Agpnpgy
radnih	radni	Agpnpgy
mjesta	mjesto	Ncnpg
povezanih	povezan	Agpmpgy
s	sa	Si
ulaganjem	ulaganje	Ncnsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
ulaganje	ulaganje	Ncnsa
u	u	Sl
visini	visina	Ncfsl
iznosa	iznos	Ncmsg
protuvrijednosti	protuvrijednost	Ncfsg
kuna	kuna	Ncfpg
više	mnogo	Rgc
od	od	Sg
3.000.000,00	3.000.000,00	Mdc
eura	euro	Ncmpg
,	,	Z
korisniku	korisnik	Ncmsl
potpore	potpora	Ncfsg
,	,	Z
stopa	stopa	Ncfsn
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
umanjuje	umanjivati	Vmr3s
se	sebe	Px--sa
za	za	Sa
100	100	Mdc
%	%	Z
od	od	Sg
propisane	propisati	Agpfsgy
stope	stopa	Ncfsg
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
u	u	Sl
razdoblju	razdoblje	Ncnsl
do	do	Sg
10	10	Mdc
godina	godina	Ncfpg
od	od	Sg
godine	godina	Ncfsg
početka	početak	Ncmsg
ulaganja	ulaganje	Ncnsg
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
otvaranja	otvaranje	Ncnsg
najmanje	malo	Rgs
15	15	Mdc
novih	nov	Agpnpgy
radnih	radni	Agpnpgy
mjesta	mjesto	Ncnpg
povezanih	povezan	Agpmpgy
s	sa	Si
ulaganjem	ulaganje	Ncnsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
poreznih	porezni	Agpfpgy
potpora	potpora	Ncfpg
za	za	Sa
male	mali	Agpfpay
,	,	Z
srednje	srednji	Agpfsgy
i	i	Cc
velike	velik	Agpfpay
poduzetnike	poduzetnika	Ncfpa
koje	koji	Pi-fpn
korisnik	korisnik	Ncmsn
potpore	potpora	Ncfsg
može	moći	Vmr3s
iskoristiti	iskoristiti	Vmn
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
korištenja	korištenje	Ncnsg
poreznih	porezni	Agpfpgy
potpora	potpora	Ncfpg
određuje	određivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
apsolutnom	apsolutan	Agpmsly
iznosu	iznos	Ncmsl
razlike	razlika	Ncfsg
obračuna	obračun	Ncmsg
dužnog	dužan	Agpmsgy
iznosa	iznos	Ncmsg
poreza	porez	Ncmsg
na	na	Sa
dobit	dobit	Ncfsa
izračunanog	izračunan	Agpnsgy
na	na	Sl
