Španovica	Španovica	Npfsn
(	(	Z
D38	D38	X
)	)	Z
–	–	Z
G.	G.	Y
Šumetlica	Šumetlica	Npfsn
4,6	4,6	Mdc
LC	LC	Y
41018	41018	Mdc
Jeminovac	Jeminovac	Npmsn
(	(	Z
L41019	L41019	X
)	)	Z
–	–	Z
Čečavac	Čečavac	Npmsn
–	–	Z
Koprivna	Koprivna	Npfsn
–	–	Z
Rasna	rasan	Agpfsny
–	–	Z
D38	d38	Ncfsn
5,9	5,9	Mdc
LC	LC	Y
41019	41019	Mdc
Šnjegavić	Šnjegavić	Npfsn
–	–	Z
Jeminovac	Jeminovac	Npmsn
–	–	Z
Čeč	Čeč	Npmsn
.	.	Z

Vučjak	vučjak	Ncmsn
–	–	Z
D51	D51	Npmsn
6,4	6,4	Mdc
LC	LC	Y
41020	41020	Mdc
Ž4100	Ž4100	X
–	–	Z
Doljanci	Doljanc	Npmpn
0,7	0,7	Mdc
LC	LC	Y
41021	41021	Mdc
Stražeman	Stražeman	Xf
–	–	Z
Biškupci	Biškupc	Npmpn
(	(	Z
Ž4101	Ž4101	X
)	)	Z
1,0	1,0	Mdc
LC	LC	Y
41022	41022	Mdc
Lučinci	Lučinc	Npmpn
(	(	Z
Ž4113	Ž4113	X
)	)	Z
–	–	Z
Skenderovci	Skenderovc	Npmpn
–	–	Z
D38	D38	X
8,2	8,2	Mdc
LC	LC	Y
41023	41023	Mdc
Ž4113	Ž4113	X
–	–	Z
Milanovac	Milanovac	Npmsn
–	–	Z
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Požege	Požega	Npfsg
4,1	4,1	Mdc
LC	LC	Y
41024	41024	Mdc
Potočani	Potočan	Npmpn
–	–	Z
Ž4101	Ž4101	X
0,8	0,8	Mdc
LC	LC	Y
41025	41025	Mdc
Radovanci	Radovanc	Npmpn
–	–	Z
Ž4101	Ž4101	X
0,6	0,6	Mdc
LC	LC	Y
41026	41026	Mdc
Aleksandrovac	Aleksandrovac	Npmsan
–	–	Z
L41027	L41027	X
2,3	2,3	Mdc
LC	LC	Y
41027	41027	Mdc
Trenkovo	Trenkovo	Npnsa
(	(	Z
D49	D49	X
)	)	Z
–	–	Z
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Požege	Požega	Npfsg
3,3	3,3	Mdc
LC	LC	Y
41030	41030	Mdc
Češljakovci	Češljakovc	Npmpn
–	–	Z
Ž4101	Ž4101	X
0,7	0,7	Mdc
LC	LC	Y
41031	41031	Mdc
Golo	gol	Agpnsny
Brdo	brdo	Ncnsn
–	–	Z
Ž4101	Ž4101	X
0,6	0,6	Mdc
LC	LC	Y
41032	41032	Mdc
Kaptol	kaptol	Ncmsn
(	(	Z
Ž4101	Ž4101	X
)	)	Z
–	–	Z
Doljanovci	Doljanovca	Npfsl
–	–	Z
Podgorje	podgorje	Ncnsn
–	–	Z
Ž4101	Ž4101	X
7,6	7,6	Mdc
LC	LC	Y
41033	41033	Mdc
Ž4101	Ž4101	X
–	–	Z
Ramanovci	Ramanovc	Npmpn
–	–	Z
Treštanovci	Treštanovc	Npmpn
–	–	Z
D51	D51	X
8,2	8,2	Mdc
LC	LC	Y
41035	41035	Mdc
Tekić	Tekić	Npmsn
–	–	Z
