identificiranja	identificiranje	Ncnsg
16	16	Mdc
(	(	Z
n	i	Agpnsny
,	,	Z
1	1	Mdc
))	))	Pi-fsn
mora	morati	Vmr3s
biti	biti	Van
K	k	Appmpny
ili	ili	Cc
G	g	Pd-nsn
,	,	Z
inače	inače	Rgp
0.	0.	Mdo
487	487	Mdc
(	(	Z
W	w	Xf
)	)	Z

Na	na	Sl
kraju	kraj	Ncmsl
tablice	tablica	Ncfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
sljedeća	sljedeći	Agpfsny
kontrola	kontrola	Ncfsn
:	:	Z

Ako	ako	Cs
je	biti	Var3s
Oznaka	oznaka	Ncfsn
retka	redak	Ncmsg
=	=	Z
‘	‘	Z
PO	po	Sl
’	a	Ncfsl
,	,	Z
tada	tada	Rgp
Banka	banka	Ncfsn
MBR	MBR	Npfsn
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
jednak	jednak	Agpmsnn
kao	kao	Cs
Komitent	komitent	Ncmsn
MBR	MBR	Npmsn
138	138	Mdc

Članak	članak	Ncmsn
13.	13.	Mdo

U	u	Sl
tablici	tablica	Ncfsl
u	u	Sl
točki	točka	Ncfsl
3.5.3.	3.5.3.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
sljedeće	sljedeći	Agpfsgy
kontrole	kontrola	Ncfsg
:	:	Z

Dopunski	dopunski	Agpmpny
slogovi	slog	Ncmpn
Šifra	šifra	Ncfsn
pogreške	pogreška	Ncfsg
Za	za	Sa
sve	sav	Agpmpay
instrumente	instrument	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
u	u	Sl
izvješću	izvješće	Ncnsl
KS	KS	Npmsn
,	,	Z
osim	osim	Sg
instrumenata	instrument	Ncmpg
A0235	A023	Npmsg
,	,	Z
A0236	A0236	X
,	,	Z
A0237	A0237	X
,	,	Z
A0238	A0238	Npmsn
i	i	Cc
A0239	A0239	X
,	,	Z
vrijedi	vrijediti	Vmr3s
pravilo	pravilo	Ncnsa
:	:	Z
za	za	Sa
svaku	svaki	Pi-fsa
Vrstu	vrsta	Ncfsa
iznosa	iznos	Ncmsg
=	=	Z
41	41	Mdc
mora	morati	Vmr3s
postojati	postojati	Vmn
Vrsta	vrsta	Ncfsn
iznosa	iznos	Ncmsg
=	=	Z
42	42	Mdc
i	i	Cc
obratno	obratno	Rgp
,	,	Z
za	za	Sa
svaku	svaki	Pi-fsa
Vrstu	vrsta	Ncfsa
iznosa	iznos	Ncmsg
=	=	Z
42	42	Mdc
mora	morati	Vmr3s
postojati	postojati	Vmn
Vrsta	vrsta	Ncfsn
iznosa	iznos	Ncmsg
=	=	Z
41.	41.	Mdo
