l	l	Y
)	)	Z
kostimografija	kostimografija	Ncfsn
za	za	Sa
1	1	Mdc
dugometražni	dugometražni	Agpmsayn
film	film	Ncmsan
(	(	Z
igrani	igrani	Agpmsny
,	,	Z
dokumentarni	dokumentaran	Agpmpny
ili	ili	Cc
eksperimentalni	eksperimentalan	Agpmpny
)	)	Z
i	i	Cc
2	2	Mdc
srednjometražna	srednjometražn	Ncmpg
igrana	igrani	Agpmsgy
filma	film	Ncmsg

m	m	Npmsn
)	)	Z
kostimografija	kostimografija	Ncfsn
za	za	Sa
1	1	Mdc
dugometražni	dugometražni	Agpmsayn
film	film	Ncmsan
(	(	Z
igrani	igrani	Agpmsny
,	,	Z
dokumentarni	dokumentaran	Agpmpny
ili	ili	Cc
eksperimentalni	eksperimentalan	Agpmpny
)	)	Z
i	i	Cc
1	1	Mdc
televizijsku	televizijski	Agpfsay
seriju	serija	Ncfsa
igranog	igrani	Agpnsgy
,	,	Z
dokumentarnog	dokumentaran	Agpnsgy
ili	ili	Cc
dokumentarno-igranog	dokumentarno-igran	Agpmsgy
sadržaja	sadržaj	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
najmanje	malo	Rgs
120	120	Mdc
minuta	minuta	Ncfpg

n	n	Npmsv
)	)	Z
kostimografija	kostimografija	Ncfsn
za	za	Sa
1	1	Mdc
dugometražni	dugometražni	Agpmsayn
film	film	Ncmsan
(	(	Z
igrani	igrani	Agpmsny
,	,	Z
dokumentarni	dokumentaran	Agpmpny
ili	ili	Cc
eksperimentalni	eksperimentalan	Agpmpny
)	)	Z
i	i	Cc
3	3	Mdc
kratkometražna	kratkometražni	Ncmpg
ili	ili	Cc
srednjometražna	srednjometražan	Agpfsny
dokumentarna	dokumentaran	Agpfsny
ili	ili	Cc
eksperimentalna	eksperimentalan	Agpfsny
filma	film	Ncmsg

o	o	Sl
)	)	Z
kostimografija	kostimografija	Ncfsn
za	za	Sa
1	1	Mdc
dugometražni	dugometražni	Agpmsayn
film	film	Ncmsan
(	(	Z
igrani	igrani	Agpmsny
,	,	Z
dokumentarni	dokumentaran	Agpmpny
ili	ili	Cc
eksperimentalni	eksperimentalan	Agpmpny
)	)	Z
i	i	Cc
2	2	Mdc
kratkometražna	kratkometražni	Agpfsny
igrana	igrani	Agpfsny
filma	film	Ncfsn

p	p	Npmsn
)	)	Z
kostimografija	kostimografija	Ncfsn
za	za	Sa
120	120	Mdc
epizoda	epizoda	Ncfpg
televizijskih	televizijski	Agpfpgy
novela	novela	Ncfpg
(	(	Z
sapunica	sapunica	Ncfsn
