ovlaštenim	ovlašten	Agpmpdy
korisnicima	korisnik	Ncmpd
modula	modul	Ncmpg
ePlanovi	ePlanovi	Pi-mpn
te	te	Cc
se	sebe	Px--sa
ne	ne	Qz
objavljuju	objavljivati	Vmr3p
u	u	Sl
javnom	javan	Agpmsly
dijelu	dio	Ncmsl
ISPU-a	ISPU	Npmsg
.	.	Z

Ispravak	ispravak	Ncmsn
greške	greška	Ncfsg
stručnog	stručan	Agpmsgy
izrađivača	izrađivač	Ncmsg

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
prilikom	prilikom	Sg
unosa	unos	Ncmsg
u	u	Sa
modul	modul	Ncmsan
ePlanovi	eplanov	Agpmsayn
elektronički	elektronički	Agpmsayn
oblik	oblik	Ncmsan
prijedloga	prijedlog	Ncmsg
prostornog	prostoran	Agpmsgy
plana	plan	Ncmsg
ne	ne	Qz
prođe	proći	Vmr3s
formalnu	formalan	Agpfsay
računalnu	računalni	Agpfsay
kontrolu	kontrola	Ncfsa
ispravnosti	ispravnost	Ncfsg
ugrađenu	ugraditi	Appfsay
u	u	Sa
modul	modul	Ncmsan
ePlanovi	eplanova	Ncfsl
i	i	Cc
/	/	Z
ili	ili	Cc
se	sebe	Px--sa
gml	gmlti	Vmr3s
,	,	Z
odnosno	odnosno	Rgp
shp	shi	Agpfpay
datoteke	datoteka	Ncfpa
ne	ne	Qz
prikažu	prikazati	Vmr3p
u	u	Sl
ISPU	isp	Ncmsl
na	na	Sa
ispravan	ispravan	Agpmsann
način	način	Ncmsan
,	,	Z
stručni	stručan	Agpmsny
izrađivač	izrađivač	Ncmsn
obvezan	obvezati	Appmsnn
je	biti	Var3s
bez	bez	Sg
naknade	naknada	Ncfsg
ispraviti	ispraviti	Vmn
greške	greška	Ncfpa
i	i	Cc
osigurati	osigurati	Vmn
ispravan	ispravan	Agpmsann
prikaz	prikaz	Ncmsan
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
3	3	Mdc
radna	radni	Agpmsgy
dana	dan	Ncmsg
prije	prije	Sg
početka	početak	Ncmsg
javne	javan	Agpfsgy
rasprave	rasprava	Ncfsg
