Garica	garica	Ncfsn
–	–	Z
Vrbnik	Vrbnik	Npmsn
8,2	8,2	Mdc
ŽC	ŽC	Y
5109	5109	Mdc
Klenovica	Klenovica	Npfsn
:	:	Z
D8	D8	X
–	–	Z
D8	D8	X
2,9	2,9	Mdc
ŽC	ŽC	Y
5110	5110	Mdc
Klenovica	Klenovica	Npfsn
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Krivi	kriv	Agpmsny
Put	put	Ncmsn
–	–	Z
Prokike	Prokika	Npfsg
(	(	Z
D23	D23	X
)	)	Z
32,2	32,2	Mdc
ŽC	ŽC	Npmsn
5111	5111	Mdc
Križ	križ	Ncmsn
Kamenica	kamenica	Ncfsn
(	(	Z
L59005	L59005	X
)	)	Z
–	–	Z
Križpolje	Križpolje	Npnsa
(	(	Z
D23	D23	X
)	)	Z
2,7	2,7	Mdc
ŽC	ŽC	Npmsn
5112	5112	Mdc
Stajnica	Stajnica	Npfsn
(	(	Z
L59007	L59007	X
)	)	Z
–	–	Z
Ž5113	Ž5113	X
3,0	3,0	Mdc
ŽC	ŽC	Y
5113	5113	Mdc
Križpolje	Križpolje	Npnsn
(	(	Z
D23	D23	X
)	)	Z
–	–	Z
Glibodol	Glibodol	Npmsn
–	–	Z
Lička	lički	Agpfsny
Jasenica	Jasenica	Npfsn
(	(	Z
D42	D42	X
)	)	Z
26,8	26,8	Mdc
ŽC	ŽC	Npmsn
5114	5114	Mdc
Brinje	Brinje	Npnsa
(	(	Z
D23	D23	X
)	)	Z
–	–	Z
Letinac	Letinac	Npmsn
7,8	7,8	Mdc
ŽC	ŽC	Npmsn
5115	5115	Mdc
T.	T.	Y
L.	L.	Y
Barbariga	Barbari	Npmsg
–	–	Z
Peroj	Peroj	I
–	–	Z
Fažana	Fažan	Npmsay
–	–	Z
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Pule	Pula	Npfsg
15,4	15,4	Npfsg
ŽC	ŽC	Npfsg
5116	5116	Mdc
T.	T.	Y
L.	L.	Y
Zelena	zelen	Agpfsny
Laguna	laguna	Ncfsn
–	–	Z
D75	D75	X
1,4	1,4	Mdc
ŽC	ŽC	Npmsn
5117	5117	Mdc
D75	D75	X
–	–	Z
Galižana	Galižana	Npfsn
(	(	Z
L50160	L50160	X
)	)	Z
1,5	1,5	Mdc
ŽC	ŽC	Npmsn
5118	5118	Mdc
Guran	gurati	Appmsnn
(	(	Z
Ž5101	Ž5101	X
)	)	Z
–	–	Z
Pinezići	Pinezići	Npfsl
–	–	Z
Marčana	Marčan	Npmpg
–	–	Z
Ž5119	Ž5119	X
9,9	9,9	Mdc
ŽC	ŽC	Y
5119	5119	Mdc
Prodol	Prodol	Npmsn
(	(	Z
D66	D66	X
)	)	Z
–	–	Z
Krnica	krnica	Ncfsn
–	–	Z
Kavran	Kavran	Npmsn
–	–	Z
Šišan	šišati	Appmsnn
