redovitih	redovit	Agpmpgy
prijevoza	prijevoz	Ncmpg
bolesnika	bolesnik	Ncmpg
s	sa	Sg
otoka	otok	Ncmsg
na	na	Sa
kopno	kopno	Ncnsa
i	i	Cc
obrnuto	obrnuti	Agpnsny
,	,	Z

7.	7.	Mdo
ostale	ostali	Agpfpay
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
to	taj	Pd-nsa
pravo	pravo	Ncnsa
stječu	stjecati	Vmr3p
po	po	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
.	.	Z

Pravo	pravo	Ncnsn
na	na	Sa
besplatni	besplatan	Agpmsayn
prijevoz	prijevoz	Ncmsan
u	u	Sl
javnom	javan	Agpmsly
prijevozu	prijevoz	Ncmsl
imaju	imati	Vmr3p
:	:	Z

1.	1.	Mdo
učenici	učenik	Ncmpn
i	i	Cc
studenti	student	Ncmpn
s	sa	Si
prebivalištem	prebivalište	Ncnsi
na	na	Sl
otoku	otok	Ncmsl
koji	koji	Pi-mpn
svakodnevno	svakodnevno	Rgp
putuju	putovati	Vmr3p
do	do	Sg
škole	škola	Ncfsg
ili	ili	Cc
visokoškolske	visokoškolski	Agpfsgy
ustanove	ustanova	Ncfsg
izvan	izvan	Sg
otoka	otok	Ncmsg
,	,	Z

2.	2.	Mdo
učenici	učenik	Ncmpn
i	i	Cc
studenti	student	Ncmpn
s	sa	Si
prebivalištem	prebivalište	Ncnsi
na	na	Sl
otoku	otok	Ncmsl
koji	koji	Pi-msn
za	za	Sa
vrijeme	vrijeme	Ncnsa
školovanja	školovanje	Ncnsg
privremeno	privremeno	Rgp
borave	boraviti	Vmr3p
izvan	izvan	Sg
otoka	otok	Ncmsg
,	,	Z
a	a	Cc
vikendom	vikend	Ncmsi
dolaze	dolaziti	Vmr3p
na	na	Sa
otok	otok	Ncmsan
,	,	Z

3.	3.	Mdo
djeca	dijete	Ncnpn
koja	koji	Pi-npn
pohađaju	pohađati	Vmr3p
obvezni	obvezan	Agpmsayn
predškolski	predškolski	Agpmsayn
program	program	Ncmsan
izvan	izvan	Sg
otoka	otok	Ncmsg
svoga	svoj	Px-nsg
prebivališta	prebivalište	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Qo
učenici	učenik	Ncmpn
i	i	Cc
studenti	student	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
školuju	školovati	Vmr3p
na	na	Sl
otoku	otok	Ncmsl
svoga	svoj	Px-nsg
prebivališta	prebivalište	Ncnsg
te	te	Cc
djeca	dijete	Ncnpn
koja	koji	Pi-npn
pohađaju	pohađati	Vmr3p
predškolski	predškolski	Agpmsayn
program	program	Ncmsan
na	na	Sl
otoku	otok	Ncmsl
svoga	svoj	Px-nsg
prebivališta	prebivalište	Ncnsg
,	,	Z
za	za	Sa
aktivnosti	aktivnost	Ncfpa
izvan	izvan	Sg
otoka	otok	Ncmsg
svoga	svoj	Px-nsg
prebivališta	prebivalište	Ncnsg
,	,	Z

4.	4.	Mdo
djeca	dijete	Ncnpn
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
navršene	navršiti	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
života	život	Ncmsg
,	,	Z

5.	5.	Mdo
umirovljenici	umirovljenik	Ncmpn
i	i	Cc
osobe	osoba	Ncfpa
starije	staro	Rgc
od	od	Sg
65	65	Mdc
godina	godina	Ncfpg
s	sa	Si
prebivalištem	prebivalište	Ncnsi
na	na	Sl
otoku	otok	Ncmsl
,	,	Z

6.	6.	Mdo
zdravstveni	zdravstven	Agpmpny
djelatnici	djelatnik	Ncmpn
i	i	Cc
njihova	njihov	Ps3fsn
službena	služben	Agpnpay
vozila	vozilo	Ncnpa
pri	pri	Sl
obavljanju	obavljanje	Ncnsl
sanitetskih	sanitetski	Agpmpgy
prijevoza	prijevoz	Ncmpg
bolesnika	bolesnik	Ncmpg
s	sa	Sg
otoka	otok	Ncmsg
na	na	Sa
kopno	kopno	Ncnsa
i	i	Cc
obrnuto	obrnuti	Agpnsny
,	,	Z

7.	7.	Mdo
djelatnici	djelatnik	Ncmpn
policije	policija	Ncfsg
i	i	Cc
njihova	njihov	Ps3fsn
službena	služben	Agpnpay
vozila	vozilo	Ncnpa
pri	pri	Sl
obavljanju	obavljanje	Ncnsl
dužnosti	dužnost	Ncfsg
na	na	Sl
otocima	otok	Ncmpl
,	,	Z

8.	8.	Mdo
djelatnici	djelatnik	Ncmpn
drugih	drugi	Mlofpg
javnih	javan	Agpfpgy
službi	služba	Ncfpg
(	(	Z
policija	policija	Ncfsn
,	,	Z
oružane	oružan	Agpfpny
snage	snaga	Ncfpn
,	,	Z
vatrogasci	vatrogasac	Ncmpn
,	,	Z
lučka	lučki	Agpfsny
kapetanija	kapetanija	Ncfsn
i	i	Cc
GSS	GSS	Npmsn
)	)	Z
i	i	Cc
njihova	njihov	Ps3fsn
službena	služben	Agpnpay
vozila	vozilo	Ncnpa
u	u	Sl
slučajevima	slučaj	Ncmpl
katastrofe	katastrofa	Ncfsg
i	i	Cc
u	u	Sl
slučajevima	slučaj	Ncmpl
izvanrednih	izvanredan	Agpmpgy
događaja	događaj	Ncmpg
te	te	Cc
traganja	traganje	Ncnsg
i	i	Cc
spašavanja	spašavanje	Ncnsg
,	,	Z
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
Agencije	agencija	Ncfsg
.	.	Z

Visina	visina	Ncfsn
popusta	popust	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
iznositi	iznositi	Vmn
do	do	Sg
50	50	Mdc
%	%	Z
redovne	redovan	Agpfsgy
sezonske	sezonski	Agpfsgy
cijene	cijena	Ncfsg
karte	karta	Ncfsg
,	,	Z
a	a	Cc
