objavio	objaviti	Vmp-sm
su	biti	Var3p
završile	završiti	Vmp-pf
diplomski	diplomski	Agpmpny
sveučilišni	sveučilišni	Agpmpny
ili	ili	Cc
stručni	stručan	Agpmsayn
studij	studij	Ncmsan
te	te	Cc
13,51	13,51	Mdc
%	%	Z
osoba	osoba	Ncfpg
sa	sa	Si
završenim	završen	Agpmpiy
preddiplomskim	preddiplomski	Agpmsiy
stručnim	stručan	Agpmsiy
studijem	studio	Ncmsi
,	,	Z
no	no	Cc
vrlo	vrlo	Rgp
različitih	različit	Agpmpgy
profila	profil	Ncmpg
i	i	Cc
struka	struka	Ncfpg
.	.	Z

Iako	iako	Cs
nije	biti	Var3s
sporno	sporan	Agpnsny
da	da	Cs
se	sebe	Px--sa
u	u	Sl
javnoj	javan	Agpfsly
upravi	uprava	Ncfsl
obavljaju	obavljati	Vmr3p
različiti	različit	Agpmpny
rutinski	rutinski	Agpmpny
poslovi	posao	Ncmpn
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
dovoljna	dovoljan	Agpfsny
srednja	srednji	Agpfsny
razina	razina	Ncfsn
obrazovanja	obrazovanje	Ncnsg
,	,	Z
udio	udjel	Ncmsn
službenika	službenik	Ncmpg
sa	sa	Si
završenim	završen	Agpmpiy
diplomskim	diplomski	Agpmpiy
sveučilišnim	sveučilišni	Agpmpiy
ili	ili	Cc
stručnim	stručan	Agpmsiy
studijem	studio	Ncmsi
odnosno	odnosno	Rgp
preddiplomskim	preddiplomski	Agpmsiy
stručnim	stručan	Agpmsiy
studijem	studio	Ncmsi
nije	biti	Var3s
zadovoljavajući	zadovoljavajući	Agpmsny
,	,	Z
ni	ni	Cc
na	na	Sl
razini	razina	Ncfsl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
ni	ni	Cc
u	u	Sl
upravnim	upravan	Agpmply
odjelima	odjel	Ncmpl
i	i	Cc
službama	služba	Ncfpl
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
.	.	Z

Što	što	Pi3n-n
se	sebe	Px--sa
tiče	ticati	Vmr3s
strukture	struktura	Ncfsg
zanimanja	zanimanje	Ncnsg
u	u	Sl
upravi	uprava	Ncfsl
,	,	Z
udio	udjel	Ncmsn
službenika	službenik	Ncmpg
s	sa	Si
bilo	bilo	Qo
kojim	koji	Pi-msi
tipom	tip	Ncmsi
upravnog	upravan	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
vrlo	vrlo	Rgp
je	biti	Var3s
nizak	nizak	Agpmsnn
.	.	Z

Dakle	dakle	Cc
,	,	Z
s	sa	Sg
jedne	jedan	Mlcfsg
strane	strana	Ncfsg
postoji	postojati	Vmr3s
potreba	potreba	Ncfsn
za	za	Sa
zapošljavanjem	zapošljavanje	Ncnsi
prikladno	prikladno	Rgp
obrazovanih	obrazovati	Agpmpgy
zaposlenika	zaposlenik	Ncmpg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
završili	završiti	Vmp-pm
studij	studij	Ncmsan
prilagođen	prilagoditi	Appmsnn
potrebama	potreba	Ncfpi
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
a	a	Cc
s	sa	Sg
druge	drugi	Mlofsg
postoji	postojati	Vmr3s
obrazovani	obrazovati	Agpmsayn
kadar	kadar	Ncmsan
,	,	Z
većinom	većinom	Rgp
na	na	Sl
razini	razina	Ncfsl
stručnog	stručan	Agpmsgy
studija	studij	Ncmsg
prvog	prvi	Mlomsg
stupnja	stupanj	Ncmsg
,	,	Z
specijalističkog	specijalistički	Agpmsgy
stručnog	stručan	Agpmsgy
te	te	Cc
specijalističkog	specijalistički	Agpmsgy
postdiplomskog	postdiplomski	Agpmsgy
studija	studij	Ncmsg
.	.	Z

Najviše	mnogo	Rgs
profesionalne	profesionalan	Agpmpay
položaje	položaj	Ncmpa
u	u	Sl
javnoj	javan	Agpfsly
upravi	uprava	Ncfsl
trebaju	trebati	Vmr3p
popunjavati	popunjavati	Vmn
obrazovani	obrazovati	Appmpny
profesionalci	profesionalac	Ncmpn
zato	zato	Cs
što	što	Cs
su	biti	Var3p
upravo	upravo	Rgp
znanja	znanje	Ncnsg
i	i	Cc
vještine	vještina	Ncfsg
osoba	osoba	Ncfsn
na	na	Sl
tim	taj	Pd-mpl
položajima	položaj	Ncmpl
ključni	ključan	Agpmpny
za	za	Sa
izradu	izrada	Ncfsa
nacrta	nacrt	Ncmpg
provedivih	provediv	Agpmpgy
i	i	Cc
