pravila	pravilo	Ncnpn
o	o	Sl
izuzeću	izuzeće	Ncnsl
sudaca	sudac	Ncmpg
,	,	Z
standardi	standard	Ncmpn
nepristranosti	nepristranost	Ncfsg
suda	sud	Ncmsg
u	u	Sl
demokratskom	demokratski	Agpnsly
društvu	društvo	Ncnsl
zahtijevaju	zahtijevati	Vmr3p
i	i	Cc
da	da	Cs
sudovi	sud	Ncmpn
uživaju	uživati	Vmr3p
povjerenje	povjerenje	Ncnsa
javnosti	javnost	Ncfsg
.	.	Z

U	u	Sl
svakom	svaki	Pi-msl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
treba	trebati	Vmr3s
odlučiti	odlučiti	Vmn
je	biti	Var3s
li	li	Qq
odnos	odnos	Ncmsn
o	o	Sl
kojem	koji	Pi-msl
je	biti	Var3s
riječ	riječ	Ncfsn
takve	takav	Pd-fsg
prirode	priroda	Ncfsg
i	i	Cc
stupnja	stupanj	Ncmsg
da	da	Cs
upućuje	upućivati	Vmr3s
na	na	Sa
nedostatak	nedostatak	Ncmsan
subjektivne	subjektivan	Agpfsgy
ili	ili	Cc
objektivne	objektivan	Agpfsgy
nepristranosti	nepristranost	Ncfsg
suda	sud	Ncmsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
tom	taj	Pd-msl
kontekstu	kontekst	Ncmsl
ponavlja	ponavljati	Vmr3s
da	da	Cs
kada	kada	Cs
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
tome	taj	Pd-nsl
postoji	postojati	Vmr3s
li	li	Qq
u	u	Sl
određenom	određen	Agpmsly
predmetu	predmet	Ncmsl
opravdani	opravdati	Agpmsny
razlog	razlog	Ncmsn
za	za	Sa
bojazan	bojazan	Ncfsa
da	da	Cs
sud	sud	Ncmsn
nije	biti	Var3s
nepristran	nepristran	Agpmsnn
,	,	Z
stajalište	stajalište	Ncnsa
same	sam	Agpfsgy
osobe	osoba	Ncfsg
jest	biti	Var3s
