mikropropagacijom	mikropropagacija	Npfsi
;	;	Z

–	i	Agpfpay
biljke	biljka	Ncfpa
,	,	Z
uključujući	uključivati	Rr
gomolje	gomolj	Ncmpa
,	,	Z
proizvode	proizvoditi	Vmr3p
se	sebe	Px--sa
u	u	Sl
zaštićenom	zaštititi	Agpmsly
objektu	objekt	Ncmsl
i	i	Cc
u	u	Sl
supstratu	supstrat	Ncmsl
za	za	Sa
uzgoj	uzgoj	Ncmsan
u	u	Sl
kojima	koji	Pi-mpl
nema	nemati	Vmr3s
štetočinja	štetočinja	Ncfsg
;	;	Z

–	–	Agpmpny
gomolji	gomolj	Ncmpn
se	sebe	Px--sa
ne	ne	Qz
razmnožavaju	razmnožavati	Vmr3p
nakon	nakon	Sg
prve	prvi	Mlofsg
generacije	generacija	Ncfsg
;	;	Z

b	b	Npmsn
)	)	Z
u	u	Sl
partijama	partija	Ncfpl
se	sebe	Px--sa
ne	ne	Qz
smije	smjeti	Vmr3s
nalaziti	nalaziti	Vmn
sjemenski	sjemenski	Agpmsayn
krumpir	krumpir	Ncmsan
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
bilo	bilo	Qo
koja	koji	Pi-fsn
od	od	Sg
sljedećih	sljedeći	Agpmpgy
podtočaka	podtočak	Ncmpg
:	:	Z

–	–	Agpmsny
sjemenski	sjemenski	Agpmsny
krumpir	krumpir	Ncmsn
zahvaćen	zahvatiti	Appmsnn
truleži	trulež	Ncmpn
;	;	Z

–	–	Agpmsny
sjemenski	sjemenski	Agpmsny
krumpir	krumpir	Ncmsn
zaražen	zaraziti	Appmsnn
bijelom	bijel	Agpfsiy
nogom	noga	Ncfsi
;	;	Z

–	–	Agpmsny
sjemenski	sjemenski	Agpmsny
krumpir	krumpir	Ncmsn
zaražen	zaraziti	Appmsnn
običnom	običan	Agpfsiy
krastavošću	krastavost	Ncfsi
;	;	Z

–	–	Agpmsny
sjemenski	sjemenski	Agpmsny
krumpir	krumpir	Ncmsn
zaražen	zaraziti	Appmsnn
prašnom	prašan	Agpfsiy
krastavošću	krastavost	Ncfsi
;	;	Z

–	–	Agpmsny
sjemenski	sjemenski	Agpmsny
krumpir	krumpir	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
prekomjerno	prekomjerno	Rgp
smežuran	smežuran	Agpmsnn
zbog	zbog	Sg
isušenosti	isušenost	Ncfsg
;	;	Z

–	–	Agpmsny
sjemenski	sjemenski	Agpmsny
krumpir	krumpir	Ncmsn
s	sa	Si
vanjskim	vanjski	Agpmpiy
nedostacima	nedostatak	Ncmpi
,	,	Z
uključujući	uključivati	Rr
izobličene	izobličiti	Appfpay
ili	ili	Cc
oštećene	oštetiti	Appmpay
gomolje	gomolj	Ncmpa
.	.	Z

2	2	Mdc
)	)	Z
Uvjeti	uvjet	Ncmpn
