Svetrinčenat	svetrinčenat	Ncmsn
Vodnjan	Vodnjan	Npmsn
(	(	Z
D77	D77	X
)	)	Z
–	–	Z
Pula	Pula	Npfsn
kanal	kanal	Ncmsn
(	(	Z
D75	D75	X
)	)	Z
6,7	6,7	Mdc
LC	LC	Y
50161	50161	Mdc
Fažana	Fažana	Npfsn
(	(	Z
Ž5115	Ž5115	X
)	)	Z
–	–	Z
Galižana	Galižana	Npfsn
(	(	Z
D75	D75	X
)	)	Z
4,0	4,0	Mdc
LC	LC	Npmsn
50162	50162	Mdc
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Pule	Pula	Npfsg
–	–	Z
Šurida	Šurid	Npmsg
(	(	Z
Ž5115	Ž5115	X
)	)	Z
1,0	1,0	Mdc
LC	LC	Y
50164	50164	Mdc
Divšići	Divšići	Xf
(	(	Z
Ž5101	Ž5101	X
)	)	Z
–	–	Z
Filipana	Filipan	Npmsg
–	–	Z
Prodol	Prodol	Npmsn
(	(	Z
D66	D66	X
)	)	Z
4,2	4,2	Mdc
LC	LC	Y
50165	50165	Mdc
Divšići	Divšići	Xf
(	(	Z
L50164	L50164	X
)	)	Z
–	–	Z
Šarići	Šarić	Npmpn
(	(	Z
L50166	L50166	X
)	)	Z
1,4	1,4	Mdc
LC	LC	Y
50166	50166	Mdc
Šarići	Šarić	Npmpn
–	–	Z
Pinezići	pinezića	Ncfsl
(	(	Z
Ž5118	Ž5118	X
)	)	Z
2,4	2,4	Mdc
LC	LC	Npmsn
50167	50167	Mdc
Mutvoran	Mutvoran	Xf
–	–	Z
Cokuni	cokun	Agpmsny
–	–	Agpmsny
Križ	križ	Ncmsn
(	(	Z
Ž5118	Ž5118	X
)	)	Z
1,8	1,8	Mdc
LC	LC	Y
50169	50169	Mdc
Loborika	Loborika	Npfsn
(	(	Z
D66	D66	X
)	)	Z
–	–	Z
Muntić	Muntić	Npmsn
(	(	Z
L50170	L50170	X
)	)	Z
1,6	1,6	Mdc
LC	LC	Y
50170	50170	Mdc
Loborika	Loborika	Npfsn
(	(	Z
D66	D66	X
)	)	Z
–	–	Z
Muntić	Muntić	Npmsn
(	(	Z
Ž5121	Ž5121	X
)	)	Z
2,8	2,8	Mdc
LC	LC	Npmsn
50171	50171	Mdc
Vizače	Vizača	Npfsg
–	–	Z
Valtura	Valtur	Npmsay
(	(	Z
Ž5120	Ž5120	X
)	)	Z
1,7	1,7	Mdc
LC	LC	Y
50173	50173	Mdc
Krnica	Krnica	Npfsn
(	(	Z
Ž5123	Ž5123	X
)	)	Z
–	–	Z
Luka	Luka	Npmsn
»	»	Z
Krnica	Krnica	Npfsn
«	«	Z
2,9	2,9	Mdc
LC	LC	Y
50174	50174	Mdc
Ž5119	Ž5119	X
–	–	Z
Peruški	peruška	Ncfsl
1,0	1,0	Mdc
LC	LC	Y
50175	50175	Mdc
Vinkuran	Vinkuran	Npmsn
(	(	Z
Ž5178	Ž5178	X
)	)	Z
–	–	Z
Ž5119	Ž5119	X
1,7	1,7	Mdc
LC	LC	Y
50176	50176	Mdc
Jadreški	Jadreški	Npfpg
–	–	Z
Ž5134	Ž5134	X
1,3	1,3	Mdc
LC	LC	Y
50177	50177	Mdc
Ližnjan	Ližnjan	Npmsn
(	(	Z
Ž5119	Ž5119	X
)	)	Z
–	–	Z
Luka	Luka	Npmsn
Kuje	kovati	Vmr3s
