učinkom	učinak	Ncmsi
i	i	Cc
nagrađivanju	nagrađivanje	Ncnsl
radnika	radnik	Ncmpg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
primanja	primanje	Ncnsg
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
višemjesečno	višemjesečni	Agpnsay
razdoblje	razdoblje	Ncnsa
u	u	Sa
osnovicu	osnovica	Ncfsa
za	za	Sa
izračun	izračun	Ncmsan
otpremnine	otpremnina	Ncfsg
ulaze	ulaziti	Vmr3p
u	u	Sl
alikvotnom	alikvotan	Agpmsly
dijelu	dio	Ncmsl
.	.	Z

Radniku	radnik	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
mjesecima	mjesec	Ncmpl
koji	koji	Pi-mpn
ulaze	ulaziti	Vmr3p
u	u	Sa
osnovicu	osnovica	Ncfsa
za	za	Sa
izračun	izračun	Ncmsan
otpremnine	otpremnina	Ncfsg
bio	biti	Vap-sm
na	na	Sl
bolovanju	bolovanje	Ncnsl
,	,	Z
u	u	Sa
osnovicu	osnovica	Ncfsa
za	za	Sa
izračun	izračun	Ncmsan
ulazi	ulaziti	Vmr3s
plaća	plaća	Ncfsn
koju	koji	Pi-fsa
bi	biti	Vaa3s
radnik	radnik	Ncmsn
ostvario	ostvariti	Vmp-sm
da	da	Cs
je	biti	Var3s
radio	radio	Ncmsn
(	(	Z
osnovni	osnovan	Agpmpny
bodovi	bod	Ncmpn
,	,	Z
dodatak	dodatak	Ncmsn
za	za	Sa
topli	topao	Agpmsayn
obrok	obrok	Ncmsan
,	,	Z
dodatak	dodatak	Ncmsn
na	na	Sa
ukupni	ukupan	Agpmsayn
radni	radni	Agpmsayn
staž	staž	Ncmsan
,	,	Z
dodatak	dodatak	Ncmsn
na	na	Sa
radni	radni	Agpmsayn
staž	staž	Ncmsan
kod	kod	Sg
poslodavca	poslodavac	Ncmsg
)	)	Z
.	.	Z

Radniku	radnik	Ncmsd
koji	koji	Pi-msn
u	u	Sl
mjesecima	mjesec	Ncmpl
koji	koji	Pi-mpn
ulaze	ulaziti	Vmr3p
u	u	Sa
osnovicu	osnovica	Ncfsa
za	za	Sa
izračun	izračun	Ncmsan
otpremnine	otpremnina	Ncfsg
nije	biti	Var3s
radio	radio	Ncmsn
zbog	zbog	Sg
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
određenih	određen	Agpmpgy
zakonom	zakon	Ncmsi
,	,	Z
drugim	drugi	Agpmsiy
propisom	propis	Ncmsi
ili	ili	Cc
