Početni	početan	Agpmsny
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/16	02/16	Mdc
-	-	Z
01/24	01/24	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
11/0902	11/0902	Mdc
-	-	Z
16	16	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
18.	18.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg

Ministar	ministar	Ncmsn
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Davor	Davor	Npmsn
Romić	Romić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
1.	1.	Mdo

Tablica	tablica	Ncfsn
OKFŠ	OKF	Npmsg
–	–	Z
1	1	Mdc

BODOVNE	bodovni	Agpfpny
VRIJEDNOSTI	vrijednost	Ncfpn
UNIŠTENIH	uništen	Agpmpgy
ILI	ili	Cc
SMANJENIH	smanjiti	Appmpgy
OPĆEKORISNIH	općekoristan	Agpfpgy
FUKCIJA	fukcija	Ncfpg
ŠUMA	šuma	Ncfpg

OCJENA	ocjena	Ncfsn
BODOVI	bod	Ncmpn
/	/	Z
ha	ha	I
4	4	Mdc
34	34	Mdc
000,00	000,00	Mdc
5	5	Mdc
40	40	Mdc
500,00	500,00	Mdc
6	6	Mdc
44	44	Mdc
500,00	500,00	Mdc
7	7	Mdc
48	48	Mdc
500,00	500,00	Mdc
8	8	Mdc
52	52	Mdc
000,00	000,00	Mdc
9	9	Mdc
55	55	Mdc
000,00	000,00	Mdc
10	10	Mdc
57	57	Mdc
500,00	500,00	Mdc
11	11	Mdc
60	60	Mdc
000,00	000,00	Mdc
12	12	Mdc
69	69	Mdc
000,00	000,00	Mdc
13	13	Mdc
75	75	Mdc
000,00	000,00	Mdc
14	14	Mdc
84	84	Mdc
000,00	000,00	Mdc
15	15	Mdc
90	90	Mdc
000,00	000,00	Mdc
16	16	Mdc
97	97	Mdc
000,00	000,00	Mdc
17	17	Mdc
101	101	Mdc
000,00	000,00	Mdc
18	18	Mdc
150	150	Mdc
000,00	000,00	Mdc
19	19	Mdc
180	180	Mdc
000,00	000,00	Mdc
20	20	Mdc
200	200	Mdc
000,00	000,00	Mdc
21	21	Mdc
215	215	Mdc
000,00	000,00	Mdc
22	22	Mdc
240	240	Mdc
000,00	000,00	Mdc
23	23	Mdc
270	270	Mdc
000,00	000,00	Mdc
24	24	Mdc
300	300	Mdc
000,00	000,00	Mdc
25	25	Mdc
315	315	Mdc
000,00	000,00	Mdc
26	26	Mdc
330	330	Mdc
000,00	000,00	Mdc
27	27	Mdc
350	350	Mdc
000,00	000,00	Mdc
28	28	Mdc
370	370	Mdc
000,00	000,00	Mdc
29	29	Mdc
390	390	Mdc
000,00	000,00	Mdc
30	30	Mdc
405	405	Mdc
000,00	000,00	Mdc
31	31	Mdc
420	420	Mdc
000,00	000,00	Mdc
32	32	Mdc
430	430	Mdc
000,00	000,00	Mdc
33	33	Mdc
440	440	Mdc
000,00	000,00	Mdc
34	34	Mdc
445	445	Mdc
000,00	000,00	Mdc
35	35	Mdc
460	460	Mdc
000,00	000,00	Mdc
36	36	Mdc
480	480	Mdc
000,00	000,00	Mdc
37	37	Mdc
500	500	Mdc
000,00	000,00	Mdc
38	38	Mdc
520	520	Mdc
000,00	000,00	Mdc
39	39	Mdc
540	540	Mdc
000,00	000,00	Mdc
40	40	Mdc
560	560	Mdc
000,00	000,00	Mdc
41	41	Mdc
580	580	Mdc
000,00	000,00	Mdc

PRILOG	prilog	Ncmsn
2.	2.	Mdo

Tablica	tablica	Ncfsn
OKFŠ	OKF	Npmsg
–	–	Z
2	2	Mdc

