Trnje	trnje	Ncnsn
9	9	Mdc
Općinski	općinski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Novom	nov	Agpmsly
Zagrebu	Zagreb	Npmsl
16	16	Mdc
Brezovica	Brezovica	Npfsn
–	–	Z
Novi	nov	Agpmsny
Zagreb	Zagreb	Npmsn
zapad	zapad	Ncmsn
–	–	Z
Novi	nov	Agpmsny
Zagreb	Zagreb	Npmsn
istok	istok	Ncmsn
7	7	Mdc
Jastrebarsko	jastrebarski	Agpnsny
1	1	Mdc
Pisarovina	Pisarovin	Npmsay
1	1	Mdc
Samobor	Samobor	Npmsn
4	4	Mdc
Sveta	svet	Agpfsny
Nedelja	Nedelja	Npfsn
1	1	Mdc
Zaprešić	Zaprešić	Npmsn
2	2	Mdc
Općinski	općinski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Zlataru	zlatar	Ncmsl
10	10	Mdc
Donja	Donja	Npfsn
Stubica	Stubica	Npfsn
1	1	Mdc
Klanjec	Klanjec	Npmsn
1	1	Mdc
Krapina	Krapina	Npfsn
2	2	Mdc
Oroslavje	oroslavja	Ncfsg
1	1	Mdc
Pregrada	pregrada	Ncfsn
1	1	Mdc
Zabok	Zabok	Npmsn
2	2	Mdc
Zlatar	zlatar	Ncmsn
2	2	Mdc

