Opata	opat	Ncmpg
704	704	Mdc
;	;	Z
k.	k.	Y
č.	č.	Y
zem	z	Ncmsi
.	.	Z
705	705	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Tkon	Tkon	Npmsn
,	,	Z
po	po	Sl
staroj	star	Agpfsly
izmjeri	izmjera	Ncfsl
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
58	58	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
91	91	Mdc
)	)	Z
,	,	Z
k.	k.	Y
o.	o.	Y
Tkon	Tkon	Npmsn
Tkon	Tkon	Npmsn
Datum	Datum	Npmsn
:	:	Z
26.02.2015	26.02.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0040	06/0040	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6475	Z-6475	Y
Tkon	Tkon	Npmsn
Veliki	velik	Agpmsny
tor	tor	Ncmsn
(	(	Z
Ugrinići	Ugrinići	Npfsn
)	)	Z
k.	k.	Y
č.	č.	Y
zgrade	zgrada	Ncfsg
:	:	Z
118/1	118/1	Mdc
Tkon	tkon	Agpmsny
Datum	datum	Ncmsn
:	:	Z
27.01.2015	27.01.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
09	09	Mdc
-	-	Z
06/0116	06/0116	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
4	4	Mdc
Z-4098	Z-4098	Y
Općina	općina	Ncfsn
PAKOŠTANE	pakoštaneti	Vmr3s
Vrana	vran	Agpfsny
Crkva	crkva	Ncfsn
sv.	sv.	Y
Nediljice	Nediljica	Npmsg
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
37	37	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
316	316	Mdc
)	)	Z
,	,	Z
k.	k.	Y
č.	č.	Y
zem	zem	Ncmsan
.	.	Z
785/7	785/7	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
349	349	Mdc
)	)	Z
,	,	Z
785/8	785/8	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
349	349	Mdc
)	)	Z
Vrana	vran	Agpfsny
Datum	datum	Ncmsn
:	:	Z
24.03.2015	24.03.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0063	06/0063	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6495	z-6495	Agpmsny
Grad	grad	Ncmsn
BENKOVAC	BENKOVAC	Npmsn
Benkovac	Benkovac	Npmsn
Kulturno-povijesna	kulturno-povijesni	Agpfsny
cjelina	cjelina	Ncfsn
grada	grad	Ncmsg
Benkovca	Benkovc	Npmsg
Katastarski	katastarski	Agpmsny
broj	broj	Ncmsn
čestica	čestica	Ncfpg
:	:	Z
k.	k.	Y
č.	č.	Y
br.	br.	Y
1720	1720	Mdc
,	,	Z
1719	1719	Mdc
,	,	Z
1721	1721	Mdc
,	,	Z
1722	1722	Mdc
,	,	Z
1723	1723	Mdc
,	,	Z
1724	1724	Mdc
,	,	Z
1725	1725	Mdc
,	,	Z
1727	1727	Mdc
,	,	Z
1726	1726	Mdc
,	,	Z
1728	1728	Mdc
,	,	Z
1831	1831	Mdc
,	,	Z
1830	1830	Mdc
,	,	Z
2348	2348	Mdc
,	,	Z
1823	1823	Mdc
,	,	Z
2346	2346	Mdc
,	,	Z
1822	1822	Mdc
,	,	Z
1824	1824	Mdc
,	,	Z
1825	1825	Mdc
,	,	Z
1829	1829	Mdc
,	,	Z
1828	1828	Mdc
,	,	Z
1826	1826	Mdc
,	,	Z
1827	1827	Mdc
,	,	Z
1819	1819	Mdc
,	,	Z
1832/2	1832/2	Mdc
,	,	Z
1832/1	1832/1	Mdc
,	,	Z
1833	1833	Mdc
,	,	Z
1835	1835	Mdc
,	,	Z
1836	1836	Mdc
,	,	Z
1837	1837	Mdc
,	,	Z
1840/1	1840/1	Mdc
,	,	Z
1844	1844	Mdc
,	,	Z
1843	1843	Mdc
,	,	Z
1816	1816	Mdc
,	,	Z
1815	1815	Mdc
,	,	Z
1814	1814	Mdc
,	,	Z
1789	1789	Mdc
,	,	Z
1788	1788	Mdc
,	,	Z
1787	1787	Mdc
,	,	Z
1785	1785	Mdc
,	,	Z
1786	1786	Mdc
,	,	Z
1784	1784	Mdc
,	,	Z
1783	1783	Mdc
,	,	Z
1780	1780	Mdc
,	,	Z
1781	1781	Mdc
,	,	Z
1779	1779	Mdc
,	,	Z
1782	1782	Mdc
,	,	Z
1812	1812	Mdc
,	,	Z
1813	1813	Mdc
,	,	Z
1790	1790	Mdc
,	,	Z
