Broj	broj	Ncmsn
lokalnih	lokalan	Agpfpgy
jedinica	jedinica	Ncfpg
(	(	Z
LJ	LJ	Npmsn
)	)	Z

PRILOG	prilog	Ncmsn
II	ii	Mro
.	.	Z

II	ii	Mrc
.	.	Z

DODATNI	dodatan	Agpmpny
PODACI	podatak	Ncmpn
ZA	za	Sa
STATISTIČKE	statistički	Agpmpay
I	i	Cc
DRUGE	drugi	Agpfpay
POTREBE	potreba	Ncfpa
ZA	za	Sa
PODUZETNIKE	poduzetnik	Ncmpa
IZ	iz	Sg
ČLANKA	članak	Ncmsg
19.	19.	Mdo

STAVKA	stavka	Ncfsn
6.	6.	Mdo
ZAKONA	zakon	Ncmsg

A	a	Cc
)	)	Z
Dodatni	dodatan	Agpmpny
podaci	podatak	Ncmpn
za	za	Sa
banke	banka	Ncfpa
,	,	Z
štedne	štedni	Agpfpay
banke	banka	Ncfpa
,	,	Z
stambene	stambeni	Agpfpny
štedionice	štedionica	Ncfpn
te	taj	Pd-fsg
podružnice	podružnica	Ncfsg
stranih	stran	Agpfpgy
banaka	banka	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl

Oznaka	oznaka	Ncfsn
pozicije	pozicija	Ncfsg
Naziv	naziv	Ncmsn
pozicije	pozicija	Ncfsg
BILANCA	bilanca	Ncfsn
NEMATERIJALNA	nematerijalan	Agpfsny
IMOVINA	imovina	Ncfsn
:	:	Z
1.	1.	Mdo
Osnivački	osnivački	Agpmpny
izdaci	izdatak	Ncmpn
(	(	Z
bruto	bruto	Rgp
)	)	Z
2.	2.	Mdo
Osnivački	osnivački	Agpmpny
izdaci	izdatak	Ncmpn
(	(	Z
neto	neto	Agpnsay
)	)	Z
3.	3.	Mdo
Goodwill	Goodwill	Npfsn
(	(	Z
bruto	bruto	Rgp
)	)	Z
4.	4.	Mdo
Goodwill	Goodwill	Npfsn
(	(	Z
neto	neto	Agpnsny
)	)	Z
5.	5.	Mdo
Aplikativni	aplikativan	Agpmsny
softver	softver	Ncmsn
(	(	Z
bruto	bruto	Rgp
)	)	Z
6.	6.	Mdo
Aplikativni	aplikativan	Agpmsny
softver	softver	Ncmsn
(	(	Z
neto	neto	Agpnsay
)	)	Z
7.	7.	Mdo
Ostala	ostali	Agpnpay
nematerijalna	nematerijalan	Agpnpay
ulaganja	ulaganje	Ncnpa
(	(	Z
bruto	bruto	Rgp
)	)	Z
8.	8.	Mdo
Ostala	ostali	Agpnpay
nematerijalna	nematerijalan	Agpnpay
ulaganja	ulaganje	Ncnpa
(	(	Z
neto	neto	Agpnsny
)	)	Z
9.	9.	Mdo
Ostala	ostali	Agpfsny
nematerijalna	nematerijalan	Agpfsny
imovina	imovina	Ncfsn
(	(	Z
bruto	brut	Agpnsny
)	)	Z
10.	10.	Mdo

Ostala	ostali	Agpfsny
nematerijalna	nematerijalan	Agpfsny
imovina	imovina	Ncfsn
(	(	Z
neto	neto	Agpfsny
)	)	Z
MATERIJALNA	materijalan	Agpfsny
IMOVINA	imovina	Ncfsn
:	:	Z
11.	11.	Mdo

Zemljišta	zemljište	Ncnpn
(	(	Z
bruto	brut	Agpnsny
)	)	Z
12.	12.	Mdo

Zemljišta	zemljište	Ncnpa
(	(	Z
neto	neto	Agpnsny
)	)	Z
13.	13.	Mdo

Građevinski	građevinski	Agpmpny
objekti	objekt	Ncmpn
(	(	Z
bruto	bruta	Ncfpn
)	)	Z
14.	14.	Mdo

Građevinski	građevinski	Agpmpny
objekti	objekt	Ncmpn
(	(	Z
neto	neto	Agpnsay
)	)	Z
15.	15.	Mdo

Postrojenja	postrojenje	Ncnsg
i	i	Cc
oprema	opremati	Vmr3s
(	(	Z
bruto	bruto	Agpfsny
)	)	Z
15.1.	15.1.	Y
u	u	Sl
tome	taj	Pd-nsl
:	:	Z
elektronička	elektronički	Agpnpny
računala	računalo	Ncnpn
i	i	Cc
ostala	ostali	Agpfsny
oprema	oprema	Ncfsn
za	za	Sa
obradu	obrada	Ncfsa
podataka	podatak	Ncmpg
(	(	Z
bruto	bruto	Ncnsn
)	)	Z
16.	16.	Mdo

Postrojenja	postrojenje	Ncnsg
i	i	Cc
oprema	opremati	Vmr3s
(	(	Z
neto	neto	Agpfsny
)	)	Z
16.1.	16.1.	Y
u	u	Sl
tome	taj	Pd-nsl
:	:	Z
elektronička	elektronički	Agpnpny
računala	računalo	Ncnpn
i	i	Cc
ostala	ostali	Agpfsny
oprema	oprema	Ncfsn
za	za	Sa
obradu	obrada	Ncfsa
podataka	podatak	Ncmpg
(	(	Z
neto	neto	Agpnsay
)	)	Z
17.	17.	Mdo

Namještaj	namještaj	Ncmsn
,	,	Z
transportni	transportni	Agpmpny
uređaji	uređaj	Ncmpn
i	i	Cc
slična	sličan	Agpfsny
imovina	imovina	Ncfsn
(	(	Z
bruto	bruto	Ncmsn
)	)	Z
17.1.	17.1.	Y
u	u	Sl
tome	taj	Pd-nsl
:	:	Z
osobni	osoban	Agpmpny
automobili	automobil	Ncmpn
(	(	Z
bruto	bruta	Ncfpn
)	)	Z
18.	18.	Mdo

Namještaj	namještaj	Ncmsn
,	,	Z
transportni	transportni	Agpmpny
uređaji	uređaj	Ncmpn
i	i	Cc
slična	sličan	Agpfsny
imovina	imovina	Ncfsn
(	(	Z
neto	neto	Agpfsny
)	)	Z
18.1.	18.1.	Y
u	u	Sl
tome	taj	Pd-nsl
:	:	Z
osobni	osoban	Agpmpny
