doorsets	doorseti	Agpnsny
tiskarske	tiskarski	Agpfpny
,	,	Z
jezične	jezični	Agpfpay
i	i	Cc
slične	sličan	Agpfpay
pogreške	pogreška	Ncfpa
iz	iz	Sg
teksta	tekst	Ncmsg
norme	norma	Ncfsg
,	,	Z
a	a	Cc
on	on	Pp3msn
se	sebe	Px--sa
može	moći	Vmr3s
odnositi	odnositi	Vmn
na	na	Sa
jednu	jedan	Mlcfsa
ili	ili	Cc
više	mnogo	Rgc
jezičnih	jezični	Agpfpgy
verzija	verzija	Ncfpg
(	(	Z
engleski	engleski	Agpmsny
,	,	Z
francuski	francuski	Agpmsny
i	i	Cc
/	/	Z
ili	ili	Cc
njemački	njemački	Agpmsny
)	)	Z
norme	norma	Ncfsg
koju	koji	Pi-fsa
je	biti	Var3s
donijela	donijeti	Vmp-sf
jedna	jedan	Mlcfsn
od	od	Sg
europskih	europski	Agpfpgy
organizacija	organizacija	Ncfpg
za	za	Sa
normizaciju	normizacija	Ncfsa
.	.	Z

PRILOG	prilog	Ncmsn
2	2	Mdc

POPIS	popis	Ncmsn
EUROPSKIH	europski	Agpmpgy
DOKUMENATA	dokument	Ncmpg
ZA	za	Sa
OCJENJIVANJE	ocjenjivanje	Ncnsa

Uputa	uputa	Ncfsn
na	na	Sa
europski	europski	Agpmsayn
dokument	dokument	Ncmsan
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
i	i	Cc
naziv	naziv	Ncmsn
tog	taj	Pd-msg
dokumenta	dokument	Ncmsg
Uputa	uputa	Ncfsn
na	na	Sa
zamijenjeni	zamijeniti	Agpmsayn
europski	europski	Agpmsayn
dokument	dokument	Ncmsan
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
i	i	Cc
naziv	naziv	Ncmsn
tog	taj	Pd-msg
dokumenta	dokument	Ncmsg
Opaske	opaska	Ncfpn
1.	1.	Mdo
EAD	EAD	Y
010001	010001	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0301	0301	Mdc
:	:	Z
Gotovi	gotov	Agpmsny
zidni	zidni	Agpmsny
element	element	Ncmsn
s	sa	Si
točkastim	točkast	Agpmpiy
spojnim	spojni	Agpmpiy
elementima	element	Ncmpi
2.	2.	Mdo
EAD	EAD	Npmsn
020001	020001	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0405	0405	Mdc
:	:	Z
Višeosovinsko	višeosovinsko	Rgp
skrivena	skriti	Appfsny
spojnica	spojnica	Ncfsn
skupštine	skupština	Ncfsg
3.	3.	Mdo
EAD	EAD	Npmsn
020002	020002	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0404	0404	Mdc
:	:	Z
Sustav	sustav	Ncmsn
ostakljivanja	ostakljivanje	Ncnsg
balkona	balkon	Ncmsg
(	(	Z
i	i	Cc
terasa	terasa	Ncfsn
)	)	Z
bez	bez	Sg
okomitih	okomit	Agpmpgy
okvira	okvir	Ncmpg
4.	4.	Mdo
EAD	EAD	Npmsn
020011	020011	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0405	0405	Mdc
:	:	Z
Krovni	krovni	Agpmsny
,	,	Z
podni	podni	Agpmpny
,	,	Z
zidni	zidni	Agpmpny
i	i	Cc
stropni	stropni	Agpmpny
otvori	otvor	Ncmpn
za	za	Sa
omogućavanje	omogućavanje	Ncnsa
pristupa	pristup	Ncmsg
ili	ili	Cc
za	za	Sa
uporabu	uporaba	Ncfsa
kao	kao	Cs
izlaz	izlaz	Ncmsan
u	u	Sl
nuždi	nužda	Ncfsl
/	/	Z
vatrootporni	vatrootporan	Agpmpny
ili	ili	Cc
bez	bez	Sg
vatrootpornosti	vatrootpornost	Ncfsg
5.	5.	Mdo
EAD	EAD	Y
040005	040005	Mdc
-	-	Z
00	00	Mdc
-	-	Z
1201	1201	Mdc
:	:	Z
Tvornički	tvornički	Agpmpny
izrađeni	izraditi	Appmpny
proizvodi	proizvod	Ncmpn
za	za	Sa
toplinsku	toplinski	Agpfsay
i	i	Cc
/	/	Z
ili	ili	Cc
zvučnu	zvučan	Agpfsay
izolaciju	izolacija	Ncfsa
od	od	Sg
biljnih	biljan	Agpfpgy
ili	ili	Cc
životinjskih	životinjski	Agpnpgy
vlakana	vlakno	Ncnpg
6.	6.	Mdo
EAD	EAD	Y
040016	040016	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0404	0404	Mdc
:	:	Z
Mrežica	mrežica	Ncfsn
od	od	Sg
staklenih	staklen	Agpnpgy
vlakana	vlakno	Ncnpg
za	za	Sa
armiranje	armiranje	Ncnsa
žbuka	žbuka	Ncfpg
na	na	Sl
bazi	baza	Ncfsl
cementa	cement	Ncmsg
7.	7.	Mdo
EAD	EAD	Npmsn
040048	040048	Mdc
-	-	Z
00	00	Mdc
-	-	Z
0502	0502	Mdc
:	:	Z
Podloga	podloga	Ncfsn
od	od	Sg
gumenih	gumen	Agpmpgy
