1725/2003	1725/2i	Agpnsly
o	o	Sl
usvajanju	usvajanje	Ncnsl
određenih	određen	Agpmpgy
međunarodnih	međunarodni	Agpmpgy
računovodstvenih	računovodstveni	Agpmpgy
standarda	standard	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Uredbom	uredba	Ncfsi
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1606/2002	1606/2002	Mdc
u	u	Sl
pogledu	pogled	Ncmsl
IFRS	IFRS	Npmsn
1	1	Mdc
,	,	Z
MRS	MRS	Npmsn
br.	br.	Y
1	1	Mdc
do	do	Sg
10	10	Mdc
,	,	Z
12	12	Mdc
do	do	Sg
17	17	Mdc
,	,	Z
19	19	Mdc
do	do	Sg
24	24	Mdc
,	,	Z
27	27	Mdc
do	do	Sg
38	38	Mdc
,	,	Z
40	40	Mdc
i	i	Cc
41	41	Mdc
te	te	Cc
SIC	sic	Ncmsn
br.	br.	Y
1	1	Mdc
do	do	Sg
7	7	Mdc
,	,	Z
11	11	Mdc
do	do	Sg
14	14	Mdc
,	,	Z
18	18	Mdc
do	do	Sg
27	27	Mdc
te	te	Cc
30	30	Mdc
do	do	Sg
33	33	Mdc
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
od	od	Sg
i	i	Qo
)	)	Z
matičnog	matičan	Agpnsgy
društva	društvo	Ncnsg
i	i	Cc
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
društava	društvo	Ncnpg
kćeri	kći	Ncfsg
ili	ili	Cc
(	(	Z
ii	ii	Ncfsl
)	)	Z
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
društava	društvo	Ncnpg
kćeri	kći	Ncfsg
matičnog	matičan	Agpnsgy
društva	društvo	Ncnsg
,	,	Z

(	(	Z
b	b	Qr
)	)	Z
skup	skup	Ncmsan
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
točki	točka	Ncfsl
(	(	Z
a	a	Cc
)	)	Z
podtočkama	podtočka	Ncfpi
(	(	Z
