skladanog	skladati	Agpnsgy
nastupa	nastup	Ncmsg
ili	ili	Cc
snimanja	snimanje	Ncnsg
s	sa	Sg
4	4	Mdc
različita	različit	Agpmsgn
programa	program	Ncmsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Izvođač	izvođač	Ncmsn
popularne	popularan	Agpfsgy
i	i	Cc
/	/	Z
ili	ili	Cc
narodne	narodni	Agpfsgy
glazbe	glazba	Ncfsg

Sudjelovanje	sudjelovanje	Ncnsn
solista	solist	Ncmpg
(	(	Z
vokalnih	vokalan	Agpmpgy
ili	ili	Cc
instrumentalnih	instrumentalan	Agpmpgy
)	)	Z
ili	ili	Cc
članova	član	Ncmpg
stalnih	stalan	Agpfpgy
postava	postava	Ncfpg
istaknutih	istaknuti	Ncfpg
glazbenih	glazben	Agpmpgy
sastava	sastav	Ncmpg
(	(	Z
kontinuirano	kontinuiran	Agpnsny
djelovanje	djelovanje	Ncnsn
u	u	Sl
istom	isti	Agpmsly
glazbenom	glazben	Agpmsly
sastavu	sastav	Ncmsl
dulje	dugo	Rgc
od	od	Sg
5	5	Mdc
godina	godina	Ncfpg
)	)	Z
,	,	Z
u	u	Sa
najmanje	malo	Rgs
200	200	Mdc
minuta	minuta	Ncfpg
umjetnički	umjetnički	Rgp
relevantne	relevantan	Agpfsgy
novosnimljene	novosnimljen	Agpfsgy
glazbe	glazba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
objavljena	objaviti	Appfsny
u	u	Sl
redovnoj	redovan	Agpfsly
fizičkoj	fizički	Agpfsly
ili	ili	Cc
digitalnoj	digitalan	Agpfsly
distribuciji	distribucija	Ncfsl
putem	put	Sg
ovlaštenih	ovlašten	Agpmpgy
distribucijskih	distribucijski	Agpmpgy
kanala	kanal	Ncmpg
,	,	Z
s	sa	Si
time	taj	Pd-nsi
da	da	Cs
najviše	mnogo	Rgs
50	50	Mdc
minuta	minuta	Ncfpg
može	moći	Vmr3s
biti	biti	Van
snimljeno	snimiti	Appnsny
za	za	Sa
potrebe	potreba	Ncfpa
radijskih	radijski	Agpfpgy
ili	ili	Cc
televizijskih	televizijski	Agpfpgy
postaja	postaja	Ncfpg
s	sa	Si
nacionalnom	nacionalan	Agpfsiy
koncesijom	koncesija	Ncfsi
,	,	Z
i	i	Cc
najmanje	malo	Rgs
3	3	Mdc
samostalna	samostalan	Agpmsgn
koncerta	koncert	Ncmsg
izvedena	izvesti	Appfsny
u	u	Sl
relevantnom	relevantan	Agpmsly
prostoru	prostor	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
3	3	Mdc
nastupa	nastup	Ncmsg
u	u	Sl
istaknutom	istaknuti	Agpmsly
orkestru	orkestar	Ncmsl
na	na	Sl
relevantnoj	relevantan	Agpfsly
glazbenoj	glazben	Agpfsly
priredbi	priredba	Ncfsl
ili	ili	Cc
televizijskoj	televizijski	Agpfsly
emisiji	emisija	Ncfsl
.	.	Z

Baletno-plesno	baletno-plesan	Agpnsny
stvaralaštvo	stvaralaštvo	Ncnsn

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Plesač	plesač	Ncmsn
klasičnog	klasičan	Agpmsgy
baleta	balet	Ncmsg

a	a	Cc
)	)	Z
3	3	Mdc
solističke	solistički	Agpfsgy
uloge	uloga	Ncfsg
ili	ili	Cc

b	b	Npmsn
)	)	Z
15	15	Mdc
izvedbi	izvedba	Ncfpg
realiziranih	realizirati	Appfpgy
u	u	Sa
najmanje	malo	Rgs
5	5	Mdc
različitih	različit	Agpfpgy
baletnih	baletni	Agpfpgy
predstava	predstava	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Plesač	plesač	Ncmsn
suvremenog	suvremen	Agpmsgy
plesa	ples	Ncmsg

