latifolia	latifolia	Npfsn
–	–	Z
Endivija	endivija	Ncfsn
SOLEIADO	SOLEIADO	Npmsn
RZ	RZ	Npmsn
Ka	k	Sd
Rhu	Rh	Npmsd
6.9.	6.9.	Mds

Phaseolus	Phaseolus	Xf
vulgaris	vulgaris	Xf
L.	L.	Y
–	–	Z
Grah	grah	Ncmsn
mahunar	mahunar	Ncmsn
BABILON	BABILON	Npmsn
ZKIS	ZKIS	Npmsn
PPZ	PPZ	Npmsn
BUDAI	BUDAI	Npmsn
PIACI	PIACI	Npmsn
ZKIS	ZKIS	Npmsn
ZKIS	ZKIS	Npmsn
PRIMEL	PRIMEL	Npfsn
Agr	Agr	Npfsn
Agr	Agr	Npfsn
REZI	REZI	Npfsn
ZKIS	ZKIS	Npfsn
PPZ	PPZ	Npfsn
SUNDANCE	SUNDANCE	Npfsn
Agr	Agr	Npfsn
Vfr	Vfr	Npfsn
6.10.	6.10.	Mdo

Pisum	Pisum	Npmsn
sativum	sativum	Pp3-pd
L.	L.	Y
convar	convar	Ncmsan
.	.	Z
medullare	medullarati	Vmr3s
Alef	Alef	Npmsn
.	.	Z
–	–	Z
Grašak	grašak	Ncmsn
OMEGA	omega	Ncfsn
ZKIS	ZKIS	Npmsn
PPZ	PPZ	Npmsn
RITMO	RITMO	Npmsn
ZKIS	ZKIS	Npmsn
PPZ	PPZ	Npmsn
MASTERFON	MASTERFON	Npmsn
AgS	AgS	Npmsn
MonsNl	MonsNl	Npmsn
6.1.1.	6.1.1.	Mds

Brassica	brassica	Ncfsn
oleracea	olerace	Ncmsg
L.	L.	Y
convar	convar	Ncmsan
.	.	Z
capitata	capitt	Ncmpg
(	(	Z
L.	L.	Mro
)	)	Z
Alef	Alef	Npmsn
.	.	Z
var	var	Rgp
.	.	Z
sbauda	sbauda	Rgp
L.	L.	Y
–	–	Z
Kelj	kelj	Ncmsn
BARBOSA	BARBOS	Npmsg
BZ	BZ	Npmsn
BZ	BZ	Npmsn
)	)	Z
CASERTA	CASERTA	Npfsn
Agr	Agr	Npfsn
SVEfr	SVEfr	Npfsn
EMERALD	EMERALD	Npfsn
Agr	Agr	Npfsn
Agr	Agr	Npfsn
ESTORIL	ESTORIL	Npfsn
Agr	Agr	Npfsn
Agr	Agr	Npfsn
FAMOSA	FAMOS	Npmsg
BZ	B	Npmsg
BZnl	BZn	Npmsg
FIRENSA	FIRENS	Npmsg
BZ	B	Npmsg
BZnl	BZn	Npmsg
MELISSA	MELISS	Npmsg
BZ	B	Npmsg
BZnl	BZn	Npmsg
PARESA	PARES	Npmsg
BZ	B	Npmsg
BZnl	BZn	Npmsg
SALIMA	SALIM	Npmsg
Ka	K	Npmsg
PRS	PRS	Xf
TOURMALINE	TOURMALINE	Xf
Agr	agr	Xf
Agr	Ag	Npmsg
WIROSA	WIROS	Npmsg
BZ	B	Npmsg
BZnl	BZn	Npmsg
6.1.2	6.1.	Npmsg
Brassica	Brassic	Npmsg
