suprotnomu	suprotan	Agpnsly
krilu	krilo	Ncnsl
.	.	Z

Kada	kada	Cs
dovrši	dovršiti	Vmr3s
ravnanje	ravnanje	Ncnsn
desetine	desetina	Ncfsg
,	,	Z
zapovjednik	zapovjednik	Ncmsn
,	,	Z
ako	ako	Cs
je	biti	Var3s
na	na	Sl
krilu	krilo	Ncnsl
,	,	Z
staje	stajati	Vmr3s
pred	pred	Sa
sredinu	sredina	Ncfsa
stroja	stroj	Ncmsg
i	i	Cc
zapovijeda	zapovijedati	Vmr3s
:	:	Z
Po	po	Sl
–	a	Ncfsl
ZOR	ZOR	Npmsan
!	!	Z

Na	na	Sa
tu	taj	Pd-fsa
zapovijed	zapovijed	Ncfsa
vojne	vojni	Agpfpny
osobe	osoba	Ncfpn
brzo	brzo	Rgp
i	i	Cc
istodobno	istodobno	Rgp
okreću	okretati	Vmr3p
glavu	glava	Ncfsa
ravno	ravno	Rgp
i	i	Cc
zauzimaju	zauzimati	Vmr3p
osnovni	osnovan	Agpmsayn
stav	stav	Ncmsan
.	.	Z

Članak	članak	Ncmsn
74.	74.	Mdo

Ravnanje	ravnanje	Ncnsn
desetine	desetina	Ncfsg
po	po	Sl
dubini	dubina	Ncfsl
zapovjednik	zapovjednik	Ncmsn
desetine	desetina	Ncfsg
zapovijeda	zapovijedati	Vmr3s
:	:	Z
U	u	Sa
ZATILJAK	zatiljak	Ncmsan
!	!	Z

Na	na	Sa
tu	taj	Pd-fsa
se	sebe	Px--sa
zapovijed	zapovijed	Ncfsn
vojne	vojni	Agpfsgy
osobe	osoba	Ncfsg
prve	prvi	Mlofsg
vrste	vrsta	Ncfsg
poravnavaju	poravnavati	Vmr3p
po	po	Sl
čelu	čelo	Ncnsl
i	i	Cc
zauzimaju	zauzimati	Vmr3p
odmak	odmak	Ncmsan
,	,	Z
ostali	ostali	Agpmpny
odmah	odmah	Rgp
stanu	stati	Vmr3p
u	u	Sa
zatiljak	zatiljak	Ncmsan
te	te	Cc
zauzmu	zauzeti	Vmr3p
propisani	propisati	Agpmsayn
razmak	razmak	Ncmsan
pružajući	pružati	Rr
lijevu	lijevi	Agpfsay
ruku	ruka	Ncfsa
ispred	ispred	Sg
sebe	sebe	Ncfsg
tako	tako	Cs
da	da	Cs
vrhovima	vrh	Ncmpl
prstiju	prst	Ncmpg
dotiču	doticati	Vmr3p
lijevo	lijevi	Agpnsay
rame	rame	Ncnsa
osobe	osoba	Ncfsg
ispred	ispred	Sg
.	.	Z

Zapovjednik	zapovjednik	Ncmsn
desetine	desetina	Ncfsg
,	,	Z
ako	ako	Cs
treba	trebati	Vmr3s
,	,	Z
odlazi	odlaziti	Vmr3s
pet	pet	Mlc
koraka	korak	Ncmpg
ispred	ispred	Sg
čelnih	čelni	Agpmpgy
,	,	Z
okreće	okretati	Vmr3s
se	sebe	Px--sa
čelom	čelo	Ncnsi
nazad	nazad	Rgp
,	,	Z
popravlja	popravljati	Vmr3s
ravnanje	ravnanje	Ncnsa
rukom	ruka	Ncfsi
ili	ili	Cc
glasom	glas	Ncmsi
dok	dok	Cs
u	u	Sl
jednome	jedan	Agpmsly
redu	red	Ncmsl
ne	ne	Qz
vidi	vidjeti	Vmr3s
samo	samo	Rgp
vojnu	vojni	Agpfsay
osobu	osoba	Ncfsa
po	po	Sl
kojoj	koji	Pi-fsl
ravna	ravan	Agpfsny
.	.	Z

Zapovjednik	zapovjednik	Ncmsn
zapovijeda	zapovijedati	Vmr3s
:	:	Z
Po	po	Sl
–	a	Ncfsl
ZOR	zo	Ncmsl
!	!	Z
,	,	Z
a	a	Cc
vojne	vojni	Agpfpny
osobe	osoba	Ncfpn
istovremeno	istovremeno	Rgp
zauzimaju	zauzimati	Vmr3p
osnovni	osnovan	Agpmsayn
stav	stav	Ncmsan
.	.	Z

Članak	članak	Ncmsn
75.	75.	Mdo

Iz	iz	Sg
stroja	stroj	Ncmsg
se	sebe	Px--sa
izlazi	izlaziti	Vmr3s
:	:	Z
iz	iz	Sg
prve	prvi	Mlofsg
vrste	vrsta	Ncfsg
najkraćim	kratak	Agsmsiy
putom	put	Ncmsi
,	,	Z
iz	iz	Sg
druge	drugi	Mlofsg
vrste	vrsta	Ncfsg
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
izlazi	izlaziti	Vmr3s
iskorakom	iskorak	Ncmsi
unatrag	unatrag	Rgp
,	,	Z
obilazi	obilaziti	Vmr3s
lijevo	lijevo	Rgp
ili	ili	Cc
desno	desni	Agpnsay
krilo	krilo	Ncnsa
stroja	stroj	Ncmpg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
koje	koji	Pi-mpa
mu	on	Pp3msd
je	biti	Var3s
bliže	blizu	Rgc
.	.	Z

Pri	pri	Sl
povratku	povratak	Ncmsl
u	u	Sa
stroj	stroj	Ncmsan
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
prve	prvi	Mlofsg
vrste	vrsta	Ncfsg
poravna	poravnati	Vmr3s
pete	peta	Ncfpa
prema	prema	Sl
ostalima	ostali	Agpmply
,	,	Z
okreće	okretati	Vmr3s
se	sebe	Px--sa
čelom	čelo	Ncnsi
nazad	nazad	Rgp
i	i	Cc
zauzima	zauzimati	Vmr3s
stav	stav	Ncmsan
kao	kao	Cs
i	i	Qo
ostale	ostali	Agpfpny
u	u	Sl
stroju	stroj	Ncmsl
;	;	Z
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
druge	drugi	Mlofsg
vrste	vrsta	Ncfsg
vraća	vraćati	Vmr3s
se	sebe	Px--sa
na	na	Sa
svoje	svoj	Px-nsa
mjesto	mjesto	Ncnsa
obilazeći	obilaziti	Rr
bliže	blizak	Agcnsay
krilo	krilo	Ncnsa
.	.	Z

Prolazak	prolazak	Ncmsn
između	između	Sg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
zapovijeda	zapovijedati	Vmr3s
strojem	stroj	Ncmsi
i	i	Cc
stroja	stroj	Ncmpg
zabranjen	zabraniti	Appmsnn
je	biti	Var3s
.	.	Z

Članak	članak	Ncmsn
76.	76.	Mdo

Desetina	desetina	Ncfsn
izvodi	izvoditi	Vmr3s
okret	okret	Ncmsan
i	i	Cc
postupke	postupak	Ncmpa
s	sa	Si
oružjem	oružje	Ncnsi
na	na	Sl
zapovijedi	zapovijed	Ncfsl
za	za	Sa
pojedinca	pojedinac	Ncmsay
,	,	Z
samo	samo	Rgp
što	što	Cs
vojne	vojni	Agpfpny
osobe	osoba	Ncfpn
u	u	Sl
stroju	stroj	Ncmsl
postupke	postupak	Ncmpa
izvode	izvoditi	Vmr3p
istodobno	istodobno	Rgp
.	.	Z

Ravnanje	ravnanje	Ncnsn
desetine	desetina	Ncfsg
po	po	Sl
čelu	čelo	Ncnsl
s	sa	Si
oružjem	oružje	Ncnsi
zapovjednik	zapovjednik	Ncmsn
desetine	desetina	Ncfsg
zapovijeda	zapovijedati	Vmr3s
:	:	Z
Nadesno	nadesno	Rgp
(	(	Z
nalijevo	nalijevo	Rgp
)	)	Z
ravnaj	ravnati	Vmm2s
SE	sebe	Px--sa
!	!	Z

Na	na	Sa
tu	taj	Pd-fsa
zapovijed	zapovijed	Ncfsa
vojne	vojni	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
osim	osim	Sg
krilnoga	krilni	Agpmsgy
(	(	Z
krilnih	krilni	Agpmpgy
)	)	Z
na	na	Sl
označenoj	označiti	Agpfsly
strani	strana	Ncfsl
,	,	Z
okreću	okretati	Vmr3p
brzo	brzo	Rgp
i	i	Cc
istodobno	istodobno	Rgp
glavu	glava	Ncfsa
i	i	Cc
pogled	pogled	Ncmsan
u	u	Sl
zapovjeđenom	zapovjediti	Agpmsly
smjeru	smjer	Ncmsl
,	,	Z
zauzimaju	zauzimati	Vmr3p
propisani	propisati	Agpmsayn
odmak	odmak	Ncmsan
i	i	Cc
ravnaju	ravnati	Vmr3p
se	sebe	Px--sa
podizanjem	podizanje	Ncnsi
dlana	dlan	Ncmsg
lijeve	lijevi	Agpfsgy
ruke	ruka	Ncfsg
u	u	Sa
visinu	visina	Ncfsa
opasača	opasač	Ncmpg
–	–	Z
remena	remen	Ncmsg
,	,	Z
