uređeno	uređen	Agpnsny
tržište	tržište	Ncnsn
;	;	Z

2.	2.	Mdo
koji	koji	Pi-mpn
su	biti	Var3p
upućeni	uputiti	Appmpny
na	na	Sa
dionice	dionica	Ncfpa
izdavatelja	izdavatelj	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
i	i	Cc
koji	koji	Pi-mpn
su	biti	Var3p
s	sa	Si
ekonomskim	ekonomski	Agpmsiy
učinkom	učinak	Ncmsi
sličnim	sličan	Agpmsiy
onom	onaj	Ncmsi
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
to	taj	Pd-nsa
daju	dati	Vmr3p
li	li	Qq
pravo	pravo	Ncnsa
na	na	Sa
fizičku	fizički	Agpfsay
namiru	namira	Ncfsa
ili	ili	Cc
ne	ne	Qz
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Financijski	financijski	Agpmpny
instrumenti	instrument	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
moraju	morati	Vmr3p
fizičkoj	fizički	Agpfsdy
osobi	osoba	Ncfsd
ili	ili	Cc
pravnom	pravni	Agpmsly
subjektu	subjekt	Ncmsl
koji	koji	Pi-msn
ih	oni	Pp3-pa
drži	držati	Vmr3s
davati	davati	Vmn
na	na	Sa
dan	dan	Ncmsan
dospijeća	dospijeće	Ncnsg
ili	ili	Cc
bezuvjetno	bezuvjetan	Agpnsay
pravo	pravo	Ncnsa
stjecanja	stjecanje	Ncnsg
već	već	Rgp
izdanih	izdan	Agpfpgy
dionica	dionica	Ncfpg
s	sa	Si
pravom	pravo	Ncnsi
glasa	glas	Ncmsg
izdavatelja	izdavatelj	Ncmpg
koje	koji	Pi-mpa
su	biti	Var3p
temelj	temelj	Ncmsn
izdanja	izdanje	Ncnsg
odnosnog	odnosni	Agpmsgy
financijskog	financijski	Agpmsgy
instrumenta	instrument	Ncmsg
ili	ili	Cc
diskrecijsko	diskrecijski	Agpnsay
pravo	pravo	Ncnsa
steći	steći	Vmn
ili	ili	Cc
ne	ne	Qz
takve	takav	Pd-fpa
dionice	dionica	Ncfpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
fizičku	fizički	Agpfsay
osobu	osoba	Ncfsa
ili	ili	Cc
pravni	pravni	Agpmsny
