učinke	učinak	Ncmpa
.	.	Z

Članak	članak	Ncmsn
82.	82.	Mdo

Ugovorne	ugovoran	Agpfpny
strane	strana	Ncfpn
će	htjeti	Var3p
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
po	po	Sl
potpisivanju	potpisivanje	Ncnsl
ovog	ovaj	Pd-msg
Kolektivnog	kolektivan	Agpmsgy
ugovora	ugovor	Ncmsg
imenovati	imenovati	Vmn
po	po	Sa
dva	dva	Mlc
člana	član	Ncmsg
u	u	Sa
zajedničko	zajednički	Agpnsay
tijelo	tijelo	Ncnsa
za	za	Sa
tumačenje	tumačenje	Ncnsa
odredbi	odredba	Ncfsl
ovog	ovaj	Pd-msg
Kolektivnog	kolektivan	Agpmsgy
ugovora	ugovor	Ncmsg
i	i	Cc
praćenje	praćenje	Ncnsa
njegove	njegov	Ps3fsg
primjene	primjena	Ncfsg
.	.	Z

Članak	članak	Ncmsn
83.	83.	Mdo

Ovaj	ovaj	Pd-msn
se	sebe	Px--sa
Kolektivni	kolektivan	Agpmsny
ugovor	ugovor	Ncmsn
sklapa	sklapati	Vmr3s
na	na	Sa
neodređeno	neodređen	Agpnsay
vrijeme	vrijeme	Ncnsa
,	,	Z
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
danom	dan	Agpnsly
potpisa	potpis	Ncmsg
,	,	Z
a	a	Cc
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
prvog	prvi	Mlomsg
dana	dan	Ncmsg
u	u	Sl
slijedećem	slijedeći	Agpmsly
mjesecu	mjesec	Ncmsl
.	.	Z

Članak	članak	Ncmsn
84.	84.	Mdo

Danom	dan	Ncmsi
primjene	primjena	Ncfsg
ovog	ovaj	Pd-msg
Kolektivnog	kolektivan	Agpmsgy
ugovora	ugovor	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Kolektivni	kolektivan	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
radnika	radnik	Ncmpg
i	i	Cc
poslodavca	poslodavac	Ncmsg
u	u	Sl
ULJANIKU	ULJANIK	Npmsl
d.	d.	Y
d.	d.	Y
i	i	Cc
društvima	društvo	Ncnpd
u	u	Sl
sustavu	sustav	Ncmsl
iz	iz	Sg
1998.	1998.	Mdo
g.	g.	Y
s	sa	Si
pripadajući	pripadajući	Agpmpiy
Aneksima	aneks	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Qo
Kolektivni	kolektivan	Agpmsny
ugovor	ugovor	Ncmsn
o	o	Sl
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
radnika	radnik	Ncmpg
i	i	Cc
poslodavca	poslodavac	Ncmsg
3.	3.	Mdo
MAJ	maj	Ncmsn
