društvu	društvo	Ncnsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
trajan	trajan	Agpmsann
uvid	uvid	Ncmsan
u	u	Sa
pozicije	pozicija	Ncfpa
UCITS	UCITS	Sg
fonda	fond	Ncmsg
pohranjene	pohraniti	Appfpny
kod	kod	Sg
depozitara	depozitar	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Depozitar	depozitar	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
izvještavati	izvještavati	Vmn
društvo	društvo	Ncnsa
za	za	Sa
upravljanje	upravljanje	Ncnsa
o	o	Sl
korporativnim	korporativan	Agpfply
akcijama	akcija	Ncfpl
vezanim	vezan	Agpfply
za	za	Sa
imovinu	imovina	Ncfsa
UCITS	uciti	Agpfsgy
fonda	fond	Ncmsg
koja	koji	Pi-fsn
mu	on	Pp3msd
je	biti	Var3s
povjerena	povjeriti	Appfsny
na	na	Sa
pohranu	pohrana	Ncfsa
i	i	Cc
izvršavati	izvršavati	Vmn
njegove	njegov	Ncmpa
naloge	nalog	Ncmpa
koji	koji	Pi-mpn
iz	iz	Sg
toga	taj	Pd-nsg
proizlaze	proizlaziti	Vmr3p
.	.	Z

Ponovno	ponovan	Agpnsny
korištenje	korištenje	Ncnsn
imovine	imovina	Ncfsg
UCITS	uciti	Agpfsgy
fonda	fond	Ncmsg

Članak	članak	Ncmsn
222.	222.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Depozitar	depozitar	Ncmsn
i	i	Cc
treća	treći	Mlofsn
osoba	osoba	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
224.	224.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
ponovno	ponovno	Rgp
koristiti	koristiti	Vmn
imovinu	imovina	Ncfsa
UCITS	ucit	Agpmsgn
fonda	fond	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
221.	221.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
