opasnim	opasan	Agpmsiy
drugim	drugi	Agpmsiy
otpadom	otpad	Ncmsi
i	i	Cc
da	da	Cs
ispunjavaju	ispunjavati	Vmr3p
specifikacije	specifikacija	Ncfpa
:	:	Z
–	–	Z
otpadna	otpadni	Agpfsny
svila	svila	Ncfsn
(	(	Z
uključuje	uključivati	Vmr3s
čahure	čahura	Ncfpa
koje	koji	Pi-fpn
nisu	biti	Var3p
dobre	dobar	Agpfpny
za	za	Sa
navrtanje	navrtanje	Ncnsa
,	,	Z
otpadne	otpadni	Agpmpay
konce	konac	Ncmpa
i	i	Cc
rastrgane	rastrgati	Agpmpay
tekstilne	tekstilan	Agpmpay
materijale	materijal	Ncmpa
)	)	Z
:	:	Z
•	•	Z
negrebana	negreban	Agpfsny
i	i	Cc
nečešljana	nečešljan	Ncmpg
•	•	Z
ostalo	ostali	Agpnsny
–	–	Z
otpaci	otpadak	Ncmpn
vune	vuna	Ncfsg
ili	ili	Cc
fina	fin	Agpfsny
ili	ili	Cc
gruba	grub	Agpfsny
životinjska	životinjski	Agpfsny
dlaka	dlaka	Ncfsn
;	;	Z
uključuje	uključivati	Vmr3s
otpadnu	otpadni	Agpfsay
pređu	pređa	Ncfsa
,	,	Z
ali	ali	Cc
ne	ne	Qz
i	i	Cc
rastrgani	rastrgati	Agpmsayn
tekstilni	tekstilan	Agpmsayn
materijal	materijal	Ncmsan
:	:	Z
•	•	Z
kratka	kratak	Agpnpay
vunena	vunen	Agpnpay
vlakna	vlakno	Ncnpa
ili	ili	Cc
fina	fin	Agpfsny
životinjska	životinjski	Agpfsny
dlaka	dlaka	Ncfsn
•	•	Z
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
vune	vuna	Ncfsg
ili	ili	Cc
fine	fin	Agpfsgy
životinjske	životinjski	Agpfsgy
dlake	dlaka	Ncfsg
•	•	Z
otpad	otpad	Ncmsan
od	od	Sg
grube	grub	Agpfsgy
životinjske	životinjski	Agpfsgy
dlake	dlaka	Ncfsg
–	–	Z
pamučni	pamučan	Agpmsny
otpad	otpad	Ncmsn
(	(	Z
uključuje	uključivati	Vmr3s
otpadnu	otpadni	Agpfsay
pređu	pređa	Ncfsa
i	i	Cc
rastrgani	rastrgati	Appmsayn
tekstilni	tekstilan	Agpmsayn
materijal	materijal	Ncmsan
)	)	Z
:	:	Z
•	•	Z
otpadna	otpadni	Agpfsny
pređa	pređa	Ncfsn
(	(	Z
uključuje	uključivati	Vmr3s
kratka	kratak	Agpnpay
otpadna	otpadni	Agpnpay
vlakna	vlakno	Ncnpa
)	)	Z
•	•	Z
rastrgani	rastrgati	Agpmsny
tekstilni	tekstilan	Agpmsny
materijal	materijal	Ncmsn
•	•	Z
ostalo	ostali	Agpnsay
–	–	Z
otpadna	otpadni	Agpfsny
pređa	pređa	Ncfsn
i	i	Cc
otpad	otpad	Ncmsn
–	–	Z
pređa	pređa	Ncfsn
i	i	Cc
otpad	otpad	Ncmsn
